Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000087792,00002-00005-00003-87792,00003-00003-00009-110743,669988060-087792,280449259-087792,2038394105-0087792,30967211-087792,1978661216-00087792,1299478435-087792,1103542813-0000087792
Component 00000000051499,00004-00006-51499,00002-00003-00009-82897,562179718-051499,20175805-051499,1625655539-0051499,1118535525-051499,1681071443-00051499,315795658-051499,1860842703-0000051499
Component 00000000003335,00003-00007-3335,00001-00005-00009-93336,2010542288-003335,558999674-003335,1254940707-0003335,330202213-003335,1145464342-00003335,1055973520-003335,1695705587-0000003335
Component 00000000114962,00002-00001-00003-114962,00005-00004-6725,1938313889-114962,468633303-114962,1146436364-0114962,1525765819-114962,284234161-00114962,113122465-114962,804221238-0000114962
Component 00000000034932,00002-00002-00001-34932,00005-113230,899239481-034932,1956288703-034932,865854278-0034932,626519220-034932,1783724051-00034932,97994609-034932,1513014172-0000034932
Component 00000000080578,00003-00001-00004-80578,00002-00008-32300,1392757747-080578,1950511613-080578,360781832-0080578,526532837-080578,2032730801-00080578,247655904-080578,294525767-0000080578
Component 00000000014038,00003-00003-00011-14038,00003-00002-00006-22353,1324491329-014038,1527160191-014038,1729829053-0014038,416512901-014038,1550652238-00014038,315178470-014038,1273796487-0000014038
Component 00000000111579,00004-00006-111579,00004-00001-00012-35554,1839905826-111579,461590122-111579,1230758065-0111579,1563587239-111579,2012714818-00111579,105261444-111579,1766329918-0000111579
Component 00000000105888,00003-00006-00003-105888,00002-00008-123300,1114702561-105888,1318774893-105888,1522847225-0105888,274792428-105888,1401914415-00105888,172756262-105888,795789212-0000105888
Component 00000000016641,00001-00002-00001-16641,00004-00004-00001-95239,2135076993-016641,915706153-016641,1843818960-0016641,977649722-016641,632052981-00016641,1587335142-016641,2014531402-0000016641
Component 00000000047446,00001-00009-47446,00004-00003-00002-75064,73856707-047446,1264921769-047446,308503184-0047446,2005937392-047446,345579376-00047446,1410404861-047446,2069638058-0000047446
Component 00000000055482,00002-00011-55482,00003-00004-00004-70893,1141197636-055482,378872889-055482,1764031789-0055482,1749411229-055482,1266067670-00055482,1056831779-055482,1913057783-0000055482
Component 00000000025507,00002-00006-00001-25507,00001-00002-00011-96406,1875054116-025507,1987077108-025507,2099100100-0025507,865718287-025507,305603327-00025507,809706791-025507,649065053-0000025507
Component 00000000001454,00004-00005-00011-1454,00006-00008-40620,933236798-001454,1538558401-001454,2143880004-0001454,1300305309-001454,421180941-00001454,2071386331-001454,744748510-0000001454
Component 00000000048180,00006-00002-48180,00002-00004-00008-113537,1804362414-048180,2049105965-048180,146365869-0048180,1863264579-048180,639546824-00048180,667150980-048180,1820707611-0000048180
Component 00000000049769,00004-00006-00005-49769,00005-00004-34480,2076871867-049769,1922782324-049769,1768692781-0049769,2119721796-049769,742685864-00049769,1123024744-049769,1027960942-0000049769
Component 00000000118674,00004-00003-00010-118674,00001-00002-00008-110651,1589834631-118674,1003519707-118674,417204783-0118674,1070848228-118674,1854939201-00118674,1364005690-118674,1859334235-0000118674
Component 00000000099306,00001-00004-00012-99306,00001-00003-00011-62541,5107600-099306,1776473523-099306,1400355799-0099306,1090750809-099306,823855782-00099306,1278809671-099306,1756938302-0000099306
Component 00000000043977,00002-00003-00011-43977,00006-00004-119370,157474949-043977,1270959993-043977,236961390-0043977,474408408-043977,1349434129-00043977,2065149533-043977,1851097672-0000043977
Component 00000000056182,00002-00009-56182,00001-00001-00005-90511,977856015-056182,1073090476-056182,1168324937-0056182,228018256-056182,1899329598-00056182,1254142849-056182,2105702129-0000056182
Component 00000000023526,00001-00006-00009-23526,00002-00003-00012-40897,850706294-023526,1980689386-023526,963188831-0023526,1967795081-023526,612846915-00023526,1402803535-023526,271480307-0000023526
Component 00000000071033,00003-00004-00001-71033,00004-00001-00007-112379,481063038-071033,569262504-071033,657461970-0071033,463769845-071033,22772515-00071033,419670112-071033,2028543720-0000071033
Component 00000000047375,00006-00003-47375,00003-00005-00005-65343,113481554-047375,1599505192-047375,938045183-0047375,1318667646-047375,331000397-00047375,575655827-047375,1603452905-0000047375
Component 00000000053156,00001-00005-00012-53156,00004-00006-00002-5774,284980200-053156,872502264-053156,1460024328-0053156,862512893-053156,72386220-00053156,568751861-053156,830714718-0000053156
Component 00000000065884,00004-65884,00004-00003-00002-115104,253381698-065884,1379967026-065884,359068707-0065884,1205678931-065884,2015203232-00065884,642386267-065884,861583085-0000065884
Component 00000000076462,00002-00001-00009-76462,00006-00008-40620,1232222071-076462,1419007435-076462,1605792799-0076462,1701377637-076462,767450817-00076462,1607984955-076462,1075726205-0000076462
Component 00000000049378,00003-00004-49378,00001-00001-00004-79486,1406288232-049378,717715352-049378,29142472-0049378,222758257-049378,1518139010-00049378,567044697-049378,2047038731-0000049378
Component 00000000075588,00003-00002-00006-75588,00003-00006-00011-16183,895373776-075588,319719258-075588,1891548387-0075588,893417064-075588,1624206007-00075588,1181244323-075588,862906724-0000075588
Component 00000000020736,00001-00002-00001-20736,00004-00002-86335,1546045912-020736,520014249-020736,1641466233-0020736,101892314-020736,937083335-00020736,1688649969-020736,975080527-0000020736
Component 00000000032325,00006-00007-32325,00001-00006-00012-40221,1491746125-032325,1073514260-032325,655282395-0032325,1608595319-032325,1552270997-00032325,743969428-032325,193384155-0000032325
Component 00000000101293,00003-00003-00010-101293,00003-00006-00003-118173,783751609-101293,219588686-101293,1802909410-0101293,265395431-101293,938726399-00101293,1621218716-101293,401079729-0000101293
Component 00000000058092,00002-00006-00008-58092,00004-00009-20419,80256687-058092,572447514-058092,1064638341-0058092,1402933503-058092,1089463015-00058092,83096266-058092,652595196-0000058092
Component 00000000069207,00002-00005-00008-69207,00002-00003-84555,699236239-069207,1803454710-069207,760189534-0069207,1640482731-069207,414357670-00069207,14631672-069207,478340533-0000069207
Component 00000000118757,00002-00002-00002-118757,00004-00002-00010-112954,700169105-118757,638683042-118757,577196979-0118757,939320520-118757,1246750835-00118757,2043805375-118757,1048736431-0000118757
Component 00000000010400,00005-10400,00004-00001-00002-44059,887947758-010400,1616060825-010400,196690245-0010400,767951332-010400,1422353291-00010400,1477636622-010400,1995514547-0000010400
Component 00000000097210,00001-00009-97210,00003-00012-30198,375438211-097210,350763205-097210,326088199-0097210,1326184067-097210,1449559097-00097210,1338521570-097210,148363111-0000097210
Component 00000000078013,00003-00005-78013,00003-00005-00001-84033,2085558337-078013,583532892-078013,1228991094-0078013,1178026429-078013,98219066-00078013,855297328-078013,1322139455-0000078013
Component 00000000017181,00001-00003-00008-17181,00004-00003-110344,2050669263-017181,477762592-017181,1052339568-0017181,2000365188-017181,1274963955-00017181,1713076700-017181,1053197196-0000017181
Component 00000000031484,00004-00005-00011-31484,00004-00002-00012-16704,1793677455-031484,1581081003-031484,1368484551-0031484,72684121-031484,1135666381-00031484,178982347-031484,449290307-0000031484
Component 00000000068023,00003-00004-00007-68023,00002-00005-00012-51427,248196249-068023,2030648605-068023,1665617314-0068023,797789635-068023,475462443-00068023,2054047104-068023,310109979-0000068023
Component 00000000081839,00004-00002-00004-81839,00004-00005-67639,1532678284-081839,1660375808-081839,1788073332-0081839,1283557257-081839,645069637-00081839,1219708495-081839,759512719-0000081839
Component 00000000025548,00003-00005-00003-25548,00002-00004-00003-97542,924306329-025548,1174596664-025548,1424886999-0025548,1252227518-025548,775843-00025548,53340527-025548,1466488500-0000025548
Component 00000000086509,00004-00003-00007-86509,00002-00006-00007-74822,1544167-086509,219123833-086509,436703499-0086509,1964223380-086509,876325050-00086509,1855433547-086509,1484049028-0000086509
Component 00000000059177,00002-00006-00001-59177,00004-00001-00010-50814,214040148-059177,575513633-059177,936987118-0059177,1639376818-059177,1979493040-00059177,384898252-059177,1839762284-0000059177
Component 00000000023556,00001-00001-23556,00002-00002-00001-41757,607038147-023556,1095360694-023556,1583683241-0023556,1742103383-023556,1447974295-00023556,424200286-023556,973107029-0000023556
Component 00000000090239,00004-00002-00006-90239,00001-00001-00012-55756,984990840-090239,627635850-090239,270280860-0090239,833143001-090239,472434304-00090239,1011820496-090239,710061264-0000090239
Component 00000000023142,00002-00002-23142,00001-00004-00008-30181,576666181-023142,586896794-023142,597127407-0023142,2146592735-023142,2095439670-00023142,1067735605-023142,2111748029-0000023142
Component 00000000019694,00004-00003-00012-19694,00004-00008-57169,812557367-019694,1591080126-019694,222119238-0019694,989947356-019694,1392300855-00019694,1674427800-019694,1183419956-0000019694
Component 00000000046711,00001-00002-46711,00002-00005-75192,1761977527-046711,1169481041-046711,576984555-0046711,943185367-046711,1758184150-00046711,1239433610-046711,2113290983-0000046711
Component 00000000023823,00003-00002-00007-23823,00003-00005-00008-49278,69701341-023823,513139436-023823,956577531-0023823,1175354302-023823,1105647474-00023823,2027377078-023823,914500329-0000023823
Component 00000000059740,00002-00005-59740,00004-00003-00008-66594,214953708-059740,482180911-059740,749408114-0059740,1364312995-059740,28176980-00059740,156957570-059740,1494304725-0000059740
Component 00000000115009,00004-00006-00011-115009,00001-00003-00012-8046,405898428-115009,19392463-115009,1780370145-0115009,2061453772-115009,1846499950-00115009,1180964931-115009,930783078-0000115009
Component 00000000109211,00001-00004-00011-109211,00003-00005-00002-92783,2122979399-109211,1814432066-109211,1505884733-0109211,1117077454-109211,512330472-00109211,197609297-109211,797605143-0000109211
Component 00000000087961,00001-00006-00003-87961,00002-00002-00010-115502,890384915-087961,1977444284-087961,917020006-0087961,999414960-087961,2006569056-00087961,1529627099-087961,1518283252-0000087961
Component 00000000053180,00001-00010-53180,00004-00010-6419,126972117-053180,2127573900-053180,1980692036-0053180,1593136301-053180,180061974-00053180,1666577233-053180,1879653541-0000053180
Component 00000000086611,00001-00005-86611,00002-00006-77707,793991505-086611,2063458156-086611,1185441160-0086611,1159840139-086611,1254957825-00086611,1598848637-086611,526353019-0000086611
Component 00000000006511,00001-00001-00011-6511,00004-00005-00009-8979,586411764-006511,853716509-006511,1121021254-0006511,1739531838-006511,403008113-00006511,532137642-006511,250773253-0000006511
Component 00000000011378,00003-00003-00003-11378,00001-00004-00011-71446,266964951-011378,1973154490-011378,1531860382-0011378,339037183-011378,398024076-00011378,559684237-011378,1895283365-0000011378
Component 00000000032770,00003-00010-32770,00001-00004-00010-52686,137781639-032770,1063108026-032770,1988434413-0032770,992696645-032770,661032004-00032770,1603775275-032770,134383904-0000032770
Component 00000000084411,00001-00005-00002-84411,00004-00009-16090,2021229178-084411,1064767324-084411,108305470-0084411,729985846-084411,1217327822-00084411,1208216773-084411,1880215189-0000084411
Component 00000000101831,00001-00002-00002-101831,00004-00002-00006-9704,356749942-101831,657214318-101831,957678694-0101831,2044370296-101831,542048416-00101831,1894138108-101831,442288976-0000101831
Component 00000000030949,00004-00002-00009-30949,00004-00006-00006-48964,1755963613-030949,295758195-030949,983036424-0030949,1802961191-030949,514053693-00030949,385580253-030949,868479922-0000030949
Component 00000000007433,00003-00006-00010-7433,00004-00004-00007-84494,953429701-007433,69779281-007433,1333612508-0007433,1046057271-007433,1169342077-00007433,1487882481-007433,975849065-0000007433
Component 00000000103250,00004-103250,00003-00006-00007-49433,30397061-103250,1687960584-103250,1198040460-0103250,2039074811-103250,193708137-00103250,136551226-103250,1006367717-0000103250
Component 00000000028795,00004-28795,00003-00001-00007-64968,1371301862-028795,996775240-028795,622248618-0028795,386629871-028795,111779334-00028795,573893182-028795,972565702-0000028795
Component 00000000050238,00003-00006-00006-50238,00006-00001-47620,1047701400-050238,499268008-050238,2098318263-0050238,218485652-050238,813168965-00050238,492702348-050238,2079367382-0000050238
Component 00000000026535,00005-00002-26535,00004-00005-00004-1629,2063249631-026535,1255348459-026535,447447287-0026535,1534748435-026535,1279287001-00026535,1938699021-026535,1369746058-0000026535
Component 00000000045599,00004-00001-00008-45599,00003-41265,1513312511-045599,1276968387-045599,1040624263-0045599,788040732-045599,1969761352-00045599,906212794-045599,1927861314-0000045599
Component 00000000033097,00002-00001-00012-33097,00001-00012-61866,1178613035-033097,1788468856-033097,250841030-0033097,1765591119-033097,863795661-00033097,386921385-033097,1463237393-0000033097
Component 00000000112019,00004-00005-00011-112019,00004-00008-47835,886077630-112019,1654109495-112019,274657713-0112019,554659260-112019,1009467229-00112019,1244385151-112019,97041546-0000112019
Component 00000000101771,00001-00005-00007-101771,00001-00001-00008-8016,1828381230-101771,16256469-101771,351615355-0101771,913418025-101771,1384107242-00101771,745738582-101771,266789515-0000101771
Component 00000000120238,00003-00006-00001-120238,00004-00005-30919,174784481-120238,1452153660-120238,582039192-0120238,923905723-120238,979510769-00120238,1358962957-120238,230446509-0000120238
Component 00000000057844,00004-00003-00007-57844,00004-00005-00003-79784,453276553-057844,481025641-057844,508774729-0057844,1799107321-057844,1660361881-00057844,1785232777-057844,770724330-0000057844
Component 00000000045911,00001-00005-00008-45911,00005-49985,876776613-045911,1047085345-045911,1217394077-0045911,546815527-045911,1842755514-00045911,461661161-045911,942198438-0000045911
Component 00000000040131,00001-40131,00003-11700,1797605557-040131,972626736-040131,147647915-0040131,1514580208-040131,1344507019-00040131,853327795-040131,1875302814-0000040131
Component 00000000073443,00003-00006-00006-73443,00001-00012-79611,1114772141-073443,26218821-073443,1085149148-0073443,2007027296-073443,1007342955-00073443,403820309-073443,1214741647-0000073443
Component 00000000055549,00004-00004-55549,00004-72765,1022330653-055549,604148886-055549,185967119-0055549,1141609600-055549,1085034788-00055549,276958660-055549,543458632-0000055549
Component 00000000068998,00003-00006-00007-68998,00001-00004-00002-78691,1877328497-068998,1446950480-068998,1016572463-0068998,1405089319-068998,1409495757-00068998,546536504-068998,1237072924-0000068998
Component 00000000101036,00001-00005-101036,00004-00004-00008-110989,307702871-101036,1554176573-101036,653166628-0101036,632135302-101036,842217733-00101036,8898451-101036,1089954277-0000101036
Component 00000000028564,00004-00004-00003-28564,00004-00002-00011-58459,1205824878-028564,860863686-028564,515902494-0028564,1655076242-028564,1232398555-00028564,1827556838-028564,374504333-0000028564
Component 00000000107337,00002-00006-00009-107337,00003-00005-00009-40283,1423036845-107337,557912844-107337,1840272490-0107337,1340453913-107337,1371106624-00107337,699274090-107337,1502312954-0000107337
Component 00000000027342,00002-00003-27342,00001-00006-00007-24226,417004398-027342,1733794891-027342,903101737-0027342,930575722-027342,789074198-00027342,1345922299-027342,1635717441-0000027342
Component 00000000099327,00002-00004-00007-99327,00004-00003-00005-63094,1404639909-099327,274879179-099327,1292602096-0099327,298335679-099327,1652172035-00099327,863216044-099327,1085161447-0000099327
Component 00000000091614,00004-00005-00003-91614,00001-00001-00006-94256,615042942-091614,748491477-091614,881940012-0091614,1718587772-091614,1051345097-00091614,578121681-091614,1016914381-0000091614
Component 00000000055090,00009-55090,00002-00005-00002-59932,1488206617-055090,1936790349-055090,237890434-0055090,1769681149-055090,1674246136-00055090,1545389283-055090,393698762-0000055090
Component 00000000074726,00001-00001-00002-74726,00003-00006-115563,486156812-074726,754774463-074726,1023392114-0074726,1702952827-074726,359864572-00074726,494902178-074726,567393625-0000074726
Component 00000000120516,00001-00004-00006-120516,00001-00006-00002-38716,1692255674-120516,1096717248-120516,501178822-0120516,725929424-120516,1556137907-00120516,1023698637-120516,315622922-0000120516
Component 00000000089668,00003-00005-00007-89668,00005-00002-39730,88784389-089668,2143777379-089668,2051286722-0089668,971696642-089668,1434149927-00089668,2091683794-089668,884175604-0000089668
Component 00000000053648,00003-00010-53648,00004-00001-00007-19559,574609127-053648,1896042511-053648,1069992248-0053648,239618841-053648,74902862-00053648,1726385796-053648,699143503-0000053648
Component 00000000047373,00003-00004-00001-47373,00002-00005-00007-90942,688193140-047373,1746916792-047373,658156797-0047373,496682734-047373,1645515415-00047373,2114804555-047373,2027530480-0000047373
Component 00000000015197,00002-15197,00001-00006-54866,1132393098-015197,1488801885-015197,1845210672-0015197,164608268-015197,530047980-00015197,1060145698-015197,1591621235-0000015197
Component 00000000086099,00004-00006-86099,00004-00004-63340,104802979-086099,995464195-086099,1886125411-0086099,352199015-086099,193860229-00086099,2054352054-086099,864039636-0000086099
Component 00000000092597,00002-00001-00011-92597,00001-00001-00008-121766,666856933-092597,1227799991-092597,1788743049-0092597,2102791482-092597,1445559839-00092597,1822319953-092597,38381071-0000092597
Component 00000000064552,00002-00005-00007-64552,00004-77770,958451410-064552,789379335-064552,620307260-0064552,274648537-064552,1120008912-00064552,1432926398-064552,1948432574-0000064552
Component 00000000044945,00005-00004-44945,00001-00006-00008-22966,672606666-044945,1438607610-044945,57124907-0044945,1316430451-044945,1781393025-00044945,933429979-044945,236951201-0000044945
Component 00000000030345,00003-30345,00002-00006-00001-108317,1000941635-030345,141139391-030345,1428820794-0030345,102722094-030345,106766020-00030345,532623216-030345,946507832-0000030345
Component 00000000061450,00004-00012-61450,00004-00002-00007-114459,1854901706-061450,563450600-061450,1419483141-0061450,1496548828-061450,1511353417-00061450,2142274381-061450,1762839936-0000061450
Component 00000000052845,00002-52845,00004-00003-00011-120599,1651697305-052845,741129230-052845,1978044802-0052845,1512560431-052845,1770433512-00052845,894102645-052845,1007904386-0000052845
Component 00000000017179,00004-00001-00006-17179,00003-00008-110313,2073606152-017179,1864054960-017179,1654503768-0017179,500307928-017179,1548063888-00017179,605083524-017179,2029320000-0000017179
Component 00000000108468,00003-00003-00009-108468,00002-00012-71967,1480077043-108468,461597504-108468,1590601612-0108468,402201459-108468,1199631860-00108468,1985183052-108468,499759706-0000108468
Component 00000000083253,00003-00002-00001-83253,00004-00004-00007-107244,538787324-083253,1233051129-083253,1927314934-0083253,924585338-083253,1748233607-00083253,1651195259-083253,1923652644-0000083253
Component 00000000106248,00003-00002-00012-106248,00003-9828,1453100559-106248,1358591694-106248,1264082829-0106248,90646077-106248,563190402-00106248,1211642333-106248,127852799-0000106248
Component 00000000007246,00001-00001-00005-7246,00003-00003-00008-79243,1003422078-007246,386324540-007246,1916710649-0007246,1138962543-007246,2076966586-00007246,1447511312-007246,1185923318-0000007246
Component 00000000112477,00002-00001-00001-112477,00004-00002-00002-60699,346189943-112477,2139114756-112477,1784555922-0112477,329955670-112477,2102749840-00112477,507235087-112477,1762841899-0000112477
Component 00000000024178,00003-00011-24178,00003-00006-59195,918503165-024178,211564422-024178,1652109326-0024178,2065454305-024178,1305180726-00024178,1345181853-024178,1882912409-0000024178
Component 00000000112229,00004-00005-112229,00001-00006-00002-53731,1603894574-112229,917519176-112229,231143778-0112229,526942476-112229,1811335819-00112229,870130175-112229,1898957463-0000112229
Component 00000000047160,00001-00009-47160,00003-00004-00009-65048,1449363342-047160,1055704854-047160,662046366-0047160,1684279497-047160,1505088290-00047160,1881108741-047160,1648224077-0000047160
Component 00000000117697,00002-00006-00008-117697,00002-00004-83295,1622553374-117697,104076999-117697,733084271-0117697,2064635008-117697,1067082295-00117697,1750131372-117697,299268565-0000117697
Component 00000000025051,00001-00005-25051,00003-00004-00004-83633,1727335259-025051,930589597-025051,133843935-0025051,1739876298-025051,1428637314-00025051,2138249129-025051,462755964-0000025051
Component 00000000063419,00004-00006-00005-63419,00004-00006-00004-46024,1918576673-063419,83617955-063419,396142884-0063419,969908377-063419,1554767379-00063419,1887387736-063419,369273129-0000063419
Component 00000000117746,00001-00006-00005-117746,00001-00002-00003-84646,2138509197-117746,525210489-117746,1059395428-0117746,1202933151-117746,679492103-00117746,2009582505-117746,579584054-0000117746
Component 00000000090259,00004-00001-90259,00002-00007-56310,1104990650-090259,277660265-090259,1597813527-0090259,707914447-090259,549599078-00090259,47837816-090259,743058593-0000090259
Component 00000000043519,00004-00008-43519,00004-00001-00008-106569,1407686762-043519,739267607-043519,70848452-0043519,127870626-043519,1322482754-00043519,1535822027-043519,531082391-0000043519
Component 00000000106817,00002-00004-00009-106817,00005-00003-25730,1082901392-106817,479951599-106817,2024485453-0106817,830865666-106817,1698130984-00106817,58598739-106817,1699615429-0000106817
Component 00000000088023,00003-00005-88023,00002-00001-117222,235606972-088023,796804006-088023,1358001040-0088023,1683859357-088023,1025357834-00088023,1403260840-088023,678363006-0000088023
Component 00000000105351,00001-00001-00012-105351,00002-00002-00006-108257,2048629781-105351,816880007-105351,1732613880-0105351,290824211-105351,7122140-00105351,906699098-105351,687982918-0000105351
Component 00000000074797,00002-00002-00008-74797,00004-00006-00009-117529,1829543813-074797,434196800-074797,1186333434-0074797,1800948563-074797,187749040-00074797,1424880246-074797,617485054-0000074797
Component 00000000046759,00004-00006-00011-46759,00002-00002-00011-73747,1709325438-046759,972257157-046759,235188876-0046759,1394993985-046759,785368096-00046759,689786302-046759,635273043-0000046759
Component 00000000067867,00002-00002-00007-67867,00002-00004-00003-47037,540613383-067867,69516254-067867,1745902772-0067867,240980920-067867,448982918-00067867,1550271308-067867,518380190-0000067867
Component 00000000040212,00002-00004-00003-40212,00002-00002-00001-14002,1460068702-040212,135125397-040212,957665739-0040212,551085996-040212,733351580-00040212,139815825-040212,953193790-0000040212
Component 00000000088365,00004-00004-88365,00001-00001-00006-3256,534071134-088365,890868281-088365,1247665428-0088365,1732605411-088365,2096103323-00088365,480465014-088365,2045480470-0000088365
Component 00000000080229,00004-00002-00006-80229,00003-22568,757276550-080229,988892310-080229,1220508070-0080229,1253222675-080229,95143875-00080229,1137414795-080229,868254804-0000080229
Component 00000000032091,00001-00003-00007-32091,00003-00006-33683,1986762425-032091,946171513-032091,2053064248-0032091,910227074-032091,1818214340-00032091,1430522530-032091,1292279711-0000032091
Component 00000000092858,00003-00003-00012-92858,00004-00006-00004-5529,1544217711-092858,853967995-092858,163718279-0092858,279361190-092858,1583126123-00092858,624486048-092858,620690086-0000092858
Component 00000000096989,00004-00004-00009-96989,00002-00001-00002-10207,375491465-096989,1578680212-096989,634385312-0096989,1821829049-096989,100852608-00096989,146492852-096989,2013375451-0000096989
Component 00000000046189,00004-00003-46189,00002-00004-00010-57782,423533381-046189,436479437-046189,449425493-0046189,1051417097-046189,986686817-00046189,1044944069-046189,1795422801-0000046189
Component 00000000082644,00004-00002-00003-82644,00004-00006-90174,1890506745-082644,241337773-082644,739652448-0082644,1362706542-082644,1018616814-00082644,39807381-082644,1471853566-0000082644
Component 00000000067043,00003-00004-00002-67043,00005-00008-23980,536173138-067043,896725002-067043,1257276866-0067043,843069366-067043,1187793693-00067043,662793434-067043,1993349808-0000067043
Component 00000000119517,00002-00006-00008-119517,00002-00005-00001-10687,424584147-119517,1738495377-119517,904922960-0119517,1872253039-119517,1745147830-00119517,1215297424-119517,1080753084-0000119517
Component 00000000112999,00004-00005-00003-112999,00004-00001-00005-75314,557288778-112999,2113077334-112999,1521382243-0112999,851106099-112999,1662097907-00112999,73211821-112999,1683061808-0000112999
Component 00000000082743,00003-00003-00011-82743,00003-00001-114128,1674178351-082743,1191634669-082743,709090987-0082743,1893129891-082743,10881007-00082743,2134401732-082743,1444735319-0000082743
Component 00000000061986,00001-00001-00002-61986,00001-00004-00011-5926,1499787618-061986,1023174357-061986,546561096-0061986,932622753-061986,1168205411-00061986,97187560-061986,1783008921-0000061986
Component 00000000066110,00002-00005-66110,00001-00002-00002-121396,1933405076-066110,590622103-066110,1395322777-0066110,159198472-066110,430662396-00066110,1904331782-066110,240267972-0000066110
Component 00000000070483,00003-00010-70483,00003-00008-120323,1998028938-070483,774109741-070483,1697674191-0070483,1693748176-070483,1370893220-00070483,1231965951-070483,248433575-0000070483
Component 00000000035995,00001-00011-35995,00002-00005-00002-19437,815987182-035995,1218604567-035995,1621221952-0035995,2089319355-035995,76232430-00035995,814268839-035995,359958360-0000035995
Component 00000000016084,00004-00005-00003-16084,00003-00006-00009-79673,2115077993-016084,2117339470-016084,2119600947-0016084,1151017804-016084,1139710419-00016084,76145242-016084,29550367-0000016084
Component 00000000003406,00001-00004-3406,00001-00005-00002-95331,822648824-003406,1647367117-003406,324601763-0003406,1093038565-003406,1264414394-00003406,1754421242-003406,2075642096-0000003406
Component 00000000015404,00004-00004-00012-15404,00003-00004-00006-60638,554296489-015404,573791506-015404,593286523-0015404,426062990-015404,328587905-00015404,1490057305-015404,813804592-0000015404
Component 00000000003724,00004-00006-3724,00004-00002-00009-104204,56139355-003724,944307706-003724,1832476057-0003724,1256373262-003724,1110498801-00003724,1886030910-003724,165870785-0000003724
Component 00000000034888,00003-00009-34888,00001-00001-00006-112001,1320590979-034888,1056381847-034888,792172715-0034888,1391349959-034888,564911972-00034888,1523454525-034888,1789524910-0000034888
Component 00000000118668,00003-00004-00004-118668,00002-00006-110467,670188936-118668,279414142-118668,2036122995-0118668,1044964250-118668,851354573-00118668,1240351647-118668,392268387-0000118668
Component 00000000005890,00003-00001-5890,00001-00003-00008-41296,689775342-005890,269729967-005890,1997168239-0005890,718669301-005890,671412529-00005890,2002433812-005890,314652990-0000005890
Component 00000000087130,00001-00004-87130,00005-00008-92230,1134106476-087130,2113975795-087130,946361467-0087130,339386390-087130,1882490736-00087130,923193554-087130,1591070654-0000087130
Component 00000000005894,00004-00005-5894,00001-00002-41420,59223564-005894,2023209266-005894,1839711321-0005894,823249643-005894,1740739368-00005894,1988740439-005894,1281946408-0000005894
Component 00000000062650,00003-62650,00002-00002-00010-24502,1910680886-062650,164676178-062650,566155117-0062650,981314781-062650,1121403733-00062650,1854317135-062650,909812630-0000062650
Component 00000000079384,00004-00004-00006-79384,00001-00002-122410,454233447-079384,1285659721-079384,2117085995-0079384,2123702090-079384,114054367-00079384,1707988953-079384,1318194200-0000079384
Component 00000000113895,00005-00002-113895,00001-00002-00010-100396,1881841454-113895,1016892590-113895,151943726-0113895,734010843-113895,763787869-00113895,1166485275-113895,770485818-0000113895
Component 00000000107538,00003-00004-00002-107538,00001-00004-00002-45931,2020169536-107538,1405063640-107538,789957744-0107538,104820991-107538,1032866824-00107538,412373939-107538,466098899-0000107538
Component 00000000008160,00005-00009-8160,00004-00005-00008-104879,1168115897-008160,26055977-008160,1031479704-0008160,1612784599-008160,880633258-00008160,36330912-008160,421298530-0000008160
Component 00000000097164,00004-00004-00002-97164,00001-00003-00003-2551,710255419-097164,1660166791-097164,462594516-0097164,1683800374-097164,1229210808-00097164,1208844688-097164,1179062580-0000097164
Component 00000000098757,00002-00001-00009-98757,00001-00009-47160,1217193978-098757,426132925-098757,1782555519-0098757,431696730-098757,92034701-00098757,1900969080-098757,815447470-0000098757
Component 00000000084460,00005-00012-84460,00001-00006-00012-17471,1352834257-084460,239473523-084460,1273596436-0084460,1041929833-084460,166282562-00084460,1598610200-084460,43171469-0000084460
Component 00000000020335,00003-20335,00004-00003-00011-75099,1641462371-020335,1278598376-020335,915734381-0020335,148685966-020335,1963005941-00020335,1403859787-020335,1149399088-0000020335
Component 00000000017298,00003-00001-00008-17298,00004-00005-00009-113629,776281262-017298,1991202219-017298,1058639529-0017298,644147384-017298,1011993540-00017298,1110428729-017298,1056224234-0000017298
Component 00000000120460,00004-00002-120460,00001-00006-37121,325364690-120460,2109491919-120460,1746135501-0120460,2029931240-120460,1699229683-00120460,64125802-120460,1746569113-0000120460
Component 00000000048759,00004-00004-00009-48759,00003-00006-00011-6173,1242170750-048759,988780953-048759,735391156-0048759,763925654-048759,2030874639-00048759,1964362376-048759,1241235842-0000048759
Component 00000000045062,00002-00003-00004-45062,00002-00001-26222,1070048455-045062,1796735306-045062,375938510-0045062,880880553-045062,1542413592-00045062,1591278951-045062,1382251880-0000045062
Component 00000000100609,00004-00005-00002-100609,00002-00011-99045,1903508529-100609,917005687-100609,2077986492-0100609,1302760926-100609,1940307842-00100609,1796012347-100609,1378694391-0000100609
Component 00000000098304,00004-00003-00011-98304,00003-34450,1345670026-098304,379877411-098304,1561568443-0098304,675626609-098304,1209622390-00098304,84781093-098304,933244853-0000098304
