Component 00000000034351,00001-00002-00005-34351,00004-00002-00005-96959,2018108729-034351,1310685644-034351,603262559-0034351,994085635-034351,236233766-00034351,274055354-034351,100179581-0000034351
Component 00000000052612,00002-00001-52612,00004-00002-114090,20307104-052612,1447356730-052612,726922709-0052612,512737261-052612,1967423719-00052612,1946696095-052612,563684869-0000052612
Component 00000000026617,00002-00003-00006-26617,00003-00001-00011-3963,352623933-026617,2109815257-026617,1719522934-0026617,1824540914-026617,1628518882-00026617,945945252-026617,561666790-0000026617
Component 00000000067203,00003-00003-00006-67203,00003-00001-00006-28463,288175352-067203,1843379660-067203,1251100321-0067203,553656645-067203,1367569693-00067203,1923538138-067203,865619098-0000067203
Component 00000000109397,00002-00001-00002-109397,00002-00004-97972,743868497-109397,182782122-109397,1769179394-0109397,374724897-109397,1032673125-00109397,1729009908-109397,1075566251-0000109397
Component 00000000047086,00001-00004-47086,00002-00005-82927,519214756-047086,1521441623-047086,376184843-0047086,808835748-047086,92668707-00047086,1381464138-047086,544367378-0000047086
Component 00000000097423,00003-00004-00001-97423,00002-9765,586014705-097423,1179729717-097423,1773444729-0097423,1463905376-097423,642813963-00097423,1167047870-097423,1248872808-0000097423
Component 00000000094553,00003-00004-00004-94553,00004-00004-00006-52994,1314463543-094553,1751778815-094553,41610440-0094553,1049417765-094553,1010325052-00094553,830760129-094553,1271715909-0000094553
Component 00000000020072,00002-00003-20072,00002-00002-00006-67762,1399804093-020072,1523830704-020072,1647857315-0020072,2046385609-020072,1426252554-00020072,910630480-020072,1280904823-0000020072
Component 00000000007223,00003-00006-00008-7223,00001-00010-78660,2012610385-007223,1649172791-007223,1285735197-0007223,1565756252-007223,1235460575-00007223,1747475049-007223,301057761-0000007223
Component 00000000041031,00001-00004-00003-41031,00001-00002-00012-36906,1276409369-041031,135403806-041031,1141881890-0041031,698472562-041031,2108533083-00041031,195233520-041031,420568944-0000041031
Component 00000000113259,00004-00006-00003-113259,00004-00001-82590,1886825488-113259,1421227211-113259,955628934-0113259,1853887347-113259,2034395085-00113259,1012944662-113259,1121045220-0000113259
Component 00000000117550,00006-00004-117550,00002-00003-79212,1821175087-117550,150705336-117550,627719232-0117550,1334028926-117550,1096443093-00117550,1095521978-117550,1254063841-0000117550
Component 00000000028370,00006-00004-28370,00004-00006-00010-53024,1115063072-028370,995872055-028370,876681038-0028370,703007865-028370,1298962950-00028370,1836345197-028370,654402130-0000028370
Component 00000000065780,00001-65780,00002-00005-00010-112187,1016526404-065780,1383015811-065780,1749505218-0065780,537651644-065780,852688256-00065780,1428148764-065780,692102710-0000065780
Component 00000000024128,00003-00006-24128,00004-00003-00007-57844,490441159-024128,1935009760-024128,1232094714-0024128,758799780-024128,2125891363-00024128,1110257303-024128,890175399-0000024128
Component 00000000092879,00004-00003-00007-92879,00001-00005-00010-6081,248249199-092879,689051726-092879,1129854253-0092879,1226077112-092879,1169548124-00092879,2079417672-092879,2101280402-0000092879
Component 00000000083487,00002-00005-00001-83487,00002-00002-00002-113752,1653783906-083487,1838332047-083487,2022880188-0083487,940692333-083487,17951628-00083487,1922160086-083487,395130063-0000083487
Component 00000000003061,00001-00002-00006-3061,00006-00012-85630,153576708-003061,360596051-003061,567615394-0003061,530338432-003061,1642725364-00003061,1500570584-003061,1762348230-0000003061
Component 00000000062868,00003-00001-62868,00002-00001-00010-30612,1717664830-062868,2058510710-062868,251872943-0062868,1068820834-062868,1512075081-00062868,898397894-062868,2048032223-0000062868
Component 00000000062382,00002-00005-00008-62382,00005-00002-16980,1384563300-062382,2142311750-062382,752576553-0062382,1628141126-062382,2134366170-00062382,1249266901-062382,902490050-0000062382
Component 00000000025958,00003-00002-00010-25958,00002-00011-109055,1789454594-025958,1219410135-025958,649365676-0025958,985843920-025958,1688582568-00025958,197124326-025958,972123069-0000025958
Component 00000000036505,00001-36505,00002-00004-00002-58762,724912252-036505,879316282-036505,1033720312-0036505,1771056766-036505,999036616-00036505,1693854751-036505,115639481-0000036505
Component 00000000048719,00004-00006-00008-48719,00004-00003-00003-5099,1364903279-048719,991471921-048719,618040563-0048719,433351592-048719,153024735-00048719,620067271-048719,1854598103-0000048719
Component 00000000117417,00002-00006-00001-117417,00003-00001-00003-75468,411182231-117417,1912809250-117417,1266952622-0117417,1299390478-117417,233706324-00117417,1622318792-117417,1642126022-0000117417
Component 00000000092109,00004-00003-00004-92109,00004-00002-00003-3474,862687478-092109,50510619-092109,1385817407-0092109,1200557286-092109,966474287-00092109,532903892-092109,2004372114-0000092109
Component 00000000073251,00001-00003-00009-73251,00004-00006-74269,1824970106-073251,283562349-073251,889638239-0073251,1154879713-073251,271983910-00073251,851841768-073251,197074433-0000073251
Component 00000000000268,00003-00002-00008-268,00002-00005-00009-7432,1714613280-000268,711628323-000268,1856127013-0000268,1388224923-000268,2108182414-00000268,815975578-000268,1634475125-0000000268
Component 00000000084201,00001-00005-84201,,170412757-084201,221765049-084201,273117341-0084201,513515272-084201,256753812-00084201,487839126-084201,2050083861-0000084201
Component 00000000023487,00002-00002-00009-23487,00004-00005-39884,1590480810-023487,1634428802-023487,1678376794-0023487,1574474775-023487,1354734815-00023487,1552500779-023487,860661724-0000023487
Component 00000000116915,00001-00006-116915,00002-00003-37690,1725105727-116915,1290456700-116915,855807673-0116915,1045722564-116915,1071484052-00116915,189305254-116915,1859360508-0000116915
Component 00000000023780,00001-00003-23780,00002-00002-48050,1069320000-023780,156762100-023780,1391687847-0023780,1907418437-023780,27756996-00023780,216213740-023780,1314746775-0000023780
Component 00000000100353,00003-00001-00006-100353,00002-00006-91832,969129669-100353,1580272845-100353,43932374-0100353,544802647-100353,1784054061-00100353,239231059-100353,981461785-0000100353
Component 00000000030379,00004-00006-00011-30379,00005-109270,1499460611-030379,53940712-030379,755904460-0030379,1184964037-030379,1970112591-00030379,833982163-030379,1979422635-0000030379
Component 00000000107674,00004-00008-107674,00004-00004-00001-49739,2106095012-107674,309579472-107674,660547579-0107674,874437202-107674,1267080314-00107674,1772694972-107674,1576871004-0000107674
Component 00000000100129,00004-00001-00003-100129,00003-00002-85568,771690832-100129,391190516-100129,10690200-0100129,1644778329-100129,1399796262-00100129,1835028487-100129,1460114553-0000100129
Component 00000000056334,00004-00005-00005-56334,00003-00003-00004-94748,1936829457-056334,725938833-056334,1662531856-0056334,1190692662-056334,802694841-00056334,1796137974-056334,1825656966-0000056334
Component 00000000097239,00004-00002-00012-97239,00004-00005-00011-4639,69093836-097239,290720021-097239,512346206-0097239,1154287397-097239,46156472-00097239,2117216128-097239,1921694351-0000097239
Component 00000000012299,00004-00001-12299,00004-00002-00003-97204,1244141595-012299,1982319829-012299,573014416-0012299,538563945-012299,1142640069-00012299,169474828-012299,1678481136-0000012299
Component 00000000056552,00002-00006-00002-56552,00003-00002-00004-100858,2028847407-056552,328339079-056552,775314398-0056552,1158572085-056552,1071179137-00056552,2008826249-056552,1540844336-0000056552
Component 00000000026866,00001-00008-26866,00001-00002-00007-10901,23885838-026866,399219033-026866,774552228-0026866,2121418443-026866,244752468-00026866,860010022-026866,276239374-0000026866
Component 00000000010685,00003-00012-10685,00001-00001-00011-52011,1267171236-010685,152306180-010685,1184924771-0010685,883307195-010685,15181534-00010685,1440739723-010685,1506998493-0000010685
Component 00000000044637,00002-00005-00008-44637,00004-00003-14339,297296592-044637,1160798783-044637,2024300974-0044637,301221739-044637,278678078-00044637,943212467-044637,162878484-0000044637
Component 00000000005210,00002-00010-5210,00001-00001-00005-22261,776635452-005210,438739949-005210,100844446-0005210,494830909-005210,36824777-00005210,1737520484-005210,1924655764-0000005210
Component 00000000021856,00001-00002-00003-21856,00002-00010-117712,1340172707-021856,1603353950-021856,1866535193-0021856,145819287-021856,977396719-00021856,1087970489-021856,1895371340-0000021856
Component 00000000075531,00001-00001-00001-75531,00004-00001-00007-14554,114455180-075531,1508885615-075531,755832403-0075531,98596397-075531,1716378810-00075531,475123003-075531,1793984764-0000075531
Component 00000000077105,00002-77105,00002-00001-00008-58612,627815003-077105,329875316-077105,31935629-0077105,136383889-077105,1626082324-00077105,1359095556-077105,262719081-0000077105
Component 00000000063651,00001-00003-63651,00002-00002-00008-52502,2114233869-063651,1738728217-063651,1363222565-0063651,1082078923-063651,812123536-00063651,1269831749-063651,1335858313-0000063651
Component 00000000039031,00001-00006-00005-39031,00003-00008-104450,1604071976-039031,755727824-039031,2054867319-0039031,1261569897-039031,1208323363-00039031,1685741973-039031,764008134-0000039031
Component 00000000116054,00004-00001-00003-116054,00004-00001-00007-37304,82050615-116054,2092473230-116054,1955412198-0116054,2024525151-116054,562346664-00116054,2093055667-116054,449403564-0000116054
Component 00000000086064,00004-00006-00004-86064,1436259974,2109292577-086064,2088018682-086064,2066744787-0086064,3766846-086064,110136321-00086064,1088145617-086064,814566652-0000086064
Component 00000000094955,00003-94955,00001-64260,244579-094955,616903033-094955,1233561487-0094955,1990892187-094955,1055083564-00094955,1682562960-094955,758964368-0000094955
Component 00000000101859,00004-00002-00004-101859,00001-00004-00002-10441,2023719251-101859,767543485-101859,1658851366-0101859,1228736716-101859,1067164605-00101859,1856824599-101859,366594529-0000101859
Component 00000000008223,00003-00005-00007-8223,00004-00005-00003-106629,954439098-008223,879534126-008223,804629154-0008223,1616515250-008223,1991040110-00008223,1653967736-008223,1961493891-0000008223
Component 00000000061301,00001-00002-00006-61301,00003-00005-00004-110283,1108047500-061301,794830717-061301,481613934-0061301,2023160877-061301,1441761145-00061301,1106027445-061301,1217975071-0000061301
Component 00000000071018,00003-00003-00012-71018,00003-00011-114320,311064578-071018,1150344913-071018,1989625248-0071018,1287713356-071018,1386278975-00071018,1941815012-071018,1785601307-0000071018
Component 00000000113939,00004-00007-113939,00004-101595,161068218-113939,1718364618-113939,1128177371-0113939,528015973-113939,1331468561-00113939,1896851420-113939,1736262996-0000113939
Component 00000000003272,00002-00003-00009-3272,00004-00001-00008-91554,249838796-003272,2026898535-003272,1656474627-0003272,1611632081-003272,1316267974-00003272,1796844035-003272,624961850-0000003272
Component 00000000089476,00001-00002-00010-89476,00003-00004-00003-34388,1049910288-089476,146373104-089476,1390319567-0089476,178029804-089476,400748430-00089476,629798396-089476,499837362-0000089476
Component 00000000049726,00001-00005-00001-49726,00002-00002-00011-33252,1301433511-049726,866595458-049726,431757405-0049726,612882587-049726,639589205-00049726,1904043437-049726,2007378184-0000049726
Component 00000000023969,00004-00001-00010-23969,00002-00001-00010-53362,1012314228-023969,960324411-023969,908334594-0023969,1712033574-023969,1971982659-00023969,664286659-023969,1768299515-0000023969
Component 00000000017882,00002-00004-00007-17882,00004-00002-00001-6449,100735715-017882,1453868597-017882,659517832-0017882,1303171082-017882,979957613-00017882,626604641-017882,1756210294-0000017882
Component 00000000058810,00003-00011-58810,00004-00006-00008-40529,1353051845-058810,1714488700-058810,2075925555-0058810,629128313-058810,969427685-00058810,1522151709-058810,920443106-0000058810
Component 00000000102754,00004-00001-00002-102754,00004-00006-00008-35524,1917055085-102754,1711824551-102754,1506594017-0102754,553308774-102754,1579461444-00102754,655924041-102754,1380653766-0000102754
Component 00000000122181,00001-00003-00007-122181,00002-00004-00012-85292,239150693-122181,1406049185-122181,425464030-0122181,999152733-122181,1607111214-00122181,415703487-122181,843436683-0000122181
Component 00000000074852,00002-00001-00011-74852,00003-00009-119063,114132949-074852,1565074786-074852,868532976-0074852,691593516-074852,2026818919-00074852,1039864421-074852,119378717-0000074852
Component 00000000046177,00002-00005-00001-46177,00003-00011-57445,312769254-046177,1201841737-046177,2090914220-0046177,1556853563-046177,1406458442-00046177,38575498-046177,2117797142-0000046177
Component 00000000100718,00003-00002-00007-100718,00002-00005-102055,2007237872-100718,1757922127-100718,1508606382-0100718,1726584298-100718,825679376-00100718,777500347-100718,553996253-0000100718
Component 00000000012332,00002-00005-00008-12332,00006-00001-98125,761101172-012332,263468225-012332,1913318925-0012332,1321965183-012332,1662646271-00012332,497039833-012332,58587656-0000012332
Component 00000000110810,00011-110810,00002-00002-00001-14002,1212083399-110810,1854400631-110810,349234216-0110810,152214446-110810,1235595580-00110810,1978539477-110810,926314160-0000110810
Component 00000000102474,00004-00001-00008-102474,00003-00005-27695,7212855-102474,1713628745-102474,1272560988-0102474,1164004934-102474,1221860072-00102474,310796989-102474,277102144-0000102474
Component 00000000013142,00002-00003-00012-13142,00001-00003-00004-18126,1050474540-013142,1994016032-013142,790073877-0013142,1715080315-013142,1292340149-00013142,1243309569-013142,68603662-0000013142
Component 00000000029795,00003-00012-29795,00001-00007-92905,1454708847-029795,1180045422-029795,905381997-0029795,2092176440-029795,1318009918-00029795,1155766329-029795,1995279350-0000029795
Component 00000000079300,00004-79300,00002-00006-00009-120077,584794645-079300,1186029417-079300,1787264189-0079300,1827393676-079300,968703463-00079300,1526776290-079300,1552345926-0000079300
Component 00000000081603,00003-00004-00002-81603,00002-00004-00002-61037,1281030538-081603,1219733969-081603,1158437400-0081603,1529372412-081603,1835855257-00081603,486278873-081603,1960083908-0000081603
Component 00000000108394,00004-00006-108394,00006-00005-69880,1155214819-108394,361663948-108394,1715596724-0108394,248961398-108394,2069232106-00108394,1719478657-108394,1297332223-0000108394
Component 00000000032135,00005-00012-32135,00001-00005-34910,953682224-032135,363556567-032135,1920914557-0032135,1323617094-032135,2126761732-00032135,544938099-032135,1163650269-0000032135
Component 00000000060328,00003-00002-00008-60328,00001-00003-00007-83051,67420249-060328,724786619-060328,1382152989-0060328,1884918136-060328,745569933-00060328,1556234951-060328,760894012-0000060328
Component 00000000063958,00003-00006-00011-63958,00004-00003-00012-61099,1687890549-063958,1741375059-063958,1794859569-0063958,2134405637-063958,1866983087-00063958,2107663382-063958,698327762-0000063958
Component 00000000078871,00001-00002-78871,00003-00004-108073,166694074-078871,1746470861-078871,1178764001-0078871,550198775-078871,1241249428-00078871,834052205-078871,1446344870-0000078871
Component 00000000060548,00003-00005-00007-60548,00001-00004-00011-89191,1531374423-060548,709364371-060548,2034837966-0060548,318592547-060548,133675513-00060548,729597573-060548,1979916897-0000060548
Component 00000000017538,00003-00003-00001-17538,00003-00008-120323,721982159-017538,86784729-017538,1599070946-0017538,2127161509-017538,1008181365-00017538,297276577-017538,533666884-0000017538
Component 00000000110388,00003-00005-00005-110388,00002-00005-00011-2182,265558589-110388,2082641204-110388,1752240172-0110388,1420977713-110388,925499226-00110388,1586178229-110388,1093659353-0000110388
Component 00000000059555,00006-00002-59555,00001-00002-00007-61406,176325933-059555,1174083121-059555,24356662-0059555,1322909317-059555,629090671-00059555,824030723-059555,909374263-0000059555
Component 00000000020446,00001-00006-00010-20446,00001-00003-00005-78291,2076563199-020446,2056639788-020446,2036716377-0020446,36535942-020446,136152997-00020446,1120239471-020446,293987618-0000020446
Component 00000000036076,00001-00005-00001-36076,00003-00001-00011-21708,406409851-036076,259578895-036076,112747939-0036076,1875043073-036076,461714206-00036076,1948458551-036076,79881231-0000036076
Component 00000000091983,00003-00003-00008-91983,00003-00001-104573,1041464630-091983,118960134-091983,1343939285-0091983,1397153161-091983,1714708347-00091983,1858405409-091983,1192320000-0000091983
Component 00000000095034,00004-00002-00004-95034,00001-00006-66410,1015519834-095034,1526988425-095034,2038457016-0095034,1125684557-095034,715825249-00095034,1943692085-095034,1857406628-0000095034
Component 00000000056897,00002-00001-00009-56897,00003-00003-00011-110498,1364607538-056897,323694566-056897,1430265241-0056897,272452277-056897,1182049843-00056897,792908763-056897,724666052-0000056897
Component 00000000080488,00003-00002-00005-80488,00003-00004-29813,1813649933-080488,464074868-080488,1261983450-0080488,1857510514-080488,15451251-00080488,1458556223-080488,1079737591-0000080488
Component 00000000104935,00005-00012-104935,00006-00004-96620,1396427517-104935,215588647-104935,1182233424-0104935,2107800791-104935,1569544200-00104935,550736579-104935,1223439102-0000104935
Component 00000000009949,00004-00002-00004-9949,00003-00003-00008-13723,812494004-009949,1252822917-009949,1693151830-0009949,1767351638-009949,1713190720-00009949,473445358-009949,475718172-0000009949
Component 00000000000030,00002-00004-30,00001-00001-00004-771,2019594693-000030,1666437415-000030,1313280137-0000030,2071335886-000030,1689638629-00000030,100430878-000030,139124090-0000000030
Component 00000000105779,00004-00002-00011-105779,00001-00001-00011-120261,1719838583-105779,905710407-105779,91582231-0105779,889327693-105779,665001279-00105779,1296391781-105779,1665364551-0000105779
Component 00000000056158,00003-00004-00011-56158,00002-00001-89805,2083162010-056158,107059454-056158,278440545-0056158,731468512-056158,2022046704-00056158,1719519790-056158,180205009-0000056158
Component 00000000109319,00004-00002-109319,00002-00006-00012-95822,2127119694-109319,1170315188-109319,213510682-0109319,819257740-109319,1308312976-00109319,1297659993-109319,999611395-0000109319
Component 00000000084567,00002-00002-84567,00005-00005-20480,1129958591-084567,690454233-084567,250949875-0084567,1288833698-084567,1338871841-00084567,1508585877-084567,964224635-0000084567
Component 00000000040989,00004-00004-40989,00001-00004-00012-56536,897793626-040989,497312296-040989,96830966-0040989,801801944-040989,656724947-00040989,1002042609-040989,429969954-0000040989
Component 00000000077489,00004-00006-00009-77489,00003-00004-00007-69388,1551933166-077489,1765151793-077489,1978370420-0077489,81876517-077489,1163267029-00077489,1049009027-077489,789899054-0000077489
Component 00000000097108,00003-00004-00011-97108,00005-00010-985,1823143964-097108,2099733855-097108,228840099-0097108,1279109972-097108,2043644164-00097108,67073203-097108,716170951-0000097108
Component 00000000074713,00003-00002-00002-74713,00001-00004-00003-115196,1725076840-074713,2077686032-074713,282811577-0074713,1646753476-074713,2031191163-00074713,1470448880-074713,2065889451-0000074713
Component 00000000057959,00004-00006-00005-57959,00004-00002-00012-16704,962461201-057959,621534839-057959,280608477-0057959,1607401820-057959,1164549983-00057959,1777865001-057959,2030872483-0000057959
Component 00000000001471,00001-00001-00002-1471,00002-00003-00010-41142,1243431479-001471,1287104060-001471,1330776641-0001471,140326187-001471,2069446929-00001471,1192231720-001471,2062385231-0000001471
Component 00000000023835,00006-23835,1436259974,560593007-023835,766629362-023835,972665717-0023835,889679813-023835,2006981685-00023835,1860403459-023835,1207935661-0000023835
Component 00000000122244,00004-00003-00005-122244,00003-00012-87073,159840788-122244,1255534170-122244,203743905-0122244,1761362287-122244,577862671-00122244,1213515596-122244,1528600286-0000122244
Component 00000000022399,00004-00006-22399,00001-00002-00010-9396,1957548054-022399,2087321831-022399,69611961-0022399,735383474-022399,86514589-00022399,1744238409-022399,2099092562-0000022399
Component 00000000007879,00004-00004-00001-7879,00003-00005-12680,1323096580-007879,366075357-007879,1556537781-0007879,1078465675-007879,1568604496-00007879,483234463-007879,2009781357-0000007879
Component 00000000102774,00004-00009-102774,00002-00001-00006-36107,696293976-102774,1189462632-102774,1682631288-0102774,992653675-102774,674294042-00102774,746069347-102774,434346189-0000102774
Component 00000000070336,00001-00006-70336,00004-00002-00002-116209,1723210012-070336,859826055-070336,2143925745-0070336,1725019214-070336,1746971705-00070336,1082969369-070336,219930951-0000070336
Component 00000000038483,00003-00004-00003-38483,00004-00003-00010-89099,2082585676-038483,282660032-038483,630218035-0038483,685537822-038483,1095231454-00038483,1585500644-038483,372418559-0000038483
Component 00000000070022,00002-00001-00004-70022,00001-00012-107366,1251668977-070022,66367719-070022,1028550108-0070022,1746616433-070022,1230671782-00070022,191783415-070022,533925208-0000070022
Component 00000000002870,00010-2870,00002-00004-00012-80287,1387374893-002870,812759626-002870,238144359-0002870,362080031-002870,1087672719-00002870,1723129488-002870,1474593580-0000002870
Component 00000000011152,00002-00001-00011-11152,00004-00012-65090,101118791-011152,244914652-011152,388710513-0011152,1706508932-011152,987529627-00011152,560869178-011152,1763270411-0000011152
Component 00000000107648,00003-00002-00008-107648,00002-00002-00005-49002,758953281-107648,1380158734-107648,2001364187-0107648,1896388517-107648,937844899-00107648,512043967-107648,418743080-0000107648
Component 00000000024037,00002-00006-24037,00001-00001-00003-55266,185025376-024037,1840775150-024037,1349041277-0024037,1031994476-024037,1343180194-00024037,204119589-024037,2008954833-0000024037
Component 00000000000380,00002-00003-380,00004-10595,644348529-000380,1561757724-000380,331683272-0000380,1115279723-000380,823201042-00000380,1730316949-000380,2114242010-0000000380
Component 00000000060048,00003-00002-00001-60048,00001-00001-00007-75251,1901561796-060048,795116960-060048,1836155771-0060048,1926078425-060048,1015851664-00060048,331817196-060048,531779544-0000060048
Component 00000000045730,00006-00009-45730,00003-00006-00003-44918,117861927-045730,927274205-045730,1736686483-0045730,719651764-045730,967557668-00045730,314945625-045730,1326834423-0000045730
Component 00000000061828,00003-00004-61828,00002-00001-00012-99527,506088007-061828,1210819837-061828,1915551667-0061828,325843410-061828,1097151554-00061828,2120961142-061828,924204538-0000061828
Component 00000000022119,00004-00006-00006-22119,00001-00001-00011-1506,1804058816-022119,993865210-022119,183671604-0022119,1164374571-022119,920375307-00022119,1569471374-022119,1666707493-0000022119
Component 00000000001207,00002-00003-00011-1207,00003-00001-00004-33713,1421844366-001207,1976393543-001207,383459073-0001207,1473933863-001207,848671625-00001207,122917451-001207,264906674-0000001207
Component 00000000080198,00003-00006-00001-80198,00001-00004-00005-21676,1531348791-080198,2067237138-080198,455641838-0080198,678388033-080198,146429945-00080198,1484185683-080198,1936466937-0000080198
Component 00000000014314,00004-00006-00001-14314,00002-00005-00006-23042,697009525-014314,1139109230-014314,1581208935-0014314,1737750571-014314,1674735693-00014314,442958895-014314,124413823-0000014314
Component 00000000025743,00003-00004-00003-25743,00003-00005-103038,1148538799-025743,285662780-025743,1570270408-0025743,1174982994-025743,1194395795-00025743,532679180-025743,1980990094-0000025743
Component 00000000026476,00001-00002-00008-26476,00002-123515,752690507-026476,1570215650-026476,240257146-0026476,674212473-026476,881554052-00026476,1339191725-026476,1111841836-0000026476
Component 00000000073560,00004-00006-73560,00005-00006-118410,1513002127-073560,1519848326-073560,1526694525-0073560,771300955-073560,737069960-00073560,1841619679-073560,1557797681-0000073560
Component 00000000030393,00003-00006-00012-30393,00003-00006-109700,875889312-030393,1807459196-030393,591545433-0030393,959872099-030393,596989973-00030393,494087157-030393,1412044984-0000030393
Component 00000000034338,00003-00003-00005-34338,00004-00003-00012-96589,595163542-034338,1046938488-034338,1498713434-0034338,1031411953-034338,920020870-00034338,805524480-034338,894835607-0000034338
Component 00000000003057,00002-00005-00002-3057,00002-00002-00006-85507,987712086-003057,1377986941-003057,1768261796-0003057,1662431554-003057,1858540926-00003057,393552303-003057,2015520375-0000003057
Component 00000000083156,00001-00003-00008-83156,00001-00001-00004-104511,1017107119-083156,942405218-083156,867703317-0083156,615290391-083156,988799896-00083156,1726383165-083156,224655538-0000083156
Component 00000000102691,00001-00001-00004-102691,00004-00006-33774,399649887-102691,705345366-102691,1011040845-0102691,1267236913-102691,1886243165-00102691,40647350-102691,1358650617-0000102691
Component 00000000022401,00001-00001-00002-22401,00003-00001-00007-9458,1541125892-022401,179845461-022401,966048677-0022401,1017276222-022401,1381227436-00022401,624174614-022401,1877860267-0000022401
Component 00000000090802,00002-00005-00010-90802,00002-00002-00007-71507,1452781161-090802,937300865-090802,421820569-0090802,74306922-090802,504224755-00090802,332047070-090802,64843235-0000090802
Component 00000000093739,00004-00002-00009-93739,00001-00002-00004-30151,1661938449-093739,1268593844-093739,875249239-0093739,838336106-093739,657575484-00093739,2108750232-093739,1791452930-0000093739
Component 00000000015544,00004-00004-00009-15544,00006-00007-24590,312295481-015544,1411219630-015544,362660132-0015544,996767356-015544,1944597552-00015544,1521047105-015544,1903056917-0000015544
Component 00000000004834,00004-00004-00011-4834,00005-00004-11730,1080756207-004834,1919899778-004834,611559702-0004834,2050771931-004834,2537723-00004834,557458322-004834,1069921161-0000004834
Component 00000000090937,00002-00002-90937,00003-00005-75283,1641532264-090937,831797123-090937,22061982-0090937,2097825395-090937,1851533806-00090937,1428951142-090937,1141684060-0000090937
Component 00000000099092,00002-00006-99092,00002-00005-56555,337017780-099092,888799890-099092,1440582000-0099092,1328646351-099092,717219448-00099092,1052755296-099092,262485220-0000099092
Component 00000000025535,00006-00003-25535,00004-00002-00003-97204,214090703-025535,1034052563-025535,1854014423-0025535,1327535267-025535,1522693261-00025535,917554337-025535,2010860503-0000025535
Component 00000000026383,00003-00006-26383,00002-00005-00011-120937,2034946173-026383,1107064455-026383,179182737-0026383,2129839437-026383,326797086-00026383,446296649-026383,734995024-0000026383
Component 00000000107342,00002-00004-00001-107342,00001-00004-00006-40436,720774230-107342,1761425782-107342,654593687-0107342,1800250621-107342,891960155-00107342,1279924845-107342,586428550-0000107342
Component 00000000032075,00001-00004-32075,00002-00007-33222,1592020902-032075,1437588217-032075,1283155532-0032075,1618228444-032075,242908222-00032075,621702963-032075,2025978113-0000032075
Component 00000000011561,00001-00004-00004-11561,00001-00003-00010-76541,1044519394-011561,880914892-011561,717310390-0011561,1699635635-011561,370174498-00011561,1781437886-011561,2059225432-0000011561
Component 00000000061625,00004-00005-61625,00004-119340,1029342823-061625,1145978500-061625,1262614177-0061625,1317464040-061625,734285655-00061625,185404378-061625,4114294-0000061625
Component 00000000009834,00004-00006-00006-9834,00001-00002-00011-28156,134552935-009834,1161255138-009834,40473694-0009834,1611227723-009834,772684002-00009834,24134798-009834,1253823455-0000009834
Component 00000000091079,00004-00002-00001-91079,00003-00003-00008-79243,478753470-091079,490581036-091079,502408602-0091079,1052390421-091079,993252591-00091079,1046476638-091079,1616378179-0000091079
Component 00000000002170,00012-2170,00003-00006-00010-60668,167466159-002170,1460773812-002170,606597818-0002170,1689603390-002170,1665516066-00002170,2116691387-002170,1301169552-0000002170
Component 00000000093425,00003-00007-93425,00001-00002-00003-21401,1432223440-093425,183996622-093425,1083253451-0093425,1022764883-093425,821448032-00093425,1646878292-093425,765735723-0000093425
Component 00000000093048,00003-00004-00007-93048,00006-00002-10870,1898091145-093048,1305381047-093048,712670949-0093048,1068938803-093048,1885005646-00093048,1365293852-093048,468107135-0000093048
Component 00000000122133,00003-00004-00011-122133,00001-00006-00004-83971,1148337256-122133,335044064-122133,1669234519-0122133,358323090-122133,129821756-00122133,764969686-122133,1423322494-0000122133
Component 00000000024125,00003-00010-24125,00002-00002-00006-57752,213921948-024125,851719969-024125,1489517990-0024125,8613085-024125,1114590274-00024125,763455898-024125,1513352103-0000024125
Component 00000000045513,00003-00006-45513,1436259974,1652331005-045513,1155918170-045513,659505335-0045513,124886801-045513,459467329-00045513,1446835042-045513,10567877-0000045513
Component 00000000031394,00004-00006-00012-31394,00006-00007-14125,1269016750-031394,1357047465-031394,1445078180-0031394,169797310-031394,1877127382-00031394,1199523776-031394,2056095742-0000031394
Component 00000000072913,00003-00001-00009-72913,00003-00005-00004-64783,1379440809-072913,1477404162-072913,1575367515-0072913,761954312-072913,272137547-00072913,1786714459-072913,1674327284-0000072913
Component 00000000013379,00004-00002-00002-13379,00002-00003-00002-3902,196844447-013379,966365097-013379,1735885747-0013379,1011373973-013379,1458738017-00013379,626613648-013379,1275825932-0000013379
Component 00000000115145,00002-00004-115145,00003-00006-11823,2010165324-115145,433679127-115145,1004676577-0115145,1786254238-115145,1078750635-00115145,1500755513-115145,971537700-0000115145
Component 00000000120301,00001-00006-00012-120301,00004-32669,67544330-120301,1777909532-120301,1340791087-0120301,1415878041-120301,1453986619-00120301,560695440-120301,755810901-0000120301
Component 00000000093592,00002-00002-00005-93592,00003-00002-00007-26098,1991386750-093592,1228158763-093592,464930776-0093592,408309556-093592,2076965844-00093592,1863665373-093592,1025444487-0000093592
Component 00000000084070,00012-84070,00001-00003-00002-6541,371581959-084070,223565891-084070,75549823-0084070,1782737249-084070,375333942-00084070,1856745283-084070,1001713526-0000084070
Component 00000000000490,00009-490,00004-00001-13664,1856074694-000490,1534936645-000490,1213798596-0000490,239523023-000490,1845213268-00000490,1473833871-000490,1697805136-0000000490
