Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000097827,00002-00002-00002-97827,00003-00003-21063,158901163-097827,159506482-097827,160111801-0097827,1262000958-097827,1258974363-00097827,187956475-097827,964672730-0000097827
Component 00000000109395,00006-109395,00001-00007-97910,1091065369-109395,165312529-109395,1387043336-0109395,1289209216-109395,1623006122-00109395,1752085636-109395,1000437792-0000109395
Component 00000000050898,00003-00001-00003-50898,00004-00005-00003-66134,2110708122-050898,270639959-050898,578055443-0050898,1987973567-050898,450896147-00050898,1834265825-050898,1402023454-0000050898
Component 00000000024858,00003-00001-00002-24858,00002-00002-00002-78262,9538350-024858,1076919146-024858,2144299942-0024858,237899428-024858,1343446389-00024858,1851692677-024858,2133455506-0000024858
Component 00000000102975,00005-00002-102975,00006-00005-18465,795863420-102975,1168299739-102975,1540736058-0102975,605413892-102975,890715944-00102975,1492937556-102975,1883513140-0000102975
Component 00000000070667,00002-00002-00012-70667,00004-00006-1904,820785593-070667,184667778-070667,1696033610-0070667,1107584447-070667,2140689875-00070667,351901531-070667,1194684134-0000070667
Component 00000000115869,00004-00005-115869,00001-00006-32116,2100656365-115869,485892819-115869,1018612920-0115869,1094035676-115869,577918818-00115869,1901417449-115869,951221216-0000115869
Component 00000000110439,00004-00004-110439,00004-00003-00006-3594,937373011-110439,1900590877-110439,716325096-0110439,408799278-110439,2035160889-00110439,2074673992-110439,1819201340-0000110439
Component 00000000013121,00001-00003-00004-13121,00005-00006-120230,1121814801-013121,2027128623-013121,784958798-0013121,2079862228-013121,1848260412-00013121,1627205317-013121,1417501084-0000013121
Component 00000000089028,00003-00002-00004-89028,00001-00005-00004-21831,1239589145-089028,1551949718-089028,1864310291-0089028,282949583-089028,868630365-00089028,1200511120-089028,1455363467-0000089028
Component 00000000020826,00001-00001-20826,00003-00004-00002-88883,1024457105-020826,1627948306-020826,83955860-0020826,1302751119-020826,432778761-00020826,2074747342-020826,1793755267-0000020826
Component 00000000023984,00004-00002-00012-23984,00001-00001-00006-53761,113078535-023984,2110265791-023984,1959969400-0023984,339896336-023984,1091378291-00023984,1488786355-023984,693354069-0000023984
Component 00000000067721,00001-00003-00004-67721,00003-00003-42955,1038487224-067721,984511726-067721,930536228-0067721,568159218-067721,838036708-00067721,595146967-067721,1311364083-0000067721
Component 00000000019888,00003-00001-00011-19888,00004-00005-62634,600961078-019888,1560732756-019888,373020787-0019888,2052730874-019888,1548839778-00019888,1572845035-019888,1443537662-0000019888
Component 00000000103127,00002-00003-00011-103127,00003-00001-00008-45963,1510603476-103127,371204998-103127,1379290167-0103127,2084352115-103127,1338893564-00103127,506567707-103127,1507886540-0000103127
Component 00000000049717,00002-00003-00005-49717,00002-00001-00004-80032,1759620064-049717,1092431351-049717,425242638-0049717,539480365-049717,1727940283-00049717,1946816545-049717,915272329-0000049717
Component 00000000049127,00002-00001-49127,00003-00003-00004-16488,383661610-049127,1927467758-049127,1323790259-0049127,96332143-049127,967235991-00049127,1471912716-049127,874605137-0000049127
Component 00000000073125,00003-73125,00003-00003-00005-70738,765468250-073125,1927848954-073125,942746011-0073125,1306357572-073125,1936904993-00073125,725167220-073125,797440433-0000073125
Component 00000000057357,00002-00006-00001-57357,00003-00004-00010-123393,833070104-057357,693673582-057357,554277060-0057357,514789728-057357,1211772338-00057357,584487989-057357,360767777-0000057357
Component 00000000062157,00002-00004-00004-62157,00003-00001-00006-10718,2044420114-062157,1673484313-062157,1302548512-0062157,160161118-062157,2014840123-00062157,1419370842-062157,994525967-0000062157
Component 00000000034891,00001-00003-00012-34891,00004-00003-00008-112094,1930920176-034891,557698674-034891,1331960819-0034891,1901670386-034891,177843308-00034891,440797490-034891,375635162-0000034891
Component 00000000115209,00004-00003-00003-115209,00004-00003-00006-13604,1761479443-115209,21072060-115209,428148324-0115209,29841777-115209,141944104-00115209,1973787292-115209,592182507-0000115209
Component 00000000080973,00003-00004-00009-80973,00004-00005-00003-43384,552360823-080973,1538269503-080973,376694536-0080973,1124291569-080973,489715463-00080973,631337229-080973,1790929359-0000080973
Component 00000000063769,00004-00006-00004-63769,00003-00002-55848,1215894005-063769,901615237-063769,587336469-0063769,1005759286-063769,429669479-00063769,1162898670-063769,1817597180-0000063769
Component 00000000079708,00003-00006-00005-79708,00004-00007-7924,1112698760-079708,233589105-079708,1501963097-0079708,351811609-079708,452392590-00079708,1865108260-079708,1729599143-0000079708
Component 00000000061016,00001-00004-00007-61016,00002-00003-102300,1247073353-061016,1640011947-061016,2032950541-0061016,977242339-061016,1160033016-00061016,780773042-061016,453881746-0000061016
Component 00000000015422,00002-00001-00004-15422,00004-00003-00012-61099,1079149967-015422,1859248532-015422,491863450-0015422,1332966547-015422,1727441016-00015422,2016659088-015422,923924347-0000015422
Component 00000000044851,00001-00002-00001-44851,00002-00006-00008-20327,518352160-044851,2049499214-044851,1433162621-0044851,1764540281-044851,551255952-00044851,998966754-044851,918320412-0000044851
Component 00000000049583,00003-00002-00001-49583,00001-00003-00002-29291,1562785185-049583,307008147-049583,1198714756-0049583,787140958-049583,623575207-00049583,1415029477-049583,791200480-0000049583
Component 00000000008934,00004-00002-00003-8934,00001-00001-00008-3011,1277677099-008934,105726684-008934,1081259916-0008934,1346398617-008934,763699751-00008934,858632001-008934,1392300161-0000008934
Component 00000000116168,00003-00003-116168,00002-00011-40467,1441463142-116168,1298063761-116168,1154664380-0116168,2002785928-116168,572299186-00116168,1000743795-116168,406035245-0000116168
Component 00000000081376,00001-00001-00009-81376,00003-00006-00005-54683,699288589-081376,1069557025-081376,1439825461-0081376,1477438559-081376,1773580026-00081376,1292304341-081376,934021533-0000081376
Component 00000000088150,00006-00010-88150,00002-00002-00008-120752,651765595-088150,1198653927-088150,1745542259-0088150,1406045933-088150,819087920-00088150,1132601767-088150,1213749253-0000088150
Component 00000000022420,00006-00008-22420,00005-00009-9980,1118483115-022420,779680449-022420,440877783-0022420,1866422990-022420,1412952673-00022420,2035824323-022420,1611228782-0000022420
Component 00000000063313,00003-00005-00003-63313,00001-00003-00003-43046,1244524035-063313,1239836683-063313,1235149331-0063313,1017187463-063313,1040624223-00063313,1019531139-063313,1318005904-0000063313
Component 00000000059511,00001-00004-00010-59511,00002-00005-60177,232615180-059511,1790269408-059511,1200439989-0059511,616917593-059511,1418581041-00059511,1985574126-059511,1599262651-0000059511
Component 00000000011615,00002-00006-11615,00002-00006-78045,2043265237-011615,2099769574-011615,8790264-0011615,1562500111-011615,1279978426-00011615,460506119-011615,956024975-0000011615
Component 00000000078799,00004-00006-78799,00002-00006-00010-106077,1610640715-078799,1883439265-078799,8754168-0078799,1956468508-078799,592475758-00078799,1820069233-078799,1484574747-0000078799
Component 00000000050556,00001-00002-00012-50556,00001-56525,165155622-050556,1581440304-050556,850241339-0050556,135485995-050556,1643997173-00050556,1574827301-050556,1022922647-0000050556
Component 00000000101464,00004-00006-00012-101464,00004-00004-00001-122994,1204202894-101464,1584116557-101464,1964030220-0101464,1376404550-101464,1624319882-00101464,112705895-101464,342063172-0000101464
Component 00000000068945,00002-00006-68945,00002-00010-77217,1483951434-068945,1907422403-068945,183409725-0068945,1621198784-068945,1651327586-00068945,335721476-068945,578116124-0000068945
Component 00000000001464,00004-00001-00008-1464,00003-00006-00004-40928,97453015-001464,1713312086-001464,1181687510-0001464,83464843-001464,594104076-00001464,349277131-001464,986545230-0000001464
Component 00000000107304,00004-00001-00002-107304,00001-00006-00009-24436,825784990-107304,261840641-107304,1845379939-0107304,318029651-107304,990267749-00107304,1673743649-107304,1217561584-0000107304
Component 00000000038389,00004-00001-38389,00003-00001-00008-86458,1376272443-038389,2100065348-038389,676374606-0038389,1046748160-038389,1722750929-00038389,1758593531-038389,1344113560-0000038389
Component 00000000066920,00009-66920,00002-00004-00002-20542,611888367-066920,370033494-066920,128178621-0066920,693087085-066920,1902361450-00066920,1887756345-066920,35341806-0000066920
Component 00000000106535,00002-106535,00001-00012-17900,1446811800-106535,1659671236-106535,1872530672-0106535,1033076211-106535,2116262678-00106535,926646493-106535,688636031-0000106535
Component 00000000061664,00004-00001-00005-61664,00003-120445,1081391926-061664,785720915-061664,490049904-0061664,699991598-061664,30863006-00061664,1921568927-061664,1715988518-0000061664
Component 00000000036535,00002-00005-36535,00003-00002-00010-34603,161983837-036535,114193299-036535,66402761-0036535,2139110038-036535,230579081-00036535,15521660-036535,75564288-0000036535
Component 00000000065933,00003-00010-65933,00003-00006-00008-116423,914970686-065933,1372512315-065933,1830053944-0065933,557161399-065933,416936901-00065933,1402132408-065933,1710280946-0000065933
Component 00000000071463,00003-00002-71463,00003-00002-24195,1431380527-071463,1868745072-071463,158625970-0071463,94982666-071463,55643588-00071463,950042217-071463,1939276994-0000071463
Component 00000000105883,00003-00001-00011-105883,00001-00002-00010-123146,948538849-105883,1000639073-105883,1052739297-0105883,1327916066-105883,1067414946-00105883,1301865954-105883,150838208-0000105883
Component 00000000054369,00004-00003-54369,00005-00002-39730,2095400533-054369,1750469515-054369,1405538497-0054369,398631689-054369,2123286779-00054369,571097198-054369,1944809824-0000054369
Component 00000000093790,00004-00008-93790,00001-00002-00001-31656,608433516-093790,10739493-093790,1560529117-0093790,611302635-093790,1452289103-00093790,1983891470-093790,1799494596-0000093790
Component 00000000081762,00002-00002-00005-81762,00003-00001-00003-65458,112471620-081762,740122783-081762,1367773946-0081762,1562523791-081762,571751623-00081762,174956386-081762,1153286530-0000081762
Component 00000000088602,00002-00003-00007-88602,00004-9919,920660466-088602,1191991251-088602,1463322036-0088602,121559833-088602,912389555-00088602,1059636264-088602,1728761964-0000088602
Component 00000000035829,00004-00003-00001-35829,00004-00006-00001-14769,1157002628-035829,1372366024-035829,1587729420-0035829,864709099-035829,1935375766-00035829,757027401-035829,355919053-0000035829
Component 00000000107632,00002-00005-107632,00002-00001-00008-48602,2112717872-107632,899845682-107632,1834457139-0107632,1270475126-107632,892385135-00107632,1876911221-107632,1466796848-0000107632
Component 00000000031489,00004-00003-00003-31489,00003-00002-00010-16858,1159924894-031489,596876871-031489,33828848-0031489,695641366-031489,1363397834-00031489,2050907201-031489,258112621-0000031489
Component 00000000044479,00004-00001-00006-44479,00003-00004-00008-9888,179728603-044479,362263908-044479,544799213-0044479,1516498131-044479,603821606-00044479,351488655-044479,1484622410-0000044479
Component 00000000024683,00003-00001-00009-24683,00004-00003-00003-73349,140264354-024683,14376859-024683,2035973011-0024683,1550913611-024683,32867439-00024683,540115535-024683,493117352-0000024683
Component 00000000026370,00001-00006-26370,00004-00003-00011-120599,855296095-026370,615595484-026370,375894873-0026370,1040976520-026370,91995928-00026370,87085002-026370,1414800904-0000026370
Component 00000000083204,00004-00002-00004-83204,00003-00005-00012-114763,1865102156-083204,928684343-083204,2139750177-0083204,472252989-083204,859374760-00083204,2014203719-083204,1311812709-0000083204
Component 00000000085379,00004-00008-85379,00003-00001-43200,307033838-085379,2114872964-085379,1775228443-0085379,2087885569-085379,1638624527-00085379,1183966006-085379,219941671-0000085379
Component 00000000029857,00002-00002-00009-29857,00001-00002-00003-94656,1496429347-029857,1251644868-029857,1006860389-0029857,1435542174-029857,511980922-00029857,484192590-029857,772529954-0000029857
Component 00000000106113,00003-00007-106113,00002-00005-6050,871147006-106113,1441530149-106113,2011913292-0106113,1691183854-106113,986751786-00106113,332250459-106113,697314024-0000106113
Component 00000000043598,00003-00002-00009-43598,00003-00005-00007-108778,1972991742-043598,463521286-043598,1101534477-0043598,1778118624-043598,735536316-00043598,385370205-043598,1339347673-0000043598
Component 00000000095936,00001-00001-00009-95936,00004-00002-00007-91709,173731577-095936,115941974-095936,58152371-0095936,592161302-095936,881109317-00095936,1694797927-095936,2146336083-0000095936
Component 00000000058761,00001-00003-00001-58761,00003-00001-39208,1888841191-058761,739374390-058761,1737391236-0058761,900534341-058761,205417405-00058761,401525918-058761,109650209-0000058761
Component 00000000074068,00003-00001-00007-74068,00002-00001-00002-97112,1858171469-074068,101258735-074068,491829648-0074068,399766103-074068,594395185-00074068,1278222470-074068,391847444-0000074068
Component 00000000018388,00003-00006-00006-18388,00004-00005-00003-20634,803241918-018388,1267000677-018388,1730759436-0018388,746963436-018388,575653288-00018388,1588825880-018388,1362632758-0000018388
Component 00000000072726,00001-00003-00004-72726,00004-00001-00011-59564,685341108-072726,144454425-072726,1751051389-0072726,1295882570-072726,1852832338-00072726,492584088-072726,284906741-0000072726
Component 00000000061783,00003-00001-00007-61783,00002-00002-247,1402047628-061783,839590371-061783,277133114-0061783,966416251-061783,1631218889-00061783,173903056-061783,343137382-0000061783
Component 00000000091322,00002-00010-91322,00004-00001-00012-86059,556642639-091322,1945847041-091322,1187567796-0091322,1361063079-091322,857492010-00091322,666460878-091322,398864932-0000091322
Component 00000000039664,00004-00002-00001-39664,00001-00004-00009-122196,1746524608-039664,984788352-039664,223052096-0039664,1309538191-039664,823252177-00039664,1690406319-039664,1554848727-0000039664
Component 00000000055651,00001-00001-00011-55651,1436259974,229827263-055651,681471004-055651,1133114745-0055651,1733454055-055651,1622718997-00055651,433890361-055651,840041695-0000055651
Component 00000000040384,00004-00001-00006-40384,00001-00003-00006-18791,1082865817-040384,1324362176-040384,1565858535-0040384,984279170-040384,1924281022-00040384,1937272814-040384,600603086-0000040384
Component 00000000019223,00003-00001-00009-19223,00002-00002-00005-43997,671546476-019223,2063628990-019223,1308227857-0019223,1615555348-019223,1097593719-00019223,919514091-019223,399282967-0000019223
Component 00000000052908,00003-00002-00011-52908,00004-00003-00006-122349,1962832804-052908,1275458466-052908,588084128-0052908,837432116-052908,2126820159-00052908,1181119285-052908,1546229620-0000052908
Component 00000000071828,00003-00001-00003-71828,1436259974,740793359-071828,966914448-071828,1193035537-0071828,2043989764-071828,913384319-00071828,857187396-071828,18998025-0000071828
Component 00000000073854,00004-00004-00001-73854,00001-00002-91156,1686515820-073854,655555106-073854,1772078039-0073854,1077045072-073854,1936881348-00073854,1592525429-073854,1208386782-0000073854
Component 00000000094259,00004-00004-00009-94259,00001-00001-00007-44766,315462434-094259,425098050-094259,534733666-0094259,1337822516-094259,789644436-00094259,1283004708-094259,1251959606-0000094259
Component 00000000114058,00003-00009-114058,00002-00005-00006-104942,474961718-114058,1693496580-114058,764547795-0114058,1591844056-114058,1941620687-00114058,982576625-114058,1103072201-0000114058
Component 00000000040514,00004-00005-00006-40514,00004-00002-22414,599457650-040514,1033579949-040514,1467702248-0040514,1253294505-040514,1230166657-00040514,2109975179-040514,1663473539-0000040514
Component 00000000018477,00002-00004-00004-18477,00004-00002-23090,1820744626-018477,1646223935-018477,1471703244-0018477,872683877-018477,1745287332-00018477,2033686046-018477,14439658-0000018477
Component 00000000009050,00006-00002-9050,00012-6265,1466475624-009050,135382656-009050,951773335-0009050,1332976086-009050,1545989985-00009050,1998522570-009050,917696125-0000009050
Component 00000000021269,00004-00003-00001-21269,00002-00004-00004-101287,619074225-021269,1439594557-021269,112631242-0021269,1759604681-021269,1951970315-00021269,1349344515-021269,2006458362-0000021269
Component 00000000012747,00002-00007-12747,00001-00001-00002-109761,939312226-012747,1766556425-012747,446316977-0012747,1332208408-012747,1490954707-00012747,1992328132-012747,1065097960-0000012747
Component 00000000078873,00003-00004-00002-78873,00002-00004-00004-1187,656810615-078873,1072389715-078873,1487968815-0078873,1485044142-078873,1554632289-00078873,1277254592-078873,152384079-0000078873
Component 00000000046134,00004-00004-00010-46134,00003-00003-00010-56248,207412814-046134,1501776161-046134,648655861-0046134,1780751204-046134,1751385410-00046134,59827707-046134,2102489110-0000046134
Component 00000000121600,00003-00011-121600,00002-00007-69050,1080100715-121600,221316656-121600,1510016244-0121600,1305004970-121600,1303957971-00121600,660655176-121600,512103217-0000121600
Component 00000000093826,00001-00005-00005-93826,00001-00001-00009-5846,1052633820-093826,1838375754-093826,476634041-0093826,506411973-093826,872669597-00093826,113541006-093826,451236167-0000093826
Component 00000000094265,00003-00002-94265,00003-00006-00003-44918,1267406615-094265,343175545-094265,1566428122-0094265,1539356307-094265,1865544363-00094265,2001471842-094265,2041150098-0000094265
Component 00000000029658,00003-00006-00005-29658,00004-00003-00010-89099,1473511193-029658,389018067-029658,1452008588-0029658,415202110-029658,1542700446-00029658,957448673-029658,608201634-0000029658
Component 00000000088142,00002-00005-00002-88142,00003-00006-120568,1486841873-088142,569967822-088142,1800577418-0088142,1041865163-088142,1331268124-00088142,426560365-088142,1056247212-0000088142
Component 00000000059604,00004-00006-00012-59604,00001-00001-00005-62756,1891491226-059604,342219127-059604,940430675-0059604,839980246-059604,2143889800-00059604,540874472-059604,152564002-0000059604
Component 00000000013478,00003-00003-00010-13478,00001-00004-00001-6696,538928793-013478,1764923100-013478,843433760-0013478,943852390-013478,1256331796-00013478,1404597060-013478,1495416150-0000013478
Component 00000000060691,00001-00001-00007-60691,00003-00001-00003-93213,1437216342-060691,1689253178-060691,1941290014-0060691,776101006-060691,1663400473-00060691,650082588-060691,840289493-0000060691
Component 00000000070510,00006-00011-70510,00002-00004-00012-113502,450727523-070510,1965967109-070510,1333723048-0070510,925403446-070510,1939140104-00070510,167783653-070510,625596812-0000070510
Component 00000000056268,00003-00002-00004-56268,00001-00007-92905,338206171-056268,2060257400-056268,1634824982-0056268,1179570368-056268,1159248811-00056268,1392286577-056268,944785832-0000056268
Component 00000000041079,00004-00003-00012-41079,00002-00002-00011-38257,597609648-041079,1503811741-041079,262530187-0041079,524996395-041079,288953224-00041079,1145637172-041079,1582122518-0000041079
Component 00000000111855,00002-00003-111855,00001-00001-00010-43261,1667105006-111855,36122477-111855,552623595-0111855,947605465-111855,512583522-00111855,689354906-111855,191296406-0000111855
Component 00000000055030,00003-00001-55030,00002-00011-58212,1348478804-055030,1611912758-055030,1875346712-0055030,1240123691-055030,2070437568-00055030,1108406714-055030,1417354421-0000055030
Component 00000000035520,00002-00004-35520,00003-00004-00007-6143,1829203034-035520,1775528329-035520,1721853624-0035520,299721665-035520,568095190-00035520,1400300841-035520,200860984-0000035520
Component 00000000069080,00004-00011-69080,00004-00006-00008-81024,1657537249-069080,992689357-069080,327841465-0069080,1624669192-069080,653941358-00069080,1957093138-069080,1687708924-0000069080
Component 00000000031607,00002-00002-00004-31607,00002-00001-00001-20112,1651123439-031607,938534901-031607,225946363-0031607,1450317698-031607,718293094-00031607,1806611967-031607,1576744418-0000031607
Component 00000000021817,00002-00005-00003-21817,00003-00002-00011-116608,311875555-021817,1743388622-021817,1027418042-0021817,2094524424-021817,1379410030-00021817,305026067-021817,1282420883-0000021817
Component 00000000042133,00003-42133,00002-00002-00006-67762,2008666013-042133,1227413387-042133,446160761-0042133,625135651-042133,236431487-00042133,1015761964-042133,591229863-0000042133
Component 00000000005283,00003-00005-00005-5283,00003-00008-24318,845967860-005283,336755598-005283,1975026983-0005283,1918976917-005283,170070933-00005283,26099401-005283,879520026-0000005283
Component 00000000034597,00002-00003-00004-34597,00001-00009-103866,304073367-034597,1762366947-034597,1073176880-0034597,164351646-034597,1462818334-00034597,1582688503-034597,1378689137-0000034597
Component 00000000082326,00001-00006-00010-82326,00004-00004-00002-81239,875339267-082326,1787683244-082326,552543574-0082326,1100607388-082326,833854797-00082326,1718177223-082326,1607976807-0000082326
Component 00000000015083,00003-00005-00003-15083,00002-00001-00002-51612,879182154-015083,1223052672-015083,1566923190-0015083,377033101-015083,805164158-00015083,205097842-015083,1575974264-0000015083
Component 00000000042970,00004-00005-42970,00002-00005-00005-91187,1936217220-042970,1034159691-042970,132102162-0042970,62358180-042970,277678531-00042970,1587128768-042970,135768902-0000042970
Component 00000000080058,00003-00006-00004-80058,00003-00003-00003-17748,1964492553-080058,66811465-080058,316614024-0080058,121272959-080058,1019743811-00080058,1070113503-080058,1319140187-0000080058
Component 00000000000084,00004-00006-84,00002-00004-2305,912903647-000084,560812561-000084,208721475-0000084,1016355152-000084,629326935-00000084,1192400695-000084,593597074-0000000084
Component 00000000098960,00001-00004-98960,00004-00008-52840,325237528-098960,189249970-098960,53262412-0098960,172291906-098960,852229696-00098960,240285685-098960,818562858-0000098960
Component 00000000084283,00003-00003-00004-84283,00003-00003-00005-12498,1315628964-084283,626812534-084283,2085479751-0084283,120286814-084283,1416885317-00084283,464695029-084283,224613998-0000084283
Component 00000000122019,00004-00002-00001-122019,00003-00005-00009-80778,2079607544-122019,1702288526-122019,1324969508-0122019,959504347-122019,698615790-00122019,1148163856-122019,850153704-0000122019
Component 00000000001829,00004-00002-00009-1829,00001-00002-00009-51151,1633990445-001829,927247006-001829,220503567-0001829,642930182-001829,2029163730-00001829,2070043725-001829,32672965-0000001829
Component 00000000073855,00005-00002-73855,00003-00003-118888,93896342-073855,2840822-073855,2059268949-0073855,2120154563-073855,427948516-00073855,18198676-073855,325436512-0000073855
Component 00000000074673,00003-00004-00001-74673,00002-00011-114060,414684356-074673,736447988-074673,1058211620-0074673,987834979-074673,1526500466-00074673,826953163-074673,1732403090-0000074673
Component 00000000078542,00002-00002-00009-78542,00001-00005-00005-98831,2045235901-078542,1620783063-078542,1196330225-0078542,786626081-078542,761406624-00078542,998852500-078542,347373994-0000078542
Component 00000000005902,00002-00001-5902,00004-00005-00008-41634,101980501-005902,173931143-005902,245881785-0005902,1444102991-005902,1084349781-00005902,1408127670-005902,953908674-0000005902
Component 00000000107198,00003-107198,00004-00001-36414,670907433-107198,292792969-107198,2062162152-0107198,1659708752-107198,1402797425-00107198,1848765984-107198,1214721441-0000107198
Component 00000000108741,00001-00003-00009-108741,00001-00012-79611,1097956765-108741,1450076921-108741,1802197077-0108741,995915155-108741,1382798022-00108741,819855077-108741,465356423-0000108741
Component 00000000064518,00003-00006-00012-64518,00002-00004-00009-76787,454546824-064518,1168976193-064518,1883405562-0064518,1818374692-064518,393711494-00064518,387418184-064518,403108453-0000064518
Component 00000000008378,00003-00006-00006-8378,111020,364156382-008378,1131215877-008378,1898275372-0008378,2133061714-008378,445247886-00008378,675790143-008378,1131529168-0000008378
Component 00000000068778,00003-00003-00008-68778,00001-00003-00011-72551,802979833-068778,1397415809-068778,1991851785-0068778,1715837258-068778,891141025-00068778,1418619270-068778,1094333433-0000068778
Component 00000000082816,00001-00006-00006-82816,00003-00003-00002-94993,2128252006-082816,1542052913-082816,955853820-0082816,541141583-082816,1324653401-00082816,1907982953-082816,1413841593-0000082816
Component 00000000009278,00003-00003-00009-9278,00004-00001-00001-12559,251760257-009278,494146793-009278,736533329-0009278,1270089018-009278,58156338-00009278,1148895750-009278,223049042-0000009278
Component 00000000084727,00002-00006-00006-84727,00003-00001-00003-24963,667197346-084727,579324489-084727,491451632-0084727,1774072899-084727,65953537-00084727,744267504-084727,1612206435-0000084727
Component 00000000076944,00004-00010-76944,00006-00011-54130,85756547-076944,1552083314-076944,870926434-0076944,1409386219-076944,520203325-00076944,1749964659-076944,120591872-0000076944
Component 00000000009870,00003-9870,00004-00002-00001-29199,1273663382-009870,53292558-009870,980405381-0009870,67736887-009870,1874623713-00009870,677922299-009870,741580096-0000009870
Component 00000000022969,00004-00002-00011-22969,00002-00001-00012-25362,1492880596-022969,1466958422-022969,1441036248-0022969,235655157-022969,365266027-00022969,248616244-022969,817206702-0000022969
Component 00000000070698,00003-00005-00004-70698,00009-2765,1224011707-070698,1063226809-070698,902441911-0070698,2015878742-070698,672319585-00070698,2096271191-070698,2052177758-0000070698
Component 00000000068546,00001-00002-00010-68546,00003-00007-66073,1980030735-068546,1256733789-068546,533436843-0068546,1259867206-068546,581384642-00068546,1621515679-068546,1904567141-0000068546
Component 00000000095398,00003-00002-00004-95398,00004-00005-00012-76634,960305397-095398,1432886967-095398,1905468537-0095398,258191425-095398,42767222-00095398,21900640-095398,2075301145-0000095398
Component 00000000105889,00004-00004-105889,00002-00006-00001-123332,2130242687-105889,1278678370-105889,427114053-0105889,557820782-105889,520675073-00105889,2057344764-105889,1352623693-0000105889
Component 00000000049362,00002-00005-00001-49362,00004-00002-23090,1830356769-049362,1827786688-049362,1825216607-0049362,631966017-049362,644816422-00049362,1706992881-049362,1056541483-0000049362
Component 00000000099779,00004-00001-00004-99779,00004-00006-00010-75774,405690936-099779,694457829-099779,983224722-0099779,452241541-099779,1155890723-00099779,1381599918-099779,1340312263-0000099779
Component 00000000089328,00003-00001-00005-89328,00003-00001-00001-30213,411901577-089328,321568304-089328,231235031-0089328,1399446954-089328,1851113319-00089328,370871767-089328,47089683-0000089328
Component 00000000119169,00004-00001-00011-119169,00003-00001-00004-953,122804265-119169,1682455022-119169,1094622132-0119169,1677680158-119169,321877314-00119169,1971596603-119169,88170838-0000119169
Component 00000000027404,00004-00006-27404,00001-00006-00002-25976,1442507223-027404,232032560-027404,1169041544-0027404,1790286360-027404,1400208734-00027404,1321781868-027404,1463090524-0000027404
Component 00000000038033,00003-00002-00008-38033,00001-00001-00006-76511,834584344-038033,40324539-038033,1393548381-0038033,2041431271-038033,1717763002-00038033,1364819350-038033,1246816332-0000038033
Component 00000000098358,00003-00001-98358,00005-36015,1543276402-098358,1657696557-098358,1772116712-0098358,1723944802-098358,1151844027-00098358,592992901-098358,1713755034-0000098358
Component 00000000037621,00001-00003-00012-37621,00003-00001-00007-64968,1002175577-037621,981951084-037621,961726591-0037621,1095029490-037621,1196151955-00037621,31399913-037621,508642304-0000037621
Component 00000000041876,00001-00002-00003-41876,00001-00005-00009-60576,341749621-041876,464274969-041876,586800317-0041876,1989261705-041876,1376634965-00041876,1927999031-041876,345785455-0000041876
Component 00000000035888,00003-00006-00008-35888,00003-00001-16458,1625530106-035888,936856767-035888,248183428-0035888,1510869693-035888,659269094-00035888,781464539-035888,1496900756-0000035888
Component 00000000043947,00002-00001-00007-43947,00002-00004-00008-118542,25796638-043947,2089877408-043947,2006474531-0043947,1349466221-043947,1766480606-00043947,317425836-043947,402646187-0000043947
Component 00000000068816,00001-00006-00007-68816,00001-00001-00003-110776,700727711-068816,431810058-068816,162892405-0068816,1616865246-068816,813969864-00068816,677582249-068816,191083529-0000068816
Component 00000000010389,00004-00001-00002-10389,00002-00003-43722,173226932-010389,1591011714-010389,861312849-0010389,216312155-010389,1717322833-00010389,1654903411-010389,703469378-0000010389
Component 00000000082172,00002-00006-00012-82172,00003-00006-76940,1295083874-082172,1351668414-082172,1408252954-0082172,1891950417-082172,1609027717-00082172,1863658147-082172,1740241328-0000082172
Component 00000000120311,00001-00002-00009-120311,00003-00003-32945,1687520025-120311,506914830-120311,1473793282-0120311,1336484713-120311,797059747-00120311,853045487-120311,288594791-0000120311
Component 00000000016032,00002-00002-00003-16032,00003-00006-00012-78168,534134040-016032,1829694685-016032,977771683-0016032,18057736-016032,2130189099-00016032,444019237-016032,1671885542-0000016032
Component 00000000103624,00004-00003-00001-103624,00001-00002-00010-59901,419731033-103624,425783942-103624,431836851-0103624,1787038943-103624,1756774398-00103624,710270665-103624,392030990-0000103624
Component 00000000028516,00001-00005-00007-28516,00002-00001-00011-57107,612242158-028516,21584901-028516,1578411291-0028516,956394428-028516,1762197066-00028516,177981233-028516,557768441-0000028516
Component 00000000074756,00001-00003-00006-74756,00003-00004-00004-116393,622238666-074756,1059053255-074756,1495867844-0074756,1406651586-074756,1370062288-00074756,114502468-074756,555914560-0000074756
Component 00000000107431,00001-00002-00012-107431,00003-00003-42955,112754130-107431,581785493-107431,1050816856-0107431,312196942-107431,114523774-00107431,1151423084-107431,1705837568-0000107431
Component 00000000098807,00002-00002-00007-98807,00007-48510,1819965246-098807,922413209-098807,24861172-0098807,164622568-098807,357415459-00098807,1687140410-098807,70318076-0000098807
Component 00000000055883,00003-00002-00009-55883,00004-00003-00004-82099,1709281007-055883,1825378547-055883,1941476087-0055883,897560756-055883,317073056-00055883,839511986-055883,1694111688-0000055883
