Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000055686,00001-00001-00007-55686,00004-00005-00012-76634,550876208-055686,1143225458-055686,1735574708-0055686,1362527422-055686,548264819-00055686,1066352797-055686,1543660147-0000055686
Component 00000000053887,00002-00001-00002-53887,00002-00001-26222,954721663-053887,1784256163-053887,466307016-0053887,384955620-053887,532250414-00053887,2117672017-053887,211908968-0000053887
Component 00000000084182,00002-00007-84182,00004-00004-00010-9734,367886802-084182,1650699210-084182,786027971-0084182,307262827-084182,335651728-00084182,1813340270-084182,1810553437-0000084182
Component 00000000105716,00001-00002-105716,00003-00007-118450,1072287304-105716,813125740-105716,553964176-0105716,1387853332-105716,536177505-00105716,1517434114-105716,1732826360-0000105716
Component 00000000094680,00005-00001-94680,00001-00005-00010-56586,311076452-094680,220227688-094680,129378924-0094680,199878692-094680,654122512-00094680,245303074-094680,946114071-0000094680
Component 00000000063635,00005-63635,00002-00006-00007-52072,713284227-063635,215116701-063635,1864432822-0063635,174479333-063635,517833316-00063635,423563096-063635,1602420415-0000063635
Component 00000000046600,00001-00008-46600,00001-00003-00006-69296,1599349982-046600,861021791-046600,122693600-0046600,1223912894-046600,620586555-00046600,519335166-046600,1723922757-0000046600
Component 00000000004366,00001-00005-00011-4366,00004-00005-00012-122134,1759453714-004366,1082667166-004366,405880618-0004366,1147560841-004366,236526287-00004366,1485954115-004366,918862062-0000004366
Component 00000000005019,00004-00001-5019,00004-00006-16919,390305701-005019,918873729-005019,1447441757-0005019,256051295-005019,1908178449-00005019,2139250928-005019,944276399-0000005019
Component 00000000041938,00003-00001-41938,00001-00003-62296,1688314869-041938,925179208-041938,162043547-0041938,109715486-041938,1777910144-00041938,1565025140-041938,1176321606-0000041938
Component 00000000063079,00004-00002-00003-63079,00001-00003-00006-36536,184264669-063079,1140934576-063079,2097604483-0063079,411856748-063079,2070958154-00063079,1007263618-063079,310661982-0000063079
Component 00000000118119,00004-00001-00001-118119,00004-00003-95085,1391309340-118119,1404206386-118119,1417103432-0118119,2016816071-118119,1952330841-00118119,2010367548-118119,1342954610-0000118119
Component 00000000023072,00002-00010-23072,00003-00003-00012-28248,2050600706-023072,1296939175-023072,543277644-0023072,931496628-023072,404836989-00023072,234585570-023072,775382741-0000023072
Component 00000000048669,00004-00005-00010-48669,00001-00002-3655,1289522788-048669,1676210422-048669,2062898056-0048669,716520214-048669,930565691-00048669,523176397-048669,822796219-0000048669
Component 00000000014041,00001-00006-00001-14041,00003-00007-22445,831833621-014041,1167833426-014041,1503833231-0014041,1021696811-014041,1489181433-00014041,1927438732-014041,93722515-0000014041
Component 00000000046287,00002-00003-00007-46287,00004-00001-00006-74509,1745856030-046287,1289233701-046287,832611372-0046287,767720-046287,136395718-00046287,1302820708-046287,334105135-0000046287
Component 00000000013590,00003-00005-13590,1436259974,757347458-013590,1922139188-013590,939447271-0013590,1415171541-013590,2033663832-00013590,832775676-013590,1322952539-0000013590
Component 00000000043231,00001-00006-00006-43231,00003-00003-00005-98493,1561437423-043231,1146435638-043231,731433853-0043231,1834945497-043231,1762470775-00043231,968704566-043231,151875681-0000043231
Component 00000000120789,00004-00004-00006-120789,00001-00005-00012-46331,331738356-120789,973091397-120789,1614444438-0120789,298847963-120789,1387050052-00120789,1051913266-120789,1896356882-0000120789
Component 00000000076287,00002-00001-00003-76287,00004-00002-00011-35709,350381805-076287,1227167130-076287,2103952455-0076287,998538951-076287,909579620-00076287,1633888112-076287,1905854738-0000076287
Component 00000000044028,00003-00005-00010-44028,00003-00003-00005-60728,1050895020-044028,1157670718-044028,1264446416-0044028,1934549079-044028,1400670589-00044028,1881161230-044028,1273409886-0000044028
Component 00000000002499,00004-00003-2499,00001-00009-69910,1351101864-002499,1508920048-002499,1666738232-0002499,415349200-002499,1773741927-00002499,336440108-002499,314174119-0000002499
Component 00000000058964,00004-00003-00009-58964,00003-00002-00008-44858,2027808152-058964,11167674-058964,142010843-0058964,857509084-058964,203293239-00058964,1865829323-058964,1584624867-0000058964
Component 00000000065942,00002-00002-00006-65942,00004-00007-116669,1454130969-065942,2030439234-065942,459263852-0065942,414052587-065942,1827478556-00065942,1199640278-065942,1929912798-0000065942
Component 00000000046616,00001-00003-00011-46616,00001-00006-00007-69726,559992886-046616,223088623-046616,2033668007-0046616,326263483-046616,2010784798-00046616,1568457438-046616,1342107121-0000046616
Component 00000000056223,00003-00006-00011-56223,00002-00003-00010-91647,282592304-056223,1071869279-056223,1861146254-0056223,981561769-056223,1330144188-00056223,1660665105-056223,1794017923-0000056223
Component 00000000088439,00004-00001-88439,00003-00009-5313,179853369-088439,261629425-088439,343405481-0088439,1998508438-088439,1589628158-00088439,1957620410-088439,1431143787-0000088439
Component 00000000069730,00003-00011-69730,00003-00010-99200,1148651109-069730,486262775-069730,1971358088-0069730,1235071615-069730,252045991-00069730,1566265782-069730,834654551-0000069730
Component 00000000098630,00012-98630,00004-00003-00010-43599,664611804-098630,1669565933-098630,527036415-0098630,1086505003-098630,356701652-00098630,1657769762-098630,2110851781-0000098630
Component 00000000068720,00001-00002-68720,00003-00004-00004-70893,1049734745-068720,2050011138-068720,902803884-0068720,1244757748-068720,538343077-00068720,1818361375-068720,512655721-0000068720
Component 00000000001605,00002-00006-1605,00003-00004-00012-44888,890966773-001605,237815759-001605,1732148392-0001605,1425397299-001605,396185075-00001605,1751972806-001605,447564839-0000001605
Component 00000000054378,00003-00002-00012-54378,00003-00009-39945,1456496599-054378,1719702425-054378,1982908251-0054378,1337077278-054378,21048148-00054378,1205474365-054378,724696316-0000054378
Component 00000000081471,00001-00005-81471,00002-00006-00005-57322,1920425020-081471,1794619498-081471,1668813976-0081471,113824497-081471,742852107-00081471,176727258-081471,1766446747-0000081471
Component 00000000010052,00002-00003-10052,00010-34265,2090863896-010052,1745253162-010052,1399642428-0010052,361128826-010052,2089182496-00010052,533934193-010052,442510692-0000010052
Component 00000000117894,00004-00010-117894,00002-00006-00006-88822,1839826330-117894,1806084186-117894,1772342042-0117894,203332346-117894,372043066-00117894,220203418-117894,1461740571-0000117894
Component 00000000028596,00001-00001-00009-28596,00004-00001-59319,789009877-028596,37182274-028596,1432838318-0028596,1906334954-028596,1370505675-00028596,1208506932-028596,1113264993-0000028596
Component 00000000032084,00004-00003-32084,00002-00002-00009-33497,1197559293-032084,872475031-032084,547390769-0032084,463358115-032084,2088779425-00032084,625900246-032084,482867598-0000032084
Component 00000000086149,00004-00011-86149,00003-00005-00004-64783,243372214-086149,1900165141-086149,1409474421-0086149,67192411-086149,373162364-00086149,312537771-086149,1394359491-0000086149
Component 00000000029284,00004-00003-00008-29284,00006-00006-78630,1663431177-029284,711949230-029284,1907950930-0029284,1687455158-029284,2413952-00029284,1089454308-029284,681784791-0000029284
Component 00000000066102,00002-00001-00010-66102,00006-91175,860655681-066102,423248194-066102,2133324354-0066102,47487208-066102,87040996-00066102,1339932775-066102,1984960339-0000066102
Component 00000000059926,00001-00006-00009-59926,00004-00006-00011-71784,728720917-059926,1988217808-059926,1100231052-0059926,611036191-059926,756002677-00059926,1055029569-059926,1085132650-0000059926
Component 00000000085193,00003-00003-00004-85193,00002-00004-00004-38042,1050207121-085193,1739233113-085193,280775458-0085193,108229381-085193,958066715-00085193,1911200032-085193,1236150342-0000085193
Component 00000000051005,00003-00006-51005,00001-00005-00012-69081,396783698-051005,803055927-051005,1209328156-0051005,1847375805-051005,1963498307-00051005,570497867-051005,1458191039-0000051005
Component 00000000049743,00003-00001-00005-49743,00002-00002-00007-33742,646424220-049743,1653530966-049743,513154065-0049743,98977520-049743,1505894731-00049743,1742907794-049743,167733073-0000049743
Component 00000000083425,00006-00004-83425,00004-00001-00005-10704,1121783138-083425,565761106-083425,9739074-0083425,2072001997-083425,557144863-00083425,202529366-083425,1384995201-0000083425
Component 00000000080720,00003-00003-80720,00001-00001-00004-36261,1388312007-080720,25753236-080720,810678112-0080720,802462847-080720,1172805761-00080720,410000409-080720,874394176-0000080720
Component 00000000011449,00004-00004-00009-11449,00001-00012-73410,1253937361-011449,1489657030-011449,1725376699-0011449,875181249-011449,1844066551-00011449,1831063238-011449,367695267-0000011449
Component 00000000012245,00002-00012-12245,00004-00002-00006-95699,329670599-012245,172957022-012245,16243445-0012245,245254879-012245,1028822764-00012245,1397353491-012245,1819442809-0000012245
Component 00000000021742,00002-00006-21742,00004-00006-00002-114519,175733693-021742,1031940243-021742,1888146793-0021742,899562075-021742,913496619-00021742,471458800-021742,352767940-0000021742
Component 00000000058199,00004-00001-00011-58199,00003-00006-00002-23428,5699606-058199,1854213020-058199,1555242787-0058199,1611770658-058199,959138176-00058199,687513951-058199,223180389-0000058199
Component 00000000100350,00005-00003-100350,00004-00004-00011-91739,1509379094-100350,1280336077-100350,1051293060-0100350,64469181-100350,1209684266-00100350,1252732513-100350,90481187-0000100350
Component 00000000054449,00004-00003-00005-54449,00002-00002-00012-42002,1398756403-054449,1950702511-054449,355164972-0054449,250855230-054449,1786091984-00054449,2122365823-054449,1126630954-0000054449
Component 00000000009562,00002-00007-9562,00001-00005-00005-20571,678321349-009562,5490338-009562,1480142974-0009562,1332013844-009562,401201605-00009562,594687526-009562,527639030-0000009562
Component 00000000067087,00002-00006-00007-67087,00004-00009-92530,1443725615-067087,1106204330-067087,768683045-0067087,1180070645-067087,720193423-00067087,275089464-067087,995487373-0000067087
Component 00000000054215,00005-54215,00001-00004-00006-35431,1657898136-054215,386591654-054215,1262768819-0054215,129075875-054215,43157344-00054215,764729116-054215,2051851459-0000054215
Component 00000000059944,00004-00003-00001-59944,,1564008799-059944,1611462227-059944,1658915655-0059944,1718016410-059944,1480749270-00059944,1694289696-059944,1160612117-0000059944
Component 00000000096915,96915,00006-00006-119125,1352535125-096915,499074732-096915,1793097986-0096915,1835637181-096915,1807971852-00096915,1188625554-096915,1908055271-0000096915
Component 00000000019744,00004-00004-00010-19744,00001-00001-00009-27231,1925140707-019744,2123418214-019744,174212074-0019744,1877923385-019744,886535850-00019744,705042808-019744,602668827-0000019744
Component 00000000108743,00003-00005-00011-108743,00003-00006-00009-79673,100968596-108743,240698176-108743,380427756-0108743,435402285-108743,1884238032-00108743,365537495-108743,245027721-0000108743
Component 00000000121979,00004-00004-121979,00003-00004-00005-79643,2030410649-121979,106689683-121979,330452364-0121979,1071740619-121979,2100410861-00121979,2033601102-121979,1166229198-0000121979
Component 00000000008537,00002-00004-00009-8537,00001-00009-115410,245480852-008537,1745037957-008537,1097111415-0008537,1033298270-008537,2125447333-00008537,1357261541-008537,1713771625-0000008537
Component 00000000041375,00005-00009-41375,00001-00003-00006-46546,1571329613-041375,1725698414-041375,1880067215-0041375,1542023697-041375,770179692-00041375,391097473-041375,117751148-0000041375
Component 00000000084141,00001-00001-00005-84141,00003-00005-00010-8538,2089370743-084141,1639442058-084141,1189513373-0084141,668924167-084141,771083945-00084141,1967630333-084141,1559208230-0000084141
Component 00000000094679,00004-00004-94679,00002-00005-56555,1055618755-094679,2051024321-094679,898946240-0094679,2088148472-094679,1406087936-00094679,1590445689-094679,1842930158-0000094679
Component 00000000052694,00004-00005-00005-52694,00003-00004-00004-116393,93932864-052694,628885497-052694,1163838130-0052694,1343073624-052694,815794106-00052694,1855484-052694,1300600111-0000052694
Component 00000000078199,00004-00002-00004-78199,00002-00002-00007-89252,1448932141-078199,785393116-078199,121854091-0078199,405802310-078199,1576013788-00078199,1811313646-078199,1818808032-0000078199
Component 00000000100757,00002-00006-00007-100757,00006-00001-103130,555347470-100757,1393749470-100757,84667823-0100757,415655177-100757,518612471-00100757,2143937824-100757,1002402842-0000100757
Component 00000000115422,00002-00006-00008-115422,00004-00012-19590,238643046-115422,2105469557-115422,1824812421-0115422,1659157479-115422,914959512-00115422,1799486047-115422,557188467-0000115422
Component 00000000110534,00004-00004-00008-110534,00012-6265,1957663162-110534,1634448881-110534,1311234600-0110534,240414239-110534,1856485644-00110534,1475763203-110534,594783685-0000110534
Component 00000000044060,00002-00003-44060,00004-00002-00011-121704,50645133-044060,1389054402-044060,579980024-0044060,1612727093-044060,1363131689-00044060,2017264282-044060,83501126-0000044060
Component 00000000020242,00002-00005-00001-20242,00001-00003-00011-72551,1851162971-020242,1318104902-020242,785046833-0020242,693908565-020242,1211715263-00020242,2034179423-020242,856792673-0000020242
Component 00000000119503,00003-00006-00007-119503,00003-00009-10318,1829755014-119503,2128924145-119503,280609629-0119503,233330515-119503,884968507-00119503,1157487773-119503,358300349-0000119503
Component 00000000058293,00003-00004-00001-58293,,2053039798-058293,1114318510-058293,175597222-0058293,1622213917-058293,2020853063-00058293,2091574561-058293,1696075509-0000058293
Component 00000000083214,00004-00005-00001-83214,00003-00003-00002-10363,635600687-083214,93616212-083214,1699115384-0083214,1192899237-083214,1755337965-00083214,390149651-083214,805766675-0000083214
Component 00000000021047,00002-00005-21047,00004-00003-95085,1894888073-021047,78427507-021047,409450588-0021047,1843380149-021047,188264744-00021047,604126785-021047,699765125-0000021047
Component 00000000095810,00001-95810,00003-00006-00012-88178,2145777104-095810,1746075811-095810,1346374518-0095810,1013875393-095810,864898211-00095810,139984216-095810,1861967991-0000095810
Component 00000000118700,00001-00010-118700,00003-00004-00004-111388,1466380599-118700,692189304-118700,2065481656-0118700,1499066614-118700,1075055795-00118700,812420438-118700,1446296856-0000118700
Component 00000000063361,00001-00004-00012-63361,00002-00005-00006-44427,234543185-063361,304960879-063361,375378573-0063361,1502317697-063361,1150229227-00063361,1467108850-063361,1139957826-0000063361
Component 00000000032845,00001-00007-32845,00002-00010-54805,1850035427-032845,1609165991-032845,1368296555-0032845,905286016-032845,2109633196-00032845,1025720734-032845,1559678628-0000032845
Component 00000000107732,00002-00002-00001-107732,00001-00002-00007-51396,827350538-107732,1108278759-107732,1389206980-0107732,493725551-107732,1236568093-00107732,1427003264-107732,697342086-0000107732
Component 00000000010204,00004-00005-00012-10204,00003-00005-38563,1058499837-010204,209864725-010204,1508713260-0010204,701886198-010204,650094464-00010204,1126203754-010204,1362189586-0000010204
Component 00000000054224,00004-00002-00001-54224,00002-00005-00005-35677,1272174970-054224,376713085-054224,1628734847-0054224,1865688311-054224,2048030442-00054224,1239677430-054224,304565424-0000054224
Component 00000000053493,00003-00006-00011-53493,00003-00001-00001-15198,526245500-053493,2030811562-053493,1387893977-0053493,483255509-053493,1550359787-00053493,1878456125-053493,1705225565-0000053493
Component 00000000096187,00002-96187,00001-00007-28581,779703224-096187,1620357500-096187,313528129-0096187,749246317-096187,840942231-00096187,328919179-096187,70809365-0000096187
Component 00000000051485,00005-51485,00003-00005-00004-82528,2135076110-051485,1663032424-051485,1190988738-0051485,715793809-051485,928528592-00051485,951815652-051485,128006899-0000051485
Component 00000000054050,00003-00009-54050,00001-00003-00012-30796,10177850-054050,2007607803-054050,1857554109-0054050,1322508279-054050,2072776749-00054050,1397535126-054050,292422482-0000054050
Component 00000000039989,00004-00005-00001-39989,00003-00003-00003-7738,6607186-039989,2086341715-039989,2018592597-0039989,1015742257-039989,1354487847-00039989,1049616816-039989,1373555138-0000039989
Component 00000000001011,00001-00003-00010-1011,00003-00005-00003-28278,507628327-001011,1947801360-001011,1240490746-0001011,562801900-001011,1951871323-00001011,916457207-001011,1040091582-0000001011
Component 00000000038964,00004-00002-00003-38964,00001-00003-00002-102546,487801043-038964,273218838-038964,58636633-0038964,1891724159-038964,817151537-00038964,925273438-038964,1494948065-0000038964
Component 00000000032456,00001-00004-00008-32456,00006-43875,285340277-032456,1190848387-032456,2096356497-0032456,1252810672-032456,1020237416-00032456,800056617-032456,76378733-0000032456
Component 00000000079705,00003-00002-79705,00007-109935,605238071-079705,1347114687-079705,2088991303-0079705,79031948-079705,664616162-00079705,1855577287-079705,366763379-0000079705
Component 00000000033743,00003-00003-00008-33743,00004-00002-00012-79949,517800216-033743,1888450023-033743,1111616183-0033743,1496064622-033743,1085266528-00033743,1884481542-033743,1491740596-0000033743
Component 00000000055865,00005-00004-55865,00002-00003-00010-81637,2038109201-055865,340022325-055865,789419096-0055865,1285274301-055865,1185774093-00055865,2134317739-055865,1423205459-0000055865
Component 00000000091754,00004-00005-91754,00002-00005-00011-98187,522637166-091754,312250535-091754,101863904-0091754,2130045621-091754,1034495129-00091754,1161497113-091754,2135087780-0000091754
Component 00000000060992,00002-00001-00009-60992,00006-00004-101625,1784783816-060992,140455278-060992,643610387-0060992,1491744662-060992,1123452764-00060992,166425284-060992,2077468247-0000060992
Component 00000000086044,00004-00010-86044,00001-00005-00008-61836,1814204457-086044,848238848-086044,2029756886-0086044,1135770831-086044,1670631582-00086044,545011812-086044,5759259-0000086044
Component 00000000113814,00004-00001-00012-113814,00004-00003-00004-33414,1876615787-113814,716757221-113814,1704382302-0113814,1458050158-113814,814892047-00113814,2037979441-113814,887360385-0000113814
Component 00000000037383,00003-00003-00008-37383,00002-58305,1656336081-037383,792622415-037383,2076392396-0037383,568412573-037383,592013609-00037383,1000269406-037383,880250640-0000037383
Component 00000000005747,00002-00001-5747,00004-00006-00003-37274,1562475048-005747,1397611329-005747,1232747610-0005747,1082777441-005747,1907096036-00005747,91467477-005747,651562279-0000005747
Component 00000000112784,00004-00009-112784,00001-00001-00002-69266,607884449-112784,542183738-112784,476483027-0112784,642625436-112784,971128991-00112784,1749217615-112784,749681810-0000112784
Component 00000000024349,00004-00003-24349,00004-00004-00011-63984,697181983-024349,874347877-024349,1051513771-0024349,699793254-024349,1961447431-00024349,611210307-024349,1016863798-0000024349
Component 00000000009750,00006-9750,00002-00006-00004-25822,1664118956-009750,359934339-009750,1203233369-0009750,1761932618-009750,1840404762-00009750,1340283103-009750,144835940-0000009750
Component 00000000079781,00001-00002-79781,10010,265521667-079781,801305887-079781,1337090107-0079781,481252573-079781,2097298767-00079781,213360463-079781,1144975851-0000079781
Component 00000000098471,00001-00002-00009-98471,00006-00011-39115,1157948139-098471,425693705-098471,1840922918-0098471,3346442-098471,1517134965-00098471,369473659-098471,1522889642-0000098471
Component 00000000022338,00003-00001-00004-22338,00003-00006-00008-7678,2023096403-022338,557332978-022338,1239053200-0022338,726788818-022338,1613155002-00022338,385928707-022338,614930331-0000022338
Component 00000000017345,00006-00003-17345,00001-00006-00009-114981,523798658-017345,579071145-017345,634343632-0017345,2130772454-017345,1854410019-00017345,1029394387-017345,434393508-0000017345
Component 00000000081661,00001-00006-00008-81661,,1752617299-081661,1731347612-081661,1710077925-0081661,1794779303-081661,1901127738-00081661,731672323-081661,1576676119-0000081661
Component 00000000057077,00002-00006-00007-57077,00004-00002-00009-78724,1656095104-057077,2069597757-057077,335616763-0057077,1309879128-057077,1389849510-00057077,29385978-057077,1074380613-0000057077
Component 00000000097208,00003-00006-00007-97208,00004-00006-00009-3779,176881272-097208,1707204183-097208,1090043447-0097208,309356634-097208,1247676667-00097208,617937002-097208,607117857-0000097208
Component 00000000081957,00002-00001-00005-81957,00003-00006-00008-70923,983277852-081957,1717709347-081957,304657195-0081957,1169725184-081957,1792535003-00081957,1876251260-081957,552400707-0000081957
Component 00000000122583,00003-00006-00006-122583,00002-00009-96560,1716511332-122583,211448215-122583,853868745-0122583,661652332-122583,1744516976-00122583,340442067-122583,129212469-0000122583
Component 00000000016689,00004-00001-00010-16689,00004-00003-00012-96589,1511114829-016689,331234247-016689,1298837312-0016689,121481424-016689,1725917040-00016689,711421715-016689,1213526567-0000016689
Component 00000000021059,00004-00003-00012-21059,00003-00006-00003-95423,1424988774-021059,882282557-021059,339576340-0021059,1947282837-021059,365846628-00021059,1144894122-021059,742206574-0000021059
Component 00000000015872,00002-00003-00012-15872,00002-00002-00011-73747,1176718808-015872,803326630-015872,429934452-0015872,247067351-015872,2114028241-00015872,433763440-015872,1041658433-0000015872
Component 00000000063392,00002-00004-63392,00003-45318,929421472-063392,140049147-063392,1498160469-0063392,225827532-063392,2025205510-00063392,1694255518-063392,2054919031-0000063392
Component 00000000122091,00001-00004-00008-122091,00004-00006-00003-82774,1128433275-122091,697288405-122091,266143535-0122091,1692743550-122091,1700984253-00122091,1908315985-122091,224822112-0000122091
Component 00000000049683,00003-00004-00010-49683,00002-00010-32055,589051016-049683,1322121743-049683,2055192470-0049683,709501100-049683,1339114759-00049683,1416707560-049683,1800548972-0000049683
Component 00000000083005,00006-83005,00003-00005-00004-100273,627118634-083005,1689906260-083005,605210239-0083005,632710967-083005,1761223778-00083005,101317154-083005,358812157-0000083005
Component 00000000014777,00002-00009-14777,00001-00003-00003-43046,1382943937-014777,711442055-014777,39940173-0014777,1027357365-014777,89899481-00014777,1363108306-014777,1646469574-0000014777
Component 00000000073016,00001-00006-00008-73016,00004-00005-67639,630035453-073016,1824200302-073016,870881504-0073016,1638713984-073016,2110340680-00073016,2115373383-073016,1279424843-0000073016
Component 00000000101723,00003-00006-00011-101723,00004-00005-00004-6634,1119557876-101723,318985740-101723,1665897251-0101723,946514926-101723,654408312-00101723,1346800994-101723,507023762-0000101723
Component 00000000080703,00003-00012-80703,00002-00006-00004-35832,1357234458-080703,1538674962-080703,1720115466-0080703,1567164314-080703,659961794-00080703,1476444062-080703,904196721-0000080703
Component 00000000091396,00001-00004-00006-91396,00003-00004-00008-88148,1219048419-091396,894345799-091396,569643179-0091396,503356878-091396,2126869978-00091396,665708188-091396,114382044-0000091396
Component 00000000057105,00006-00009-57105,00001-00011-116361,1443394367-057105,824383639-057105,205372911-0057105,1486145117-057105,286231463-00057105,1795650481-057105,2070053178-0000057105
Component 00000000110915,00012-110915,00004-00006-16919,1078814157-110915,672236893-110915,265659629-0110915,687169676-110915,572572349-00110915,890458308-110915,348852501-0000110915
Component 00000000046489,00004-00002-00001-46489,00004-00007-66164,1959199824-046489,836645968-046489,1861575759-0046489,1202428983-046489,372747322-00046489,1763705911-046489,521755612-0000046489
Component 00000000056479,00004-00003-00007-56479,00001-00005-00005-98831,2083317252-056479,1891286934-056479,1699256616-0056479,1359781417-056479,172449360-00056479,1455796576-056479,1756745786-0000056479
Component 00000000051395,00001-00006-51395,00003-00005-00002-80043,1706795394-051395,33279843-051395,507247939-0051395,1071927933-051395,849571100-00051395,834943885-051395,1772049814-0000051395
Component 00000000004122,00002-00006-00001-4122,00004-00001-00009-115319,56882118-004122,2073157836-004122,1941949907-0004122,1209490326-004122,1865529971-00004122,201352467-004122,1607107553-0000004122
Component 00000000037878,00003-00001-00009-37878,00001-00002-00001-72151,2054122759-037878,528218724-037878,1149798336-0037878,2135962883-037878,1175548470-00037878,1825173077-037878,1545701280-0000037878
Component 00000000057926,00001-00001-00011-57926,00003-00005-00001-15783,1741487744-057926,715505016-057926,1837005935-0057926,1373449317-057926,60912016-00057926,1886440681-057926,1785422833-0000057926
Component 00000000056034,00004-00006-00004-56034,00004-00002-86335,326096059-056034,253770863-056034,181445667-0056034,1113291347-056034,1474917327-00056034,1149453945-056034,1413856682-0000056034
Component 00000000001195,00005-00012-1195,00006-00004-33375,1661129209-001195,1093434876-001195,525740543-0001195,971499646-001195,1662487664-00001195,181604989-001195,273394358-0000001195
Component 00000000110205,00004-00004-110205,00004-00005-00002-120629,1453544952-110205,2062120369-110205,523212139-0110205,1978423442-110205,1083030004-00110205,600393910-110205,542892994-0000110205
Component 00000000103058,00003-00004-00007-103058,00004-00001-00002-44059,60824705-103058,2086804231-103058,1965300110-0103058,1684067601-103058,144104559-00103058,671077838-103058,1112401466-0000103058
Component 00000000097848,00003-00002-00010-97848,00003-00001-00011-21708,370796969-097848,2119084054-097848,1719887492-0097848,337116535-097848,185615698-00097848,536714816-097848,370276023-0000097848
Component 00000000123426,00001-00002-00004-123426,00004-00010-120169,1779009103-123426,882308624-123426,2133091792-0123426,164966988-123426,353502089-00123426,1687059051-123426,1032785787-0000123426
Component 00000000045464,00004-00006-00003-45464,00004-00006-00001-37519,2143256640-045464,1593397714-045464,1043538788-0045464,1244902493-045464,1846713476-00045464,1519831956-045464,941084472-0000045464
Component 00000000101134,00004-00005-00007-101134,00004-00006-00012-15924,640258983-101134,497750457-101134,355241931-0101134,171046413-101134,883589043-00101134,242300676-101134,209043725-0000101134
Component 00000000030169,00004-00006-00009-30169,00001-00003-103405,1398818382-030169,594406717-030169,1937478699-0030169,2113300099-030169,1840391130-00030169,1441764108-030169,1270774031-0000030169
Component 00000000103783,00003-00001-00004-103783,00002-00006-00011-64322,1666057935-103783,527048582-103783,1535522876-0103783,1184937313-103783,437533137-00103783,680700166-103783,1051602917-0000103783
Component 00000000027993,00003-00004-27993,00001-00002-45060,914392693-027993,43377319-027993,1319845592-0027993,1619819994-027993,1679929570-00027993,2055327681-027993,758126737-0000027993
Component 00000000120893,00003-00003-00006-120893,00003-00005-00008-49278,1335032186-120893,1543514247-120893,1751996308-0120893,1782735733-120893,740325428-00120893,604752879-120893,815272213-0000120893
Component 00000000077955,00003-00007-77955,00002-00005-00004-82437,959955234-077955,1734880567-077955,362322253-0077955,962870062-077955,1383210691-00077955,1649149219-077955,207016177-0000077955
Component 00000000037787,00002-00001-00009-37787,00004-00003-00002-69604,1682151105-037787,1464242191-037787,1246333277-0037787,1850987011-037787,793047934-00037787,1959941468-037787,1925649082-0000037787
Component 00000000000994,00004-00006-994,00002-00002-00002-27757,716362247-000994,2121651268-000994,1379456642-0000994,1227144885-000994,643150721-00000994,1598242198-000994,1548263731-0000000994
Component 00000000027040,00006-27040,00003-00005-15813,1031783730-027040,655439409-027040,279095088-0027040,1032695161-027040,766933119-00027040,147125498-027040,2015912375-0000027040
Component 00000000122202,00002-00003-00002-122202,00006-00010-85875,549729122-122202,603801676-122202,657874230-0122202,1024764344-122202,754401574-00122202,997728067-122202,1699521819-0000122202
Component 00000000042867,00002-00006-00006-42867,00001-00003-00005-88301,17074196-042867,759968934-042867,1502863672-0042867,1687730637-042867,120740594-00042867,1316283268-042867,134735347-0000042867
Component 00000000118738,00003-00004-00009-118738,00004-00004-00005-112494,2131386663-118738,1098211074-118738,65035485-0118738,340752654-118738,1211663305-00118738,1931082272-118738,1893656410-0000118738
Component 00000000027896,00001-00001-00011-27896,00001-00001-00007-39761,527104751-027896,1926741032-027896,1178893666-0027896,763729499-027896,207999035-00027896,1137653182-027896,479814268-0000027896
Component 00000000086648,00003-00002-00003-86648,00001-00004-00002-78691,480357214-086648,575220658-086648,670084102-0086648,786266954-086648,311949734-00086648,738835232-086648,124415170-0000086648
Component 00000000119279,00004-00006-00004-119279,00004-00001-00011-4054,428024598-119279,1085332112-119279,1742639626-0119279,95184322-119279,1103614046-00119279,1914014212-119279,1865314851-0000119279
Component 00000000026773,00003-00005-00006-26773,00003-00003-8323,976759613-026773,1678796907-026773,233350554-0026773,665830020-026773,1450610844-00026773,314811373-026773,398090067-0000026773
Component 00000000014390,00005-00012-14390,00003-00001-00007-32208,404042824-014390,1814808010-014390,1078089549-0014390,106677641-014390,1642786299-00014390,1548778695-014390,148251733-0000014390
Component 00000000120814,00004-00001-00005-120814,00004-00005-43069,23730876-120814,536886667-120814,1050042458-0120814,215724799-120814,1944913138-00120814,1032888727-120814,1704906874-0000120814
Component 00000000075023,00003-00004-75023,00004-00003-00001-339,1596491700-075023,206819741-075023,964631429-0075023,1843136569-075023,201561776-00075023,1464230725-075023,7709544-0000075023
Component 00000000120435,00003-120435,00004-00002-00005-36444,2095922961-120435,1858620927-120435,1621318893-0120435,1324192547-120435,363219070-00120435,1442843564-120435,1711841677-0000120435
Component 00000000041730,00003-41730,00003-00001-00004-56463,32967710-041730,1502851917-041730,825252477-0041730,1529133222-041730,622163128-00041730,1867932942-041730,978440317-0000041730
Component 00000000096266,00001-00002-00001-96266,,882792278-096266,297385835-096266,1859463039-0096266,1481609027-096266,113673948-00096266,700570425-096266,1099552556-0000096266
