Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000081550,00001-81550,00002-00002-00001-59502,453392377-081550,178270144-081550,2050631558-0081550,1068607782-081550,296735300-00081550,132427075-081550,1796523285-0000081550
Component 00000000066802,00002-00001-00008-66802,,292150417-066802,154505485-066802,16860553-0066802,58822156-066802,747046816-00066802,127644622-066802,1442787054-0000066802
Component 00000000090082,00002-00006-00005-90082,00004-00003-679,309148906-090082,1327345612-090082,198058671-0090082,299565266-090082,1651032677-00090082,1937950560-090082,1911129076-0000090082
Component 00000000116270,00011-116270,00001-00002-00011-36801,144957384-116270,1313346093-116270,334251155-0116270,2050976772-116270,504000521-00116270,393040594-116270,642288329-0000116270
Component 00000000118233,00003-00003-00011-118233,00004-00008-98340,1513100672-118233,644713219-118233,1923809413-0118233,1272240318-118233,1319210289-00118233,632692221-118233,1300428762-0000118233
Component 00000000086558,00003-00003-00004-86558,00005-00003-76235,215536471-086558,1550157904-086558,737295690-0086558,1593908385-086558,1363252161-00086558,2000339492-086558,1928975239-0000086558
Component 00000000054899,00004-00005-54899,00003-00005-00006-54528,795335096-054899,1284658788-054899,1773982480-0054899,905214041-054899,606079228-00054899,660552195-054899,1498357279-0000054899
Component 00000000050078,00003-00002-50078,00002-00001-00012-43107,891649473-050078,1871813993-050078,704494866-0050078,1184988459-050078,579133153-00050078,694906199-050078,561304526-0000050078
Component 00000000120546,00001-00006-00010-120546,00001-00001-00009-39516,2102430031-120546,896684834-120546,1838423284-0120546,532104622-120546,118379666-00120546,61235397-120546,803465510-0000120546
Component 00000000065127,00002-00006-00010-65127,00004-00005-00003-93889,703522127-065127,1797341847-065127,743677920-0065127,66687372-065127,1040039713-00065127,1667261159-065127,1075813322-0000065127
Component 00000000074160,00002-00008-74160,00001-00006-00011-99721,1340359710-074160,2009336406-074160,530829455-0074160,1573474761-074160,376074928-00074160,1238986413-074160,1774903042-0000074160
Component 00000000082751,00001-00004-00006-82751,00001-00002-00006-93151,234867809-082751,1376373919-082751,370396382-0082751,1910822969-082751,498259713-00082751,1340069914-082751,1457814437-0000082751
Component 00000000059859,00004-00002-00007-59859,00006-00005-69880,36808158-059859,1308934629-059859,433577453-0059859,531658062-059859,613476648-00059859,969336650-059859,1736528926-0000059859
Component 00000000083272,00002-00007-83272,00005-00004-107735,149623610-083272,529029611-083272,908435612-0083272,297203659-083272,547657301-00083272,1181242482-083272,1118009102-0000083272
Component 00000000054171,00001-00005-54171,00003-00006-00009-34173,2057783846-054171,661624257-054171,1412948315-0054171,1989778660-054171,380642017-00054171,1614116631-054171,1644104061-0000054171
Component 00000000016608,00003-00004-00007-16608,00003-00002-00007-94348,87233019-016608,808831425-016608,1530429831-0016608,725017358-016608,1411992622-00016608,364218155-016608,1250501665-0000016608
Component 00000000103895,00001-00012-103895,00004-00002-00010-67454,81474947-103895,957418870-103895,1833362793-0103895,688824096-103895,604071775-00103895,1324593958-103895,939223788-0000103895
Component 00000000025649,00004-00001-25649,00001-00002-00010-100396,2006361315-025649,1811370519-025649,1616379723-0025649,1139242297-025649,2114196277-00025649,1236737695-025649,56791015-0000025649
Component 00000000036539,00004-00006-00009-36539,00003-00002-00010-57808,1639168856-036539,141984909-036539,792284609-0036539,966449601-036539,2009918395-00036539,641299751-036539,1931214249-0000036539
Component 00000000040851,00001-00006-00005-40851,00006-00007-31870,152540027-040851,61875137-040851,2118693894-0040851,50260156-040851,503584606-00040851,95592601-040851,471022955-0000040851
Component 00000000056207,00002-00004-00008-56207,00002-00005-00005-91187,1008124023-056207,26560343-056207,1192480310-0056207,646925777-056207,1259776883-00056207,1137707617-056207,1930954012-0000056207
Component 00000000094837,00002-00001-00002-94837,00001-00004-00002-60946,979904708-094837,121110985-094837,1409800909-0094837,1204340259-094837,1203341580-00094837,559995297-094837,63502518-0000094837
Component 00000000051230,00004-00010-51230,00004-00005-75374,2021187840-051230,944635629-051230,2015567065-0051230,274271311-051230,1362065072-00051230,1886289240-051230,757392358-0000051230
Component 00000000059311,00001-00005-59311,00004-00001-00011-54559,1330769508-059311,428302410-059311,1673318959-0059311,510788195-059311,728156391-00059311,962021744-059311,432537217-0000059311
Component 00000000038345,00006-00008-38345,00001-00001-00007-85261,881842015-038345,25427126-038345,1316495884-0038345,1221651015-038345,1208758166-00038345,576116636-038345,1599750470-0000038345
Component 00000000104952,00002-00001-00003-104952,00002-00005-97050,1219352883-104952,203363421-104952,1334857606-0104952,1335987857-104952,2120967873-00104952,1843982588-104952,414707494-0000104952
Component 00000000104646,00001-00003-00009-104646,00005-00007-88485,1052662423-104646,2048994351-104646,897842632-0104646,2130120697-104646,1443428351-00104646,1631954733-104646,1291470657-0000104646
Component 00000000054495,00012-54495,00001-00001-00010-43261,1887667414-054495,2609321-054495,265034875-0054495,1730404901-054495,418277131-00054495,1599192124-054495,1454919493-0000054495
Component 00000000046361,00001-00003-46361,00003-00002-00008-62603,1602643417-046361,1087052637-046361,571461857-0046361,218810704-046361,649280957-00046361,476606094-046361,1319386947-0000046361
Component 00000000107235,00002-00011-107235,00003-00006-00001-37428,516413427-107235,1739871824-107235,815846574-0107235,798345389-107235,1123504345-00107235,1260358014-107235,2036786134-0000107235
Component 00000000026366,00001-00004-00002-26366,00001-00006-00005-120476,2112021235-026366,1262884814-026366,413748393-0026366,657352286-026366,608067097-00026366,8178673-026366,910059395-0000026366
Component 00000000082466,00001-00006-00007-82466,00003-00001-00009-85198,2003733232-082466,853864899-082466,1851480213-0082466,995952080-082466,302842804-00082466,497144423-082466,926745296-0000082466
Component 00000000105962,00002-00003-00012-105962,00004-00006-00003-1784,2135934813-105962,657624171-105962,1326797176-0105962,1304829027-105962,106447649-00105962,2043984348-105962,1776925362-0000105962
Component 00000000072042,00002-00005-00009-72042,00001-00002-00002-40406,2144646378-072042,1972901028-072042,1801155678-0072042,257447844-072042,1116174594-00072042,343320519-072042,999513892-0000072042
Component 00000000103473,00003-00006-00006-103473,00001-00012-55665,240423311-103473,866175288-103473,1491927265-0103473,1598364961-103473,617088723-00103473,211747149-103473,143224113-0000103473
Component 00000000039874,00004-00002-00003-39874,00001-00003-00009-4546,1463928427-039874,1368843256-039874,1273758085-0039874,73523104-039874,548948959-00039874,1194807513-039874,88223330-0000039874
Component 00000000050631,00001-00009-50631,00002-00001-00008-58612,1493867586-050631,378424242-050631,1410464545-0050631,1081956577-050631,216722356-00050631,1639678249-050631,2047323790-0000050631
Component 00000000110338,00003-00004-00007-110338,00002-00007-800,1008242898-110338,1543524139-110338,2078805380-0110338,125837499-110338,1744398588-00110338,931938702-110338,1347582401-0000110338
Component 00000000006102,00002-00005-00005-6102,00001-00006-00005-47221,585894651-006102,836093538-006102,1086292425-0006102,909380612-006102,1805869824-00006102,1858022992-006102,824888434-0000006102
Component 00000000035295,00001-35295,00003-00004-00010-123393,1981712020-035295,1293793692-035295,605875364-0035295,829927817-035295,2122035810-00035295,1173886981-035295,542884454-0000035295
Component 00000000009868,00003-00005-00001-9868,00002-00012-15885,926558178-009868,66047507-009868,1353020483-0009868,1067721751-009868,1075307812-00009868,424235263-009868,2119596223-0000009868
Component 00000000019012,00002-00006-19012,00003-00002-38103,723978407-019012,1337703083-019012,1951427759-0019012,424854135-019012,1651198049-00019012,117991797-019012,946722967-0000019012
Component 00000000071072,00002-00001-00001-71072,00005-13265,45618501-071072,676350119-071072,1307081737-0071072,571330916-071072,1712640120-00071072,255965107-071072,632367975-0000071072
Component 00000000077214,00004-00004-00007-77214,00003-00001-00002-61713,582678706-077214,739335849-077214,895992992-0077214,664357377-077214,2028555309-00077214,1659770629-077214,761345766-0000077214
Component 00000000114615,00004-00007-114615,00003-00005-00002-120538,662470398-114615,621689895-114615,580909392-0114615,1905841473-114615,2109743988-00114615,852489901-114615,1432490242-0000114615
Component 00000000095080,00006-00011-95080,00002-00002-00006-67762,1034332517-095080,1862651929-095080,543487694-0095080,405634706-095080,559004940-00095080,2138958647-095080,288375793-0000095080
Component 00000000103226,00001-00004-00006-103226,00005-00001-48725,501010765-103226,330213805-103226,159416845-0103226,807292793-103226,1661277593-00103226,892691273-103226,579269419-0000103226
Component 00000000093029,00004-00006-00001-93029,00003-00009-10318,914986450-093029,1542562809-093029,22655521-0093029,213926980-093029,1371012479-00093029,973880624-093029,1360244736-0000093029
Component 00000000031900,00001-00011-31900,00004-28340,1089654821-031900,1156958232-031900,1224261643-0031900,1132644784-031900,796127729-00031900,25251255-031900,671370738-0000031900
Component 00000000009815,00001-9815,1436259974,1147808247-009815,849549782-009815,551291317-0009815,640916400-009815,2132208725-00009815,1863787456-009815,1547555771-0000009815
Component 00000000108842,00002-00006-00006-108842,00001-00011-82405,1579951408-108842,272721784-108842,1112975807-0108842,456340407-108842,550037586-00108842,1109955219-108842,790065296-0000108842
Component 00000000025999,00004-00001-00012-25999,00001-00004-00003-110191,1594617638-025999,2224257-025999,557314523-0025999,599208128-025999,2118724092-00025999,321662995-025999,1318874803-0000025999
Component 00000000002537,00002-00003-00002-2537,00005-00005-70985,2117993482-002537,390352774-002537,810195713-0002537,2079281377-002537,2127550329-00002537,795618084-002537,1662270618-0000002537
Component 00000000001239,00004-00004-1239,00003-00002-00010-34603,373665720-001239,78455055-001239,1930728037-0001239,14592173-001239,1490645498-00001239,1235939329-001239,142042468-0000001239
Component 00000000069430,00004-00010-69430,00004-00001-00001-90819,669936565-069430,824981359-069430,980026153-0069430,1747158133-069430,971934163-00069430,1669635736-069430,1796747849-0000069430
Component 00000000120917,00002-00006-00004-120917,00002-00003-00011-49892,2014909226-120917,718576467-120917,1569727355-0120917,346054354-120917,385267208-00120917,2067962557-120917,1760088827-0000120917
Component 00000000040462,00002-00002-00006-40462,00002-00003-20972,618870821-040462,1107888036-040462,1596905251-0040462,1787627455-040462,1490025027-00040462,469377024-040462,84958311-0000040462
Component 00000000061379,00004-00003-00006-61379,00002-00005-00008-112432,1736552505-061379,441369090-061379,1293669322-0061379,123440817-061379,156906951-00061379,1844774348-061379,679077998-0000061379
Component 00000000114025,00002-00002-114025,00001-00003-00012-104051,949567641-114025,1422691041-114025,1895814441-0114025,273732424-114025,55599071-00114025,37170724-114025,79236184-0000114025
Component 00000000057798,00003-00006-57798,00002-00002-12222,56271821-057798,1886575125-057798,1569394782-0057798,779152538-057798,217570606-00057798,2011484533-057798,1630520123-0000057798
Component 00000000016148,00003-00006-00002-16148,00004-00002-00009-81454,986424774-016148,2140220118-016148,1146531815-0016148,1110924136-016148,1784398357-00016148,534026464-016148,183626387-0000016148
Component 00000000059500,00012-59500,00001-00006-59871,1141592676-059500,370426823-059500,1746744617-0059500,1321012628-059500,881874599-00059500,632853731-059500,2046679344-0000059500
Component 00000000081048,00003-00002-00006-81048,00002-00002-00002-45502,520957162-081048,573484445-081048,626011728-0081048,1994788564-081048,1732152149-00081048,894783099-081048,655101907-0000081048
Component 00000000121134,00004-00006-121134,00002-00002-00011-56002,1122575149-121134,733867741-121134,345160333-0121134,1597618684-121134,1393672077-00121134,1791972388-121134,2066338957-0000121134
Component 00000000036631,00001-00010-36631,00004-00004-00012-37244,1624545794-036631,912044878-036631,199543962-0036631,1427989720-036631,695527006-00036631,1784240178-036631,369688220-0000036631
Component 00000000090021,00001-00001-00009-90021,00002-00003-49647,1571692997-090021,1502219475-090021,1432745953-0090021,349710827-090021,697078437-00090021,384447588-090021,1522499053-0000090021
Component 00000000072129,00004-00001-00005-72129,00002-00006-00010-42832,1180296945-072129,1891533794-072129,455286996-0072129,241803946-072129,980586995-00072129,959927345-072129,2117735839-0000072129
Component 00000000057369,00004-00004-57369,00003-00001-00010-218,1980537614-057369,1962254411-057369,1943971208-0057369,20060445-057369,111476460-00057369,1102943870-057369,2130566798-0000057369
Component 00000000070596,00001-00001-00006-70596,00004-00002-00006-123454,135957067-070596,699772067-070596,1263587067-0070596,1711180803-070596,1039589450-00070596,1429273303-070596,1430035632-0000070596
Component 00000000098037,00002-00002-00004-98037,00003-00001-00009-26958,1275468353-098037,691006166-098037,106543979-0098037,1920081518-098037,547425159-00098037,1138570788-098037,1188849944-0000098037
Component 00000000017791,00001-00004-00007-17791,00002-00003-00002-3902,1763787723-017791,1889861777-017791,2015935831-0017791,1435928401-017791,805558131-00017791,1372891374-017791,1149402765-0000017791
Component 00000000024344,00004-00005-00008-24344,00002-00001-00006-63862,1267354604-024344,25580307-024344,931289657-0024344,97101492-024344,2011005683-00024344,1791730464-024344,299505433-0000024344
Component 00000000063596,00001-00001-63596,00003-00005-00003-51028,728263397-063596,353890901-063596,2127002052-0063596,1898550164-063596,1622928997-00063596,2085736412-063596,814218338-0000063596
Component 00000000005453,00003-00006-5453,00002-00001-29107,1907561581-005453,165548518-005453,571019102-0005453,98048435-005453,218179162-00005453,2042796790-005453,1657514075-0000005453
Component 00000000120774,00004-00003-00004-120774,00003-00001-00008-45963,474478858-120774,1559440482-120774,496918459-0120774,1555510094-120774,425669268-00120774,1013029282-120774,219925707-0000120774
Component 00000000019907,00002-00006-00004-19907,00006-00010-63125,1855544963-019907,563254609-019907,1418447902-0019907,1456488557-019907,1475489386-00019907,2102633734-019907,1088305434-0000019907
Component 00000000068459,00004-00006-00001-68459,00001-00007-63616,1829388643-068459,109197505-068459,536490014-0068459,4497036-068459,15518138-00068459,864592605-068459,891824016-0000068459
Component 00000000103656,00001-00007-103656,00001-00001-00012-60761,240596490-103656,1556163724-103656,724247311-0103656,1768581576-103656,1633196347-00103656,1110797959-103656,131398438-0000103656
Component 00000000119001,00001-00001-00012-119001,00002-00005-119800,2088564962-119001,671543236-119001,1402005157-0119001,2082487955-119001,577661997-00119001,643515171-119001,1164806795-0000119001
Component 00000000108458,00003-00012-108458,,1923980826-108458,485419222-108458,1194341265-0108458,873219736-108458,1623576815-00108458,1592500538-108458,872412427-0000108458
Component 00000000057035,00006-00004-57035,00002-00003-00010-114397,1402281124-057035,1800006617-057035,50248463-0057035,290872888-057035,449729070-00057035,1165751965-057035,703238406-0000057035
Component 00000000015070,00006-00003-15070,00004-00006-00002-51274,149847639-015070,1608246864-015070,919162442-0015070,1088991524-015070,239446340-00015070,1433533735-015070,42212889-0000015070
Component 00000000008254,00004-00001-00012-8254,00004-00006-00009-107519,2069480579-008254,1905710685-008254,1741940791-0008254,569091661-008254,1387941131-00008254,650976608-008254,1971121043-0000008254
Component 00000000021666,00001-00001-00008-21666,00002-00005-00008-112432,115088202-021666,38028074-021666,2108451593-0021666,672639288-021666,1057939928-00021666,711169352-021666,1896907355-0000021666
Component 00000000095861,00001-00003-00012-95861,00006-00011-89620,1283305034-095861,1843937819-095861,257086957-0095861,1630449519-095861,974769241-00095861,276391303-095861,2121835573-0000095861
Component 00000000074948,00003-00006-00003-74948,00001-00001-00008-121766,1336656847-074948,1386711059-074948,1436765271-0074948,1616802482-074948,1366531422-00074948,1591775376-074948,2141107816-0000074948
Component 00000000110036,00001-00003-00004-110036,00001-00002-115871,52153260-110036,929320164-110036,1806487068-0110036,1792558811-110036,1701691585-00110036,1353975359-110036,2087351051-0000110036
Component 00000000048515,00005-00012-48515,00001-00002-00012-122901,326129119-048515,1757081016-048515,1040549266-0048515,2081561243-048515,1369252699-00048515,292343471-048515,910149054-0000048515
Component 00000000023672,00002-00005-00012-23672,00001-00003-00009-45041,1778349448-023672,1617138532-023672,1455927616-0023672,402070963-023672,1208125543-00023672,482676421-023672,2029522755-0000023672
Component 00000000068347,00002-00006-00006-68347,00005-00009-60485,1724876086-068347,1866160874-068347,2007445662-0068347,2134737363-068347,1428313423-00068347,2064094969-068347,1611773504-0000068347
Component 00000000032160,00002-00011-32160,00001-00005-00005-35586,2070664160-032160,1283600140-032160,496536120-0032160,405281189-032160,45633995-00032160,798813199-032160,747381391-0000032160
Component 00000000080382,00002-00001-00003-80382,00002-00012-26805,1800412851-080382,1053382589-080382,306352327-0080382,2076667143-080382,1516851159-00080382,302698627-080382,1644190592-0000080382
Component 00000000114238,00003-00005-00007-114238,00001-00001-110006,1917277553-114238,2126463633-114238,188166066-0114238,1325384198-114238,279453798-00114238,1220791158-114238,1178645145-0000114238
Component 00000000081644,00004-00003-00004-81644,00004-00008-62174,780291284-081644,1891576048-081644,855377165-0081644,990511163-081644,1876538284-00081644,434868781-081644,949898993-0000081644
Component 00000000052699,00004-00003-00010-52699,00001-00001-00010-116516,1203872432-052699,1334580342-052699,1465288252-0052699,1100755126-052699,447215576-00052699,1035401171-052699,2121481859-0000052699
Component 00000000058623,00003-00005-00006-58623,00004-00001-00001-35309,1046149075-058623,1597416742-058623,1200762-0058623,939085337-058623,330230649-00058623,1737193327-058623,82201741-0000058623
Component 00000000050862,00002-00006-50862,00002-00008-65060,1160785423-050862,1348412450-050862,1536039477-0050862,597019821-050862,1806368333-00050862,1576948131-050862,553239731-0000050862
Component 00000000033784,00004-00002-00010-33784,00001-00003-00001-81056,1772435775-033784,23796169-033784,422640210-0033784,715277117-033784,868540559-00033784,1589596920-033784,813765381-0000033784
Component 00000000123395,00006-00012-123395,00003-00005-00003-119278,821150552-123395,1911366133-123395,854098067-0123395,1083256879-123395,2074629915-00123395,1611890912-123395,399160718-0000123395
Component 00000000115637,00002-00004-00002-115637,00002-00001-00010-25607,126804560-115637,2112811748-115637,1951335289-0115637,1958872710-115637,618771358-00115637,965869116-115637,686118977-0000115637
Component 00000000096073,00003-00005-00003-96073,00001-00003-00009-95546,1521145496-096073,2134497801-096073,600366459-0096073,130219407-096073,1358425176-00096073,897285078-096073,237953521-0000096073
Component 00000000054523,00003-00001-54523,00004-00001-00002-44059,717588167-054523,253728669-054523,1937352818-0054523,1842722631-054523,2014536474-00054523,2074652380-054523,1106665111-0000054523
Component 00000000002348,00003-00003-00008-2348,00003-00006-00010-65673,57730964-002348,2008592210-002348,1811969809-0002348,185220927-002348,1168332932-00002348,1357273951-002348,1967303847-0000002348
Component 00000000052103,00003-00002-00012-52103,00003-00012-99813,607207052-052103,828199055-052103,1049191058-0052103,1661642786-052103,556682771-00052103,477404961-052103,361925475-0000052103
Component 00000000022842,00002-00001-00001-22842,00002-00012-21800,2056517131-022842,580634408-022842,1252235332-0022842,269423593-022842,1206386267-00022842,2081106778-022842,1262438857-0000022842
Component 00000000016248,00003-00001-00011-16248,00003-00003-00008-84248,1623241747-016248,1804828876-016248,1986416005-0016248,766541092-016248,2006089094-00016248,1749489351-016248,1511577339-0000016248
Component 00000000107267,00002-00006-00004-107267,00003-00006-00008-49083,275815545-107267,2021509545-107267,1619719898-0107267,1190112312-107267,1051576900-00107267,317265312-107267,1079173987-0000107267
Component 00000000081244,00004-00002-00007-81244,00002-00007-50967,1998028380-081244,1607799265-081244,1217570150-0081244,1325527302-081244,1129189230-00081244,446900036-081244,1207721590-0000081244
Component 00000000061692,00002-00001-00007-61692,00004-00004-00006-121244,2101222888-061692,831459593-061692,1709179945-0061692,1720987020-061692,1627352554-00061692,1282126844-061692,374461363-0000061692
Component 00000000105074,00004-00004-00008-105074,00004-00002-00008-100459,1089266738-105074,1265229896-105074,1441193054-0105074,1033545313-105074,153729523-00105074,945563734-105074,1154250927-0000105074
Component 00000000041920,00004-00008-41920,00002-00003-61805,1850821052-041920,1066366193-041920,281911334-0041920,1385724213-041920,1013031214-00041920,704209819-041920,1750290449-0000041920
Component 00000000084578,00003-00004-84578,00001-00003-00012-20786,902165253-084578,103579624-084578,1452477642-0084578,1899209716-084578,1597170567-00084578,1224760707-084578,107430526-0000084578
Component 00000000035990,00003-00006-35990,00002-00010-19315,1309522832-035990,485370696-035990,1808702207-0035990,2140333529-035990,1966126915-00035990,404925950-035990,1852137500-0000035990
Component 00000000031684,00004-00002-00003-31684,00001-00003-00009-22291,3475067-031684,1829386521-031684,1507814328-0031684,513351059-031684,2121212024-00031684,1747878979-031684,1003632281-0000031684
Component 00000000033672,00002-00002-00002-33672,00004-00002-77924,1768095633-033672,1078800158-033672,389504683-0033672,1623261624-033672,774771705-00033672,894167538-033672,1673585224-0000033672
Component 00000000080796,00001-00002-00001-80796,00001-00008-38410,1771126500-080796,362061781-080796,1100480709-0080796,1077222509-080796,1680095163-00080796,708013045-080796,413937622-0000080796
Component 00000000012349,00004-00001-00012-12349,00001-00005-00007-98586,1907128442-012349,555560764-012349,1351476733-0012349,780605469-012349,1095992918-00012349,1456389308-012349,1588602515-0000012349
Component 00000000115706,00001-00003-00006-115706,00002-00004-00008-27542,1188734294-115706,450131308-115706,1859011969-0115706,1873711472-115706,1271759108-00115706,95529318-115706,800802032-0000115706
Component 00000000106581,00001-00006-00007-106581,00004-00005-00006-19129,1177289401-106581,119012536-106581,1208219318-0106581,316727153-106581,1313144184-00106581,1919607409-106581,1466805809-0000106581
Component 00000000005976,00001-00005-00009-5976,00001-00004-00011-43691,419398164-005976,1253781151-005976,2088164138-0005976,1158525564-005976,1281577923-00005976,1815075894-005976,273817403-0000005976
Component 00000000015031,00001-00002-00003-15031,00004-00002-50169,1409528764-015031,99008497-015031,935971877-0015031,1200063401-015031,1310213795-00015031,781581711-015031,496704716-0000015031
Component 00000000062433,00003-00007-62433,00004-00002-00007-18454,1469936304-062433,2055819765-062433,494219579-0062433,894254928-062433,112321270-00062433,1675055021-062433,1855538465-0000062433
Component 00000000006109,00004-00005-00012-6109,00001-00004-00012-47436,1447495334-006109,2047728585-006109,500478189-0006109,1567778773-006109,714096165-00006109,193920324-006109,1133013470-0000006109
Component 00000000084910,00007-84910,00003-00002-30058,1238201063-084910,294187868-084910,1497658320-0084910,1624459516-084910,2049558197-00084910,1022724290-084910,1566666331-0000084910
Component 00000000044371,00001-00005-00002-44371,00004-00005-00002-6879,558924631-044371,2038099383-044371,1369790488-0044371,1431939752-044371,478516933-00044371,692352376-044371,1669903828-0000044371
Component 00000000052576,00001-00006-00004-52576,00002-00006-00003-113077,1078160305-052576,54163948-052576,1177651238-0052576,1880202695-052576,557733539-00052576,1318459050-052576,1283424512-0000052576
Component 00000000052538,00003-00003-00005-52538,00001-00001-00006-112001,773849462-052538,1396629114-052538,2019408766-0052538,913891526-052538,2094960560-00052538,602501700-052538,3388422-0000052538
Component 00000000070726,00001-00005-00006-70726,00002-00003-3565,189462042-070726,1820166538-070726,1303387387-0070726,1969218806-070726,258147267-00070726,1153866558-070726,141837564-0000070726
Component 00000000098648,00003-00004-00004-98648,00004-00007-44090,476774166-098648,1087660202-098648,1698546238-0098648,39975854-098648,1280512968-00098648,1882016483-098648,146444910-0000098648
Component 00000000111690,00005-00007-111690,00001-00002-00007-38656,1032105308-111690,316154860-111690,1747688059-0111690,668246932-111690,2100515525-00111690,1026222156-111690,1110722067-0000111690
Component 00000000019175,00002-19175,00003-00006-00012-42678,1361272726-019175,1847214811-019175,185673249-0019175,233401908-019175,2098658777-00019175,1064172689-019175,478768179-0000019175
Component 00000000118443,00003-00003-118443,00004-00002-00009-104204,651574884-118443,2036578-118443,1499981919-0118443,1361221748-118443,313945984-00118443,1685990901-118443,2048246154-0000118443
Component 00000000082468,00003-00001-00009-82468,00001-00006-00003-85231,1329320394-082468,95433098-082468,1009029449-0082468,1615328654-082468,1342314193-00082468,84788655-082468,1203181402-0000082468
Component 00000000062890,00002-00009-62890,00003-00008-31195,1664295899-062890,1662279022-062890,1660262145-0062890,492735541-062890,502819926-00062890,1567485803-062890,1724014925-0000062890
Component 00000000032630,00003-32630,00003-00005-00012-48788,1556074383-032630,127293972-032630,845997208-0032630,2053442977-032630,607410444-00032630,1694091359-032630,1171781006-0000032630
Component 00000000115264,00004-00002-00006-115264,00003-00001-00001-15198,599751295-115264,1864217857-115264,981200772-0115264,1796837436-115264,1916955567-00115264,1164604155-115264,1527777991-0000115264
Component 00000000088868,00003-00003-88868,1436259974,1052019781-088868,1221714653-088868,1391409525-0088868,692286485-088868,1991295772-00088868,607439049-088868,1026828383-0000088868
Component 00000000032538,00003-00002-00012-32538,00003-00006-00002-46178,606450526-032538,1286588824-032538,1966727122-0032538,1380903274-032538,127695431-00032538,1040834125-032538,429998898-0000032538
Component 00000000059757,00002-00005-00009-59757,00004-00006-00009-67024,2090228308-059757,2084336983-059757,2078445658-0059757,730757222-059757,760213847-00059757,1807444708-059757,2112408158-0000059757
Component 00000000107805,00005-00009-107805,00003-00006-00006-53423,809836753-107805,843307176-107805,876777599-0107805,1359410445-107805,1192058330-00107805,268933410-107805,268924728-0000107805
Component 00000000092893,00003-00003-00008-92893,00001-00001-00011-6511,1001959246-092893,51966698-092893,1249457797-0092893,24477255-092893,479472701-00092893,499473529-092893,1695362332-0000092893
Component 00000000093761,00001-00003-00005-93761,00001-00003-00012-30796,1416103563-093761,718874086-093761,21644609-0093761,886470457-093761,77650548-00093761,161343372-093761,1390657949-0000093761
Component 00000000005139,00004-00001-00004-5139,00011-20265,581998682-005139,652727686-005139,723456690-0005139,1864871729-005139,1511226709-00005139,1829507227-005139,1964395473-0000005139
Component 00000000041724,00004-00004-00007-41724,00002-00007-56310,1239787217-041724,1614953733-041724,1990120249-0041724,108010420-041724,379661487-00041724,2067910809-041724,45575002-0000041724
Component 00000000047459,00004-00006-00009-47459,00001-00005-00009-93336,85407600-047459,1421840357-047459,610789467-0047459,1551628728-047459,1311915884-00047459,1957154173-047459,681245807-0000047459
Component 00000000088487,00002-00009-88487,00004-00008-6664,1581773002-088487,988286882-088487,394800762-0088487,714983593-088487,1534930546-00088487,1011726653-088487,989826407-0000088487
Component 00000000120340,00003-00012-120340,00004-00006-33774,1131964714-120340,1555371266-120340,1978777818-0120340,192346016-120340,222796903-00120340,2128126387-120340,1042341530-0000120340
Component 00000000121746,00001-00002-00001-121746,00001-00001-73165,352399265-121746,1871020033-121746,1242157154-0121746,991062515-121746,1987893263-00121746,231752131-121746,1844148414-0000121746
Component 00000000046572,00002-00001-00006-46572,00004-00006-00006-68529,1781918062-046572,511437046-046572,1388439677-0046572,293130902-046572,203085041-00046572,928371410-046572,1061781930-0000046572
Component 00000000121803,00003-00003-00006-121803,00004-00002-00001-74699,605094932-121803,1228153694-121803,1851212456-0121803,758673831-121803,1938347315-00121803,447144450-121803,295598313-0000121803
Component 00000000108684,00004-00002-00004-108684,00002-00006-78045,473184806-108684,1765752586-108684,910836719-0108684,885696373-108684,865308414-00108684,239412483-108684,712708581-0000108684
Component 00000000081997,00002-00006-00006-81997,00002-00001-72060,748538838-081997,2077618388-081997,1259214291-0081997,784387603-081997,581440794-00081997,119847828-081997,2078165047-0000081997
Component 00000000050319,00004-00003-00009-50319,00002-00001-00007-49862,808468973-050319,1584406008-050319,212859396-0050319,860451348-050319,1275733467-00050319,1546224654-050319,1911710715-0000050319
Component 00000000051797,00002-00004-00005-51797,00003-00003-00001-91248,1608771165-051797,1655844984-051797,1702918803-0051797,670625916-051797,435256821-00051797,1720830830-051797,834003774-0000051797
Component 00000000105627,00002-00004-00002-105627,00004-00002-00004-115964,2007950012-105627,1659502739-105627,1311055466-0105627,1214384624-105627,809137342-00105627,314866437-105627,2094638208-0000105627
Component 00000000022898,00003-00001-00005-22898,00006-00004-23365,168544981-022898,1159134274-022898,2239920-0022898,2041227281-022898,1383248110-00022898,472190811-022898,181375615-0000022898
Component 00000000051382,00002-00002-00006-51382,00003-00004-00005-79643,571765555-051382,1830780261-051382,942311320-0051382,1504436680-051382,1651814091-00051382,874929327-051382,1708371503-0000051382
Component 00000000004327,00002-00001-00011-4327,00004-00001-00003-121059,311009203-004327,825774782-004327,1340540361-0004327,581077844-004327,154733596-00004327,1397436878-004327,1117928948-0000004327
Component 00000000096604,00004-00004-00001-96604,00001-00002-00010-110406,1694877916-096604,1906756583-096604,2118635250-0096604,159833207-096604,1247923519-00096604,1127635697-096604,1554777590-0000096604
