Component 00000000089126,00001-00002-00011-89126,00004-00003-00011-24594,1136777213-089126,939477505-089126,742177797-0089126,157675963-089126,1144174503-00089126,256325817-089126,1732322056-0000089126
Component 00000000010296,00001-00006-10296,00001-00005-00001-41081,573374332-010296,34074525-010296,1642258365-0010296,1260879280-010296,1809894668-00010296,456787360-010296,833474478-0000010296
Component 00000000071094,00004-00002-00010-71094,00004-00005-00008-13879,518873122-071094,1120986809-071094,1723100496-0071094,730357707-071094,2014756566-00071094,1503042687-071094,1869949184-0000071094
Component 00000000074076,00001-00002-00002-74076,00002-00001-97357,1574409758-074076,654633840-074076,1882341569-0074076,2062434322-074076,218862971-00074076,374838634-074076,11680996-0000074076
Component 00000000024542,00002-00011-24542,00001-00004-00008-38826,1698382023-024542,1200640877-024542,702899731-0024542,1180256559-024542,1521478642-00024542,1429127132-024542,7890069-0000024542
Component 00000000004866,00001-00001-00004-4866,00001-00011-12621,1979336997-004866,813659280-004866,1795465210-0004866,204800721-004866,1738222012-00004866,1861381403-004866,1713883971-0000004866
Component 00000000074807,00002-00005-00005-74807,00002-00012-117805,1479420324-074807,2044135735-074807,461367499-0074807,2024572170-074807,1348478762-00074807,668472641-074807,1535629176-0000074807
Component 00000000046457,00002-00005-00008-46457,00004-00006-00001-65274,1697582042-046457,189377044-046457,828655693-0046457,1564083637-046457,515174039-00046457,170702489-046457,1199512489-0000046457
Component 00000000109019,00004-00001-00001-109019,00001-00002-00012-87411,874940025-109019,349613428-109019,1971770478-0109019,92662011-109019,571811349-00109019,1429067133-109019,891873402-0000109019
Component 00000000043147,00002-00006-43147,00001-00012-96160,1175774000-043147,2122822277-043147,922386907-0043147,936717024-043147,496442933-00043147,1536934709-043147,918281054-0000043147
Component 00000000043760,00003-00002-43760,00002-00006-00001-113322,954479634-043760,252958140-043760,1698920293-0043760,1290425527-043760,503065703-00043760,1641186274-043760,1789731311-0000043760
Component 00000000016306,00001-00003-00004-16306,00001-00003-00012-26246,926175861-016306,1845449427-016306,617239346-0016306,413787225-016306,112386689-00016306,2101634089-016306,349226523-0000016306
Component 00000000078779,00004-00001-00012-78779,00004-00004-00012-105494,1934097229-078779,822533582-078779,1858453582-0078779,636609701-078779,1899460642-00078779,118649701-078779,1851246349-0000078779
Component 00000000118285,00006-00011-118285,00002-00002-00003-99752,158370106-118285,1960027805-118285,1614201857-0118285,565680804-118285,147326897-00118285,738593778-118285,743716949-0000118285
Component 00000000113207,00002-00003-00003-113207,00001-00009-81116,1117728914-113207,1586464859-113207,2055200804-0113207,1302843953-113207,1106647875-00113207,2142217804-113207,51302278-0000113207
Component 00000000049906,00001-00003-00012-49906,00003-00007-38318,1759735658-049906,733447662-049906,1854643313-0049906,1376891733-049906,65880772-00049906,1890035731-049906,749873575-0000049906
Component 00000000097664,00004-00008-97664,00002-00001-16550,2075009623-097664,680363207-097664,1433200438-0097664,1006651504-097664,1537432643-00097664,1703974712-097664,1866441851-0000097664
Component 00000000055699,00004-00007-55699,00003-00006-76940,1388780055-055699,894029066-055699,399278077-0055699,2089419029-055699,268206680-00055699,1263052700-055699,552219074-0000055699
Component 00000000040893,00003-00006-00008-40893,00003-00009-33068,1450649296-040893,1584282612-040893,1717915928-0040893,1489414181-040893,821247601-00040893,1422597523-040893,366038639-0000040893
Component 00000000071061,00001-00004-00003-71061,00002-00005-00005-12927,179359830-071061,1394197889-071061,461552301-0071061,43205399-071061,411466045-00071061,509528193-071061,1770980304-0000071061
Component 00000000002938,00003-00005-2938,00001-82160,1749424152-002938,1364975682-002938,980527212-0002938,283542533-002938,58301236-00002938,475766768-002938,452383570-0000002938
Component 00000000090742,00002-00001-00002-90742,00003-00008-69818,2142129977-090742,435047123-090742,875447916-0090742,952990144-090742,898469826-00090742,1806531571-090742,123123574-0000090742
Component 00000000081798,00003-00003-00002-81798,00002-00003-66472,179310592-081798,945308501-081798,1711306410-0081798,1896729003-081798,214223105-00081798,439988225-081798,225329202-0000081798
Component 00000000109556,00001-00006-00005-109556,00003-00006-00009-102423,1257452462-109556,2104016673-109556,803097237-0109556,439885579-109556,502031818-00109556,1090345297-109556,1931500575-0000109556
Component 00000000002303,00003-00002-2303,00001-64415,1110155853-002303,1193458875-002303,1276761897-0002303,855385126-002303,438870016-00002303,813733615-002303,522572660-0000002303
Component 00000000109126,00001-00003-00004-109126,00004-00004-90419,987871448-109126,401608586-109126,1962829371-0109126,471410052-109126,1255240715-00109126,764541483-109126,1347693543-0000109126
Component 00000000093283,00003-00001-00008-93283,00003-00007-17440,57762013-093283,2018848227-093283,1832450794-0093283,681162924-093283,1613150089-00093283,1848103464-093283,439444470-0000093283
Component 00000000018012,00002-00001-00007-18012,00002-00006-00010-10072,189866246-018012,754126877-018012,1318387508-0018012,712961262-018012,39141754-00018012,1504572770-018012,664092155-0000018012
Component 00000000070761,00001-00005-00002-70761,00003-00004-00005-111948,1815028083-070761,721790316-070761,1776036196-0070761,1406345735-070761,430083629-00070761,879222795-070761,540373074-0000070761
Component 00000000056145,00005-00011-56145,00002-00001-89467,323039428-056145,1271732938-056145,72942801-0056145,1237518076-056145,789017820-00056145,763171321-056145,121602717-0000056145
Component 00000000088381,00001-00006-00007-88381,00002-00012-3717,731985960-088381,358295101-088381,2132087889-0088381,861590298-088381,582560946-00088381,2122177551-088381,953006872-0000088381
Component 00000000037204,00004-00006-00011-37204,00001-00005-00005-53331,1817441226-037204,918577486-037204,19713746-0037204,1172222776-037204,1371574182-00037204,1621654646-037204,1144018293-0000037204
Component 00000000022433,00003-00005-00008-22433,1436259974,2006756806-022433,1537073022-022433,1067389238-0022433,701929752-022433,902865025-00022433,936771644-022433,379040096-0000022433
Component 00000000011105,00003-00003-11105,00002-00009-63800,931428842-011105,2046063539-011105,1013214589-0011105,230378648-011105,1099656104-00011105,746803123-011105,931345454-0000011105
Component 00000000105232,00002-00001-00010-105232,00002-00005-00006-104942,1616831423-105232,1803541822-105232,1990252221-0105232,1008609363-105232,75057368-00105232,1988995987-105232,939860772-0000105232
Component 00000000054951,00001-00001-54951,00003-00005-00003-56033,1027789506-054951,1564493843-054951,2101198180-0054951,214404263-054951,1825849872-00054951,1019793918-054951,442953427-0000054951
Component 00000000072899,00004-00001-00008-72899,00003-00004-00007-64383,1145804337-072899,240421052-072899,1482521414-0072899,1258129778-072899,1490078909-00072899,637079597-072899,1685294909-0000072899
Component 00000000121986,00001-00004-00007-121986,00003-00008-79828,935602923-121986,2035313894-121986,987541218-0121986,1658235665-121986,454648104-00121986,34638356-121986,1693699350-0000121986
Component 00000000108406,00001-00004-00012-108406,00003-00003-00009-70248,538833510-108406,1471802295-108406,257287433-0108406,1764404819-108406,1394528188-00108406,224178603-108406,1910451927-0000108406
Component 00000000025345,00005-00008-25345,1436259974,722916416-025345,1462225118-025345,54050173-0025345,72166464-025345,670590248-00025345,1849995760-025345,474061096-0000025345
Component 00000000106833,00003-00006-00012-106833,00001-00004-00009-26191,827114213-106833,1136530645-106833,1445947077-0106833,801425636-106833,1401827123-00106833,646717420-106833,297747337-0000106833
Component 00000000006844,00004-00005-00006-6844,00002-00004-00008-68037,38407600-006844,2035839649-006844,1885788051-0006844,1350839685-006844,2101097675-00006844,1425865484-006844,837090952-0000006844
Component 00000000118804,00004-00010-118804,00002-00009-114305,348039262-118804,1582580923-118804,669638937-0118804,1167509528-118804,1437252164-00118804,1623980521-118804,1282872672-0000118804
Component 00000000021203,00003-21203,00001-00004-00009-99446,2146131747-021203,1781571739-021203,1417011731-0021203,1644840535-021203,1320156928-00021203,1827120539-021203,69513419-0000021203
Component 00000000037120,00006-00005-37120,00002-00005-00003-50937,215797966-037120,1521838718-037120,680395823-0037120,1281748675-037120,1193995856-00037120,628728299-037120,1101480413-0000037120
Component 00000000111718,00003-00005-00009-111718,00003-00001-00011-39453,2002619634-111718,1805293849-111718,1607968064-0111718,2095995473-111718,935140751-00111718,1120916542-111718,1500713362-0000111718
Component 00000000077597,00002-00002-77597,,1460718678-077597,1989789757-077597,371377189-0077597,277120422-077597,1926732321-00077597,1086326706-077597,1867645106-0000077597
Component 00000000004889,00004-00003-00001-4889,00005-13265,1745065300-004889,119609265-004889,641636877-0004889,1293600718-004889,830946305-00004889,1032586912-004889,1107123062-0000004889
Component 00000000064620,00003-00010-64620,00003-00002-79705,1940264428-064620,509677845-064620,1226574909-0064620,202550033-064620,913032007-00064620,1991585148-064620,270952764-0000064620
Component 00000000048599,00004-00005-00005-48599,00002-00002-00010-1752,1806811064-048599,1452051037-048599,1097291010-0048599,707077107-048599,333393595-00048599,1958198944-048599,879260157-0000048599
Component 00000000055241,00001-00004-00004-55241,00003-00004-00009-64138,1785722274-055241,1129383492-055241,473044710-0055241,18062405-055241,1152272668-00055241,346231796-055241,2075863426-0000055241
Component 00000000044775,00003-00003-44775,00003-00006-00004-18178,1255419004-044775,389916242-044775,1671897127-0044775,80724340-044775,113270856-00044775,513475721-044775,1221444275-0000044775
Component 00000000088118,00003-00002-00004-88118,00003-00004-00007-119893,467987720-088118,1263922181-088118,2059856642-0088118,1489845256-088118,1805140245-00088118,18136202-088118,115710873-0000088118
Component 00000000069694,00004-00002-00001-69694,00002-00002-98217,290509147-069694,307469394-069694,324429641-0069694,39339303-069694,2102021715-00069694,1104601003-069694,1329218052-0000069694
Component 00000000063011,00001-00004-63011,00003-00002-00010-34603,1922075225-063011,1138786684-063011,355498143-0063011,1513544809-063011,1135020220-00063011,831447256-063011,1693054076-0000063011
Component 00000000051109,00004-00002-00006-51109,00003-00005-00008-72028,1064219191-051109,77987553-051109,1239239562-0051109,476624982-051109,1112815878-00051109,969740801-051109,1232659875-0000051109
Component 00000000077194,00004-00005-77194,00004-00005-00003-61129,1025766711-077194,1613436132-077194,53621906-0077194,536704395-077194,1893324584-00077194,1316611508-077194,1011295556-0000077194
Component 00000000050471,00001-00001-00005-50471,00001-00002-54160,981468288-050471,771580684-050471,561693080-0050471,1539337729-050471,441292102-00050471,1644281531-050471,1242282071-0000050471
Component 00000000050036,00001-00012-50036,00002-00006-00005-79162,220351354-050036,494340251-050036,768329148-0050036,1697652800-050036,327708315-00050036,486916528-050036,804529150-0000050036
Component 00000000083278,00003-00006-83278,00004-00006-107919,1115899144-083278,1907912222-083278,552441653-0083278,873827781-083278,1208729685-00083278,477821242-083278,112177537-0000083278
Component 00000000006199,00004-00004-00011-6199,00005-49985,1554295385-006199,2060479357-006199,419179682-0006199,334414263-006199,2098461697-00006199,81322277-006199,336458047-0000006199
Component 00000000083797,00002-00012-83797,00002-00012-122472,530076902-083797,161407008-083797,1940220761-0083797,1976939866-083797,1672805689-00083797,13791166-083797,1584451922-0000083797
Component 00000000065261,00001-00001-65261,00002-00001-00011-97602,1603102735-065261,1298346688-065261,993590641-0065261,781078161-065261,157374749-00065261,2007198008-065261,1283216448-0000065261
Component 00000000043274,00004-00010-43274,00001-00006-00011-99721,1233628805-043274,1342994447-043274,1452360089-0043274,95411501-043274,1696066938-00043274,40728680-043274,1370108830-0000043274
Component 00000000097270,00005-00004-97270,00004-00001-00008-5559,2119940375-097270,381067442-097270,789678156-0097270,462723534-097270,567153611-00097270,258418177-097270,103335184-0000097270
Component 00000000092845,00004-00012-92845,00004-00011-5159,477205152-092845,1606216021-092845,587743243-0092845,473399300-092845,1270795896-00092845,982635689-092845,1572572760-0000092845
Component 00000000081068,00003-00001-81068,00004-00006-00004-46024,1958936984-081068,1057027443-081068,155117902-0081068,92255362-081068,306835773-00081068,1616951956-081068,704550959-0000081068
Component 00000000079501,00001-00002-00006-79501,00001-00005-2150,237946207-079501,1089979957-079501,1942013707-0079501,759393789-079501,794192333-00079501,333376914-079501,486725605-0000079501
Component 00000000062268,00003-00003-00011-62268,00002-00004-00007-13787,1823207384-062268,1606684389-062268,1390161394-0062268,985518538-062268,2068133513-00062268,20038212-062268,1113298848-0000062268
Component 00000000015078,00003-00011-15078,00004-00002-00005-51459,508464879-015078,1229748965-015078,1951033051-0015078,1131004698-015078,1819551562-00015078,770362655-015078,1944873342-0000015078
Component 00000000109861,00001-00003-00011-109861,00003-00001-00003-110958,1165041348-109861,1254903475-109861,1344765602-0109861,154645390-109861,1852818402-00109861,1183456150-109861,243217033-0000109861
Component 00000000119862,00002-00001-00002-119862,00001-00001-41756,772708917-119862,194914109-119862,1764602948-0119862,666948140-119862,1408438533-00119862,955845544-119862,2145171500-0000119862
Component 00000000006922,00002-00006-00006-6922,00001-00004-00012-70186,800536964-006922,142153547-006922,1631253777-0006922,7454121-006922,1151887559-00006922,1410387653-006922,556768479-0000006922
Component 00000000035460,00005-00009-35460,00003-00009-4455,182172896-035460,1328919936-035460,328183329-0035460,2112313161-035460,673545255-00035460,1538939641-035460,683594295-0000035460
Component 00000000047214,00004-00006-00011-47214,00001-00001-00006-86521,398764873-047214,391327138-047214,383889403-0047214,1111776549-047214,1148965224-00047214,41753593-047214,403310077-0000047214
Component 00000000077894,00004-00005-00011-77894,00002-00005-00009-80687,1211392789-077894,3112097-077894,942315052-0077894,591837696-077894,190790215-00077894,1195978042-077894,1496574790-0000077894
Component 00000000048316,00001-00002-00008-48316,00006-00011-117375,1176049212-048316,1389521698-048316,1602994184-0048316,792046548-048316,1872167765-00048316,685310305-048316,1259703012-0000048316
Component 00000000099113,00003-00001-99113,00003-00004-00003-57138,971041198-099113,817361750-099113,663682302-0099113,2107522558-099113,728436151-00099113,36878635-099113,1575681442-0000099113
Component 00000000090482,00002-00002-90482,00001-00003-00011-62541,541260116-090482,76133815-090482,1758491161-0090482,531212811-090482,709360669-00090482,1837517785-090482,955154754-0000090482
Component 00000000005441,00001-00002-00007-5441,00004-00004-00009-28739,745537345-005441,437687149-005441,129836953-0005441,847188368-005441,238955701-00005441,1001113466-005441,636681281-0000005441
Component 00000000044139,00004-00004-00004-44139,00006-00006-370,1704125153-044139,633724502-044139,1710807498-0044139,255559284-044139,1312595245-00044139,1864501433-044139,64418600-0000044139
Component 00000000005936,00001-00008-5936,00002-00006-42555,29710418-005936,1408889162-005936,640584259-0005936,347886445-005936,2041927313-00005936,1805780720-005936,1821091447-0000005936
Component 00000000008233,00003-00001-00004-8233,00001-00002-00007-106906,2075301842-008233,1455949435-008233,836597028-0008233,1027739337-008233,1977017725-00008233,263673717-008233,1168342027-0000008233
Component 00000000068741,00001-00001-00010-68741,00002-00002-00007-71507,260751261-068741,1640471441-068741,872707974-0068741,605186934-068741,149036975-00068741,2062810491-068741,904127714-0000068741
Component 00000000005855,00003-00005-5855,00003-40313,1429586193-005855,619354415-005855,1956606284-0005855,788050606-005855,544242202-00005855,1193166495-005855,886699343-0000005855
Component 00000000071151,00001-00003-00002-71151,00003-00001-15445,747502866-071151,88634294-071151,1577249369-0071151,1004631829-071151,4007395-00071151,1334066115-071151,1175077002-0000071151
Component 00000000121737,00002-00005-121737,00003-00004-00010-72888,114036690-121737,1109675277-121737,2105313864-0121737,84126102-121737,1548384108-00121737,660048632-121737,727352932-0000121737
Component 00000000082385,00002-00004-82385,00002-00005-82927,1716185502-082385,216258965-082385,863816075-0082385,910450632-082385,1967632376-00082385,586672077-082385,2039807583-0000082385
Component 00000000040006,00001-00001-00005-40006,00006-00008-55180,850300580-040006,1001340628-040006,1152380676-0040006,1733291967-040006,978091727-00040006,1657771943-040006,1080187650-0000040006
Component 00000000024194,00004-00002-00001-24194,00001-00002-00012-59656,1999209847-024194,757858479-024194,1663990758-0024194,1923210615-024194,1687516514-00024194,396402652-024194,994783973-0000024194
Component 00000000081994,00004-00003-00003-81994,00002-00012-71967,551705576-081994,650374350-081994,749043124-0081994,1042173821-081994,548829951-00081994,992839434-081994,907589908-0000081994
Component 00000000089826,00001-00002-00009-89826,00002-00005-00008-44182,1789882947-089826,954572055-089826,119261163-0089826,2079493978-089826,1961081144-00089826,349665777-089826,775949820-0000089826
Component 00000000022473,00003-00003-00009-22473,00005-00006-11485,833334940-022473,2063651577-022473,1146484567-0022473,1447891542-022473,1738759298-00022473,1906475047-022473,611344091-0000022473
Component 00000000099637,00002-00006-00005-99637,00003-00001-71813,42879582-099637,1511738821-099637,833114413-0099637,1489334146-099637,587488892-00099637,1828646350-099637,650285674-0000099637
Component 00000000036796,00001-00004-00006-36796,00004-00005-00006-41879,427363702-036796,1428427452-036796,282007555-0036796,1734315343-036796,1023963887-00036796,1233783468-036796,1795927452-0000036796
Component 00000000056173,00003-00005-56173,00004-00004-00001-90234,1925001182-056173,890207591-056173,2002897647-0056173,55894076-056173,934894737-00056173,1647032695-056173,603231050-0000056173
Component 00000000045743,00003-00005-00009-45743,00002-00001-00009-72367,1351966523-045743,1504613665-045743,1657260807-0045743,165418322-045743,1549666259-00045743,89094751-045743,470034022-0000045743
Component 00000000092273,00003-00006-00012-92273,00004-00002-00012-112709,1087558770-092273,479418011-092273,2018760899-0092273,583761193-092273,1476981341-00092273,1961573396-092273,1720507938-0000092273
Component 00000000026003,00003-00005-00003-26003,00002-00004-00010-41857,963054207-026003,950751683-026003,938449159-0026003,366381793-026003,427894413-00026003,372533055-026003,1156827078-0000026003
Component 00000000034019,00004-00006-00011-34019,00001-00009-87655,1584974540-034019,1048946539-034019,512918538-0034019,283678432-034019,816334790-00034019,1625434256-034019,15169550-0000034019
Component 00000000010922,00002-00002-00002-10922,,2142272791-010922,1279734617-010922,417196443-0010922,1111360645-010922,1129084221-00010922,1542629732-010922,1907980295-0000010922
Component 00000000044821,00001-00010-44821,00003-00003-00011-19498,1355672573-044821,121518063-044821,1034847200-0044821,1628720954-044821,1357042563-00044821,98314562-044821,1289882841-0000044821
Component 00000000022759,00004-00002-00009-22759,00002-00005-00002-19437,391912566-022759,1360129305-022759,180862397-0022759,1179525997-022759,633409596-00022759,1769159451-022759,2139055121-0000022759
Component 00000000084822,00002-00003-00010-84822,00004-00005-00009-27634,213678271-084822,1889987060-084822,1418812202-0084822,984017775-084822,1192408418-00084822,1219605204-084822,399739795-0000084822
Component 00000000023755,00004-00004-23755,00003-00002-00010-47343,1549369969-023755,862368159-023755,175366349-0023755,442036889-023755,1729562292-00023755,785537794-023755,2005273743-0000023755
Component 00000000073059,00004-00012-73059,00002-00001-00006-68867,786769035-073059,108225660-073059,1577165932-0073059,1163411876-073059,261161457-00073059,428941740-073059,672127893-0000073059
Component 00000000022336,00001-00006-00002-22336,00006-00010-7615,1230865776-022336,2007613833-022336,636878243-0022336,1322182718-022336,1733409727-00022336,2007550513-022336,1513480678-0000022336
Component 00000000031026,00001-00002-00008-31026,00004-00005-3840,218361980-031026,346274592-031026,474187204-0031026,2127156368-031026,1487593308-00031026,2063200062-031026,1098379091-0000031026
Component 00000000058504,00004-00005-00004-58504,00002-00008-31962,256002803-058504,440932183-058504,625861563-0058504,635143145-058504,1857979892-00058504,542678455-058504,1409639969-0000058504
Component 00000000071995,00001-71995,00004-00007-39085,13699045-071995,940246799-071995,1866794553-0071995,2001592174-071995,1663820698-00071995,1538318297-071995,1380220912-0000071995
Component 00000000087271,00001-00002-00002-87271,00001-00012-96160,1623972354-087271,1071916087-087271,519859820-0087271,1692788992-087271,158103033-00087271,895075302-087271,48150914-0000087271
Component 00000000065614,00004-00003-00003-65614,00004-00004-00005-107489,719030152-065614,919938749-065614,1120847346-0065614,799420695-065614,1942361357-00065614,1772708220-065614,383258290-0000065614
Component 00000000103522,00002-00006-00003-103522,00001-00003-00002-57046,1564428596-103522,867285883-103522,170143170-0103522,1039003544-103522,229749815-00103522,313833077-103522,851998860-0000103522
Component 00000000025612,00002-00006-00002-25612,00004-00003-00008-99354,1577756901-025612,859973462-025612,142190023-0025612,51256638-025612,1492690186-00025612,1483890181-025612,927097562-0000025612
Component 00000000114394,00004-00007-114394,00001-00005-114366,1932529651-114394,1536479469-114394,1140429287-0114394,2051448647-114394,1884215910-00114394,101990091-114394,705430963-0000114394
Component 00000000054939,00004-00003-00001-54939,00001-00004-00004-55696,1034896684-054939,2141446762-054939,1100513193-0054939,1015484292-054939,1925184843-00054939,462209253-054939,1877210458-0000054939
Component 00000000046389,00004-00005-46389,00006-00008-63370,2122132827-046389,768444539-046389,1562239898-0046389,892760269-046389,1218750768-00046389,1569604413-046389,1500339335-0000046389
Component 00000000068364,00004-00002-00010-68364,00001-00006-00006-60976,2057212733-068364,1084938977-068364,112665221-0068364,2146575801-068364,565493640-00068364,485229032-068364,1287667044-0000068364
Component 00000000118613,00003-00005-00001-118613,00003-00003-00001-108993,1673217140-118613,1205726384-118613,738235628-0118613,474751944-118613,664722077-00118613,708497322-118613,749864187-0000118613
Component 00000000081347,00002-00006-81347,00003-00002-00007-53853,1685738405-081347,223431009-081347,908607260-0081347,1630790050-081347,352392442-00081347,214460101-081347,676054236-0000081347
Component 00000000033278,00003-00011-33278,00001-00002-00003-66901,1692203410-033278,562160782-033278,1579601801-0033278,572227127-033278,1927472973-00033278,1137248441-033278,437927248-0000033278
Component 00000000081216,00001-00002-00005-81216,00004-00002-50169,2028920622-081216,1402466274-081216,776011926-0081216,1710655802-081216,547960248-00081216,2023882976-081216,456026435-0000081216
Component 00000000030727,00002-00004-00008-30727,00003-00009-119063,1442492947-030727,192768313-030727,1090527326-0030727,960390314-030727,766562543-00030727,1585252631-030727,2092508451-0000030727
Component 00000000062989,00004-00003-00004-62989,00003-00001-00008-99653,202253718-062989,337048816-062989,471843914-0062989,297365030-062989,1770873187-00062989,229967481-062989,1477977135-0000062989
Component 00000000006278,00003-00006-00012-6278,00004-00005-00004-52134,395200514-006278,1536991959-006278,531299757-0006278,1011252598-006278,1744746314-00006278,1514098699-006278,203159967-0000006278
Component 00000000040648,00003-00006-00010-40648,00001-00004-00009-26191,1545088058-040648,1271521692-040648,997955326-0040648,1162021189-040648,382369372-00040648,1298804372-040648,1203308450-0000040648
Component 00000000084877,00002-00002-84877,00004-00005-00006-29139,264953934-084877,538107608-084877,811261282-0084877,628005241-084877,1409720518-00084877,491428404-084877,444391643-0000084877
Component 00000000041196,00001-00001-00012-41196,00002-00004-00007-41542,963075317-041196,1316743699-041196,1670412081-0041196,936122668-041196,1315264405-00041196,759288477-041196,434912327-0000041196
Component 00000000078443,00003-00001-00001-78443,00004-00003-00003-96099,32397955-078443,1000149488-078443,1967901021-0078443,797448895-078443,253658524-00078443,1387314952-078443,710607489-0000078443
Component 00000000012103,00003-12103,00004-00002-00007-91709,450895956-012103,1624861784-012103,651343965-0012103,1553663792-012103,2126285593-00012103,966680878-012103,2079711872-0000012103
Component 00000000056291,00001-00004-00001-56291,00001-00003-00003-93551,605413793-056291,254921264-056291,2051912382-0056291,1860137136-056291,1465116134-00056291,961641577-056291,447793731-0000056291
Component 00000000041976,00001-00004-00012-41976,00004-00004-63340,1969797292-041976,224392512-041976,626471379-0041976,1069527695-041976,1206617007-00041976,1942230085-041976,1954554987-0000041976
Component 00000000037462,00002-00005-00009-37462,60515,1861486602-037462,779087099-037462,1844171243-0037462,1978460058-037462,948006632-00037462,1445917986-037462,2026901918-0000037462
Component 00000000118218,00003-00002-00009-118218,00004-00005-00002-97879,615111491-118218,162431628-118218,1857235412-0118218,1208716429-118218,1324632097-00118218,361314537-118218,1787290853-0000118218
Component 00000000042994,00004-00003-42994,00002-00001-00004-91862,32450461-042994,1068377119-042994,2104303777-0042994,882769493-042994,2145587144-00042994,364806164-042994,1606473978-0000042994
Component 00000000123307,00002-00002-00002-123307,00004-00003-00010-116854,268638900-123307,44681598-123307,1968207943-0123307,144127988-123307,1263914498-00123307,256106639-123307,1325917400-0000123307
Component 00000000072820,00006-00007-72820,00004-00008-62174,1686177667-072820,444759171-072820,1350824322-0072820,1606922727-072820,1371564266-00072820,80148328-072820,2108648185-0000072820
Component 00000000095206,00001-00006-00007-95206,00002-00004-71292,863021995-095206,933780799-095206,1004539603-0095206,2147340342-095206,1793546322-00095206,2111960940-095206,112759000-0000095206
Component 00000000043495,00004-00010-43495,00001-00002-105861,1863912557-043495,1645928001-043495,1427943445-0043495,2029079826-043495,971518959-00043495,2138072104-043495,502119737-0000043495
Component 00000000059745,00010-59745,00003-00003-00006-66748,931548139-059745,1388114295-059745,1844680451-0059745,1600170235-059745,1464823102-00059745,1371887157-059745,715480739-0000059745
Component 00000000058887,00002-00003-00010-58887,00003-00001-00003-42708,1498673430-058887,2077712738-058887,509268399-0058887,1664792457-058887,917079564-00058887,1375272803-058887,1819022973-0000058887
Component 00000000081718,00003-81718,00001-64260,1360942353-081718,2079882389-081718,651338778-0081718,1869795747-081718,422579214-00081718,1510325729-081718,1094443952-0000081718
Component 00000000069994,00004-00001-00002-69994,00004-00005-00003-106629,2084709027-069994,612558970-069994,1287892560-0069994,478649790-069994,1396949134-00069994,140982995-069994,1622713402-0000069994
Component 00000000039684,00004-00001-00008-39684,00002-00010-122717,746588520-039684,1492157284-039684,90242401-0039684,399451575-039684,966575049-00039684,26667193-039684,1528710604-0000039684
Component 00000000027554,00004-00002-00007-27554,00001-00004-00008-30181,1323541500-027554,14034411-027554,852010969-0027554,1163215270-027554,1268299774-00027554,744226991-027554,2138783461-0000027554
Component 00000000087068,00003-00002-00007-87068,00001-00004-00004-16566,1817835321-087068,1459238108-087068,1100640895-0087068,531997843-087068,177500261-00087068,1785038273-087068,935705543-0000087068
Component 00000000099575,00008-99575,00003-00005-00002-70033,515025227-099575,411076077-099575,307126927-0099575,1915942393-099575,288204496-00099575,1967916968-099575,882518745-0000099575
Component 00000000013707,00002-00001-00005-13707,00004-00002-13080,134824066-013707,1935098738-013707,1587889763-0013707,1548799778-013707,1137361006-00013707,648662442-013707,1632066360-0000013707
Component 00000000047022,00002-00003-00001-47022,00001-00009-81116,1735296745-047022,1764055619-047022,1792814493-0047022,982618487-047022,838824117-00047022,968239050-047022,600847400-0000047022
Component 00000000095435,00004-00002-95435,00002-00006-77707,380180427-095435,2081405913-095435,1635147752-0095435,1285237912-095435,1369045070-00095435,434625169-095435,1804750744-0000095435
Component 00000000080241,00001-00005-80241,00001-00009-22876,89005006-080241,135547773-080241,182090540-0080241,1272587382-080241,1039873547-00080241,175574175-080241,381508314-0000080241
Component 00000000059367,00002-00009-59367,00001-00002-00009-56156,494393283-059367,603801991-059367,713210699-0059367,1505748327-059367,958704787-00059367,1451043973-059367,1275066532-0000059367
Component 00000000094909,00004-00003-00009-94909,00001-00003-62910,1595038102-094909,952005228-094909,308972354-0094909,472714771-094909,1540395494-00094909,794231208-094909,2104635391-0000094909
Component 00000000042460,00005-00002-42460,00003-00006-76940,1888174286-042460,871381092-042460,2002071545-0042460,1965828258-042460,607343287-00042460,326741208-042460,1585659564-0000042460
Component 00000000111867,00002-00002-111867,00004-00003-00010-43599,1314806475-111867,949614853-111867,584423231-0111867,782881984-111867,461356447-00111867,965477795-111867,1264752096-0000111867
Component 00000000043100,00001-00005-43100,00004-00005-94840,841977482-043100,389073180-043100,2083652525-0043100,350955305-043100,467993168-00043100,577407456-043100,1827348858-0000043100
Component 00000000026791,00001-00002-00011-26791,00005-42385,1753775675-026791,1482529083-026791,1211282491-0026791,1483217845-026791,691967158-00026791,1618841141-026791,1084192328-0000026791
Component 00000000001921,00001-00003-00010-1921,00004-00002-00009-53699,1726328214-001921,1337758150-001921,949188086-0001921,60549286-001921,2003399606-00001921,254834318-001921,1364023574-0000001921
Component 00000000057764,00004-00005-57764,00004-00004-00007-11239,1474417980-057764,796046394-057764,117674808-0057764,785650764-057764,2030025047-00057764,1124836557-057764,983523433-0000057764
Component 00000000079203,00003-00005-00007-79203,00006-00011-117375,550243458-079203,1706612524-079203,715497943-0079203,799568337-079203,1460173948-00079203,221383804-079203,877406356-0000079203
Component 00000000115489,00004-00003-00010-115489,00001-00006-00011-21461,1366185373-115489,1420639801-115489,1475094229-0115489,1859741484-115489,1587469344-00115489,1832514270-115489,150433842-0000115489
