Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000032224,00004-00003-00010-32224,00003-00006-00001-37428,1778857394-032224,1661939599-032224,1545021804-0032224,1477053454-032224,2061642429-00032224,461770528-032224,1224933691-0000032224
Component 00000000081881,00001-00002-00007-81881,00004-00001-00008-68804,1499692338-081881,1210455940-081881,921219542-0081881,356628917-081881,1802810907-00081881,501247116-081881,1781069558-0000081881
Component 00000000069603,00003-00002-00001-69603,00003-00004-00010-95638,2077558826-069603,1254292120-069603,431025414-0069603,803829231-069603,625195467-00069603,1215462584-069603,805768391-0000069603
Component 00000000095794,00004-00006-00010-95794,00002-00005-00002-87687,1439472235-095794,1054247013-095794,669021791-0095794,2083401791-095794,1862044254-00095794,128530755-095794,13738292-0000095794
Component 00000000032655,00012-32655,00003-00006-00007-49433,1665524242-032655,1426031086-032655,1186537930-0032655,787524411-032655,1984990191-00032655,907270989-032655,341804130-0000032655
Component 00000000106006,00001-00005-00004-106006,00001-00003-00012-3041,1595498187-106006,490988173-106006,1533961806-0106006,1713853683-106006,793952812-00106006,118625043-106006,2111601433-0000106006
Component 00000000088762,00002-00002-00011-88762,00002-19292,1135898721-088762,1455510952-088762,1775123183-0088762,530964572-088762,1080387064-00088762,1444900280-088762,170085524-0000088762
Component 00000000057145,00004-00010-57145,00002-00012-117467,649777595-057145,576691634-057145,503605673-0057145,326333957-057145,691763762-00057145,1436618761-057145,875915652-0000057145
Component 00000000009902,00002-00004-00009-9902,00001-30121,1077339299-009902,2048657770-009902,872492594-0009902,2015386732-009902,1453761671-00009902,455985673-009902,1317996150-0000009902
Component 00000000040652,00002-00003-00001-40652,00002-00004-00009-26282,937236399-040652,506820511-040652,76404623-0040652,1536902301-040652,1541498094-00040652,1752110245-040652,31181467-0000040652
Component 00000000046907,00002-00003-46907,00003-00004-00010-77893,659664219-046907,1799366038-046907,791584210-0046907,1174369442-046907,1918311288-00046907,1678260356-046907,93869597-0000046907
Component 00000000109857,00002-00006-00007-109857,00004-00010-110835,350312107-109857,1238874020-109857,2127435933-0109857,1569633771-109857,1421791500-00109857,51610991-109857,1793985319-0000109857
Component 00000000054794,00004-00005-00012-54794,00002-00003-00006-51642,1408542852-054794,1500935788-054794,1593328724-0054794,1594632954-054794,1132668274-00054794,1548436486-054794,1928192930-0000054794
Component 00000000085668,00003-00002-00011-85668,00004-00001-00006-51304,1335408095-085668,1633506829-085668,1931605563-0085668,760811165-085668,1417801142-00085668,611761798-085668,823990929-0000085668
Component 00000000104240,00003-00006-104240,00001-00010-77126,1080321077-104240,1601775650-104240,2123230223-0104240,1674805927-104240,1215016709-00104240,340336817-104240,82161526-0000104240
Component 00000000115892,00002-00010-115892,32760,1677118796-115892,611347900-115892,1693060651-0115892,1526837868-115892,413241407-00115892,2059723316-115892,1427780169-0000115892
Component 00000000064516,00001-00004-00010-64516,,117766091-064516,1628608351-064516,991966964-0064516,379171703-064516,1414894991-00064516,1771234220-064516,1992152949-0000064516
Component 00000000115585,00001-00002-115585,00001-00011-24165,974645230-115585,1978500358-115585,834871839-0115585,269495057-115585,1692670358-00115585,1915051140-115585,660864394-0000115585
Component 00000000072536,00001-00002-00009-72536,00001-00006-00011-54221,861102725-072536,1690204429-072536,371822486-0072536,270346076-072536,419804850-00072536,2003278871-072536,461343572-0000072536
Component 00000000084778,00003-00001-00005-84778,00004-00005-00010-26374,1184341025-084778,1402461983-084778,1620582941-0084778,1025789253-084778,2082668110-00084778,916728774-084778,745675565-0000084778
Component 00000000097594,00004-00003-97594,00002-00001-00005-14617,941261006-097594,1173089492-097594,1404917978-0097594,1447524342-097594,288381912-00097594,1331610099-097594,1566080638-0000097594
Component 00000000000492,00002-00002-00011-492,00002-00012-13727,1166216889-000492,250342407-000492,1481951572-0000492,1843461099-000492,2127866215-00000492,153914693-000492,126898751-0000000492
Component 00000000116777,00002-00003-00011-116777,00003-00005-57538,1764690149-116777,863596442-116777,2109986382-0116777,2085060123-116777,148077717-00116777,1461865153-116777,1367108234-0000116777
Component 00000000000866,00001-00005-00008-866,00001-00011-24165,571295722-000866,897025169-000866,1222754616-0000866,263046549-000866,781882961-00000866,1173923649-000866,586876737-0000000866
Component 00000000034953,00003-00002-00009-34953,00003-00005-00007-113783,591966787-034953,213969029-034953,1983454918-0034953,1586428347-034953,1328933490-00034953,1775427226-034953,957612410-0000034953
Component 00000000108900,00001-00012-108900,00004-00003-00010-84094,1257666288-108900,2045062139-108900,684974343-0108900,1865401239-108900,75905631-00108900,397961490-108900,1704487160-0000108900
Component 00000000018501,00001-00002-18501,00001-00003-00006-23796,1836472084-018501,767754361-018501,1846520285-0018501,469528223-018501,1518149544-00018501,2077628908-018501,1721124417-0000018501
Component 00000000063492,00002-00002-63492,00002-00001-00012-48112,1154856624-063492,1411458626-063492,1668060628-0063492,715151839-063492,1579625476-00063492,586850838-063492,230393563-0000063492
Component 00000000054537,00002-00002-54537,00002-00005-00006-44427,1463708335-054537,320532025-054537,1324839362-0054537,1854232122-054537,1127662731-00054537,278336630-054537,1557412715-0000054537
Component 00000000057706,00001-00005-00012-57706,00001-00004-9611,1214307122-057706,1044593414-057706,874879706-0057706,1573126872-057706,274211765-00057706,1657983726-057706,499984206-0000057706
Component 00000000093356,00001-00004-00003-93356,00002-00006-19467,872394738-093356,497556294-093356,122717850-0093356,2020083027-093356,1746791600-00093356,60018602-093356,1542609962-0000093356
Component 00000000092025,00003-00011-92025,00004-00004-00010-105739,1156584709-092025,186146723-092025,1363192384-0092025,1334982622-092025,1892205258-00092025,1820201615-092025,1407607810-0000092025
Component 00000000111185,00004-00009-111185,00002-00002-00010-24502,1262638033-111185,2016272992-111185,622424304-0111185,232969722-111185,759762221-00111185,929894066-111185,2138090833-0000111185
Component 00000000049429,00004-00002-00003-49429,00002-00005-00011-24932,1859023181-049429,2104843669-049429,203180510-0049429,896414967-049429,1814796174-00049429,773504723-049429,1133332534-0000049429
Component 00000000094704,00004-00001-00012-94704,00003-57200,989899303-094704,685788094-094704,381676885-0094704,199149372-094704,1719705417-00094704,1424946800-094704,2000101769-0000094704
Component 00000000070419,00004-00006-00011-70419,00004-00004-00012-111409,651659518-070419,47703887-070419,1591231903-0070419,350840649-070419,1223135157-00070419,1726560288-070419,1906190804-0000070419
Component 00000000015940,00001-00002-15940,00001-75621,1508923173-015940,1155602252-015940,802281331-0015940,478985857-015940,98106815-00015940,1729388141-015940,1061025149-0000015940
Component 00000000080279,00004-00003-00004-80279,00003-00004-23950,5616933-080279,368593582-080279,731570231-0080279,1503857057-080279,1836457459-00080279,248626909-080279,1648936045-0000080279
Component 00000000066968,00003-00006-00005-66968,00002-00001-00009-21862,476109120-066968,1693512788-066968,763432809-0066968,1538128549-066968,1893561150-00066968,929426715-066968,1379031426-0000066968
Component 00000000045131,00001-00002-00008-45131,00001-00002-00011-28156,1866594628-045131,2009095843-045131,4113411-0045131,1261710791-045131,549204716-00045131,116718360-045131,758722258-0000045131
Component 00000000012627,00002-00006-00004-12627,00004-00003-00001-106354,754590668-012627,721425454-012627,688260240-0012627,1293561436-012627,1459387506-00012627,1310144043-012627,1629863494-0000012627
Component 00000000031101,00001-00005-31101,00003-00001-00004-5958,263400165-031101,751034009-031101,1238667853-0031101,291321482-031101,635909-00031101,47504560-031101,2015601519-0000031101
Component 00000000087175,00004-00010-87175,00004-00004-00006-93489,1131075750-087175,2116407153-087175,954254909-0087175,601266738-087175,2117060664-00087175,1182342860-087175,998001487-0000087175
Component 00000000083625,00003-00009-83625,00001-00002-00001-117651,835885482-083625,1565572376-083625,147775623-0083625,1865961489-083625,365010666-00083625,1501118042-083625,1126469326-0000083625
Component 00000000063797,00002-00006-00006-63797,00002-00003-00006-56647,668990566-063797,1171408452-063797,1673826338-0063797,1413937920-063797,1049332137-00063797,1162728977-063797,605684520-0000063797
Component 00000000088341,00001-00001-00006-88341,00004-00006-2580,2081818881-088341,2071719346-088341,2061619811-0088341,518249610-088341,568747285-00088341,1597041201-088341,762264984-0000088341
Component 00000000061511,00001-00002-00008-61511,00001-00002-00004-116146,903044031-061511,2019290583-061511,988053488-0061511,1353910628-061511,67645162-00061511,795787352-061511,1865831127-0000061511
Component 00000000049406,00001-00006-49406,00003-00005-00004-24288,1192056825-049406,834628272-049406,477199719-0049406,2110383004-049406,1750042122-00049406,1215355457-049406,676522756-0000049406
Component 00000000090903,00003-00001-00007-90903,00001-00001-74361,436798475-090903,406533640-090903,376268805-0090903,42695801-090903,194019976-00090903,1131570042-090903,897276978-0000090903
Component 00000000116406,00001-00003-00004-116406,00001-00009-47160,1564541324-116406,1188958062-116406,813374800-0116406,528622293-116406,259054956-00116406,716413924-116406,1499178338-0000116406
Component 00000000028960,00001-00009-28960,00002-00004-00005-69542,1952874067-028960,818045284-028960,1830700148-0028960,1674511090-028960,906204064-00028960,1168183658-028960,1377913228-0000028960
Component 00000000010289,00004-00006-00006-10289,00003-00006-00004-40928,2023714107-010289,308147242-010289,740064024-0010289,1496841564-010289,1484741301-00010289,1280883173-010289,1765120809-0000010289
Component 00000000118163,00003-00003-00006-118163,00004-00002-96345,1623201331-118163,1033292808-118163,443384285-0118163,2003667200-118163,658242521-00118163,1224879638-118163,1318411341-0000118163
Component 00000000064076,00001-00005-00012-64076,00003-00004-64445,1416898760-064076,1666001829-064076,1915104898-0064076,1687237548-064076,441722203-00064076,488944190-064076,745711138-0000064076
Component 00000000088044,00004-00005-00008-88044,00002-00012-117805,484667638-088044,1534085990-088044,436020695-0088044,1989333829-088044,1037209363-00088044,1464624653-088044,416355490-0000088044
Component 00000000081549,00004-00006-81549,00002-00010-59472,932889890-081549,1396342186-081549,1859794482-0081549,1935489776-081549,1765711943-00081549,1703763628-081549,62079473-0000081549
Component 00000000072619,00004-00001-00001-72619,00002-00005-56555,636872160-072619,747244413-072619,857616666-0072619,621217313-072619,69356048-00072619,1639773010-072619,1735794778-0000072619
Component 00000000019898,00003-00004-00008-19898,00001-00003-62910,130839536-019898,44337241-019898,2105318593-0019898,1304187346-019898,1736698821-00019898,273696670-019898,748310525-0000019898
Component 00000000041474,00004-00006-00004-41474,00002-00001-49310,728008908-041474,1098544699-041474,1469080490-0041474,445383772-041474,740188464-00041474,1333857700-041474,183055710-0000041474
Component 00000000106658,00003-00006-00006-106658,00004-00007-21340,157599558-106658,591308108-106658,1025016658-0106658,1865111410-106658,1844052307-00106658,1648257135-106658,618513601-0000106658
Component 00000000003525,00004-00002-3525,00002-00003-00003-98647,223380985-003525,1174181135-003525,2124981285-0003525,1240031673-003525,780998217-00003525,764631598-003525,210888350-0000003525
Component 00000000105876,00001-00001-00004-105876,00001-00004-00003-122931,1885504301-105876,1569497386-105876,1253490471-0105876,517812629-105876,2097847204-00105876,1749557910-105876,1509437791-0000105876
Component 00000000096386,00001-00003-00004-96386,00002-00006-00002-104327,2113255251-096386,682575787-096386,1399379970-0096386,1444777951-096386,8240683-00096386,12634036-096386,902399055-0000096386
Component 00000000059732,00002-00001-00010-59732,00004-00003-00010-66349,2095498513-059732,830037831-059732,1712060796-0059732,850197552-059732,735050021-00059732,1482927893-059732,1102448523-0000059732
Component 00000000034391,00001-00006-34391,00004-00001-00005-98064,1144111775-034391,202299585-034391,1407971042-0034391,563377147-034391,977470803-00034391,1034283242-034391,44162690-0000034391
Component 00000000092081,00001-00003-00002-92081,00004-00001-00002-107304,871425998-092081,1888446516-092081,757983387-0092081,804797240-092081,14661944-00092081,296286981-092081,1415870926-0000092081
Component 00000000058063,00003-00005-00005-58063,00004-00012-19590,1770634301-058063,1580652559-058063,1390670817-0058063,1146454402-058063,2096363112-00058063,1241445273-058063,1260525881-0000058063
Component 00000000110481,00001-00007-110481,00001-00005-00011-4821,1003148683-110481,472979019-110481,2090293002-0110481,1059723743-110481,1563088416-00110481,1324808575-110481,1069791372-0000110481
Component 00000000031309,00004-00005-00005-31309,00001-00001-00009-11761,292963419-031309,1935514414-031309,1430581762-0031309,1573533561-031309,1950713174-00031309,1825999887-031309,1703766905-0000031309
Component 00000000039837,00002-00005-39837,00001-00006-3471,703053969-039837,1085577749-039837,1468101529-0039837,2075588123-039837,162969223-00039837,1884326233-039837,1364789681-0000039837
Component 00000000060838,00003-00001-00011-60838,00002-00004-00005-97297,488548600-060838,646671940-060838,804795280-0060838,1715079649-060838,924462949-00060838,1636017979-060838,2051550539-0000060838
Component 00000000029530,00004-00007-29530,00002-00002-00006-85507,1574083629-029530,881522760-029530,188961891-0029530,1270878011-029530,438715062-00029530,543416622-029530,692737924-0000029530
Component 00000000043900,00003-00012-43900,00003-00003-00006-117253,84161309-043900,730861608-043900,1377561907-0043900,310612929-043900,1372078728-00043900,1061004603-043900,1667341705-0000043900
Component 00000000039584,00004-00006-00012-39584,00003-00006-00011-119923,153171278-039584,1828095599-039584,1355536273-0039584,856364084-039584,1071677067-00039584,1092643747-039584,896076633-0000039584
Component 00000000034263,00003-00005-00008-34263,00003-00003-00006-94503,573585097-034263,1081526720-034263,1589468343-0034263,512691872-034263,120467404-00034263,1332462884-034263,1980281633-0000034263
Component 00000000009496,00001-00004-00006-9496,00003-00006-18700,1511466552-009496,1111785166-009496,712103780-0009496,1454272154-009496,1305195437-00009496,1654112847-009496,67181489-0000009496
Component 00000000012240,00004-00007-12240,00002-00004-00007-19702,448124997-012240,953207397-012240,1458289797-0012240,1322301280-012240,944372927-00012240,1069760080-012240,443252766-0000012240
Component 00000000000505,00001-00011-505,00003-00002-00001-14093,1974927809-000505,1835530089-000505,1696132369-0000505,1656589330-000505,206094283-00000505,1726288190-000505,1781202417-0000000505
Component 00000000032704,00004-00009-32704,00004-00001-00010-50814,1953508505-032704,790213417-032704,1774401976-0032704,1368271559-032704,742296058-00032704,1949919103-032704,1552579919-0000032704
Component 00000000009463,00003-00006-00012-9463,00002-17810,59675968-009463,1166988883-009463,126818151-0009463,1151002994-009463,2056889360-00009463,1671088360-009463,1077448247-0000009463
Component 00000000092912,00002-00001-00001-92912,00004-00006-00001-7034,595148331-092912,558560937-092912,521973543-0092912,968143369-092912,1151080339-00092912,986437066-092912,412319921-0000092912
Component 00000000117180,00011-117180,00001-00005-00001-68836,1328236598-117180,361237837-117180,1541722723-0117180,599695100-117180,1139721611-00117180,9452657-117180,1411036788-0000117180
Component 00000000015790,00005-00008-15790,00001-00006-71415,676418922-015790,471185225-015790,265951528-0015790,386261029-015790,1412429514-00015790,1562619701-015790,2081916885-0000015790
Component 00000000008896,00001-00006-00004-8896,00004-00006-1904,955355670-008896,797154842-008896,638954014-0008896,1872550100-008896,516070593-00008896,1951650514-008896,2102586781-0000008896
Component 00000000050492,00002-00001-50492,00002-00008-54712,20145438-050492,659004119-050492,1297862800-0050492,2013762232-050492,966952474-00050492,620591068-050492,1632447242-0000050492
Component 00000000034140,00001-00002-34140,00004-00001-00012-91064,1896389821-034140,2038406683-034140,32939898-0034140,194273040-034140,1631672377-00034140,123264609-034140,1739431897-0000034140
Component 00000000013464,00004-00003-00009-13464,00001-00003-00004-6296,1279191015-013464,1566843542-013464,1854496069-0013464,1271694869-013464,1980915881-00013464,54126782-013464,2110448113-0000013464
Component 00000000097431,00001-00005-00009-97431,10010,75349767-097431,1820443162-097431,1418052910-0097431,2034259015-097431,1898726628-00097431,87970494-097431,955749893-0000097431
Component 00000000031845,00002-00008-31845,00004-00006-00007-26774,656961661-031845,737564303-031845,818166945-0031845,271222504-031845,2015692941-00031845,230921183-031845,1517816680-0000031845
Component 00000000058269,00004-00001-00003-58269,00003-00006-00008-25423,178882857-058269,1172012176-058269,17657848-0058269,27272771-058269,1504077117-00058269,604449935-058269,789516794-0000058269
Component 00000000043312,00002-00003-00009-43312,00001-00001-00003-100766,1202387379-043312,1667583201-043312,2132779023-0043312,142064629-043312,2111052813-00043312,2056950365-043312,1606907146-0000043312
Component 00000000009792,00002-00006-00003-9792,00006-27020,917524943-009792,1194524275-009792,1471523607-0009792,1467090663-009792,82094003-00009792,1328590997-009792,368561110-0000009792
Component 00000000038168,00003-00004-38168,00002-00004-00012-80287,270102471-038168,408893477-038168,547684483-0038168,559015321-038168,2012543938-00038168,489619818-038168,1429036369-0000038168
Component 00000000043915,00004-00001-43915,00001-00002-00001-117651,590141349-043915,1550857554-043915,364090112-0043915,1013978881-043915,505365150-00043915,1607362602-043915,1376434673-0000043915
Component 00000000017742,00002-00004-00010-17742,00001-00003-00003-2551,390020119-017742,711792892-017742,1033565665-0017742,2037355904-017742,428492039-00017742,802727694-017742,992878976-0000017742
Component 00000000058843,00003-00001-00005-58843,00003-00006-41450,1348980137-058843,419580906-058843,1637665322-0058843,296532197-058843,648561058-00058843,1834973636-058843,1774493346-0000058843
Component 00000000052556,00001-00010-52556,00010-112525,629396384-052556,694665034-052556,759933684-0052556,1647442262-052556,1321099012-00052556,1614807937-052556,1421576190-0000052556
Component 00000000109409,00004-00006-00001-109409,00004-00008-98340,540599399-109409,1097448267-109409,1654297135-0109409,1777965733-109409,1141205040-00109409,1499541299-109409,1418837210-0000109409
Component 00000000094334,00004-00002-00006-94334,00004-00005-00006-46884,1711634102-094334,157751081-094334,751351707-0094334,436493405-094334,1763457569-00094334,139693092-094334,2124317933-0000094334
Component 00000000029536,00001-00003-29536,00001-00004-00008-85691,768709203-029536,1859828656-029536,803464462-0029536,1074653322-029536,2061506998-00029536,1602835419-029536,109151209-0000029536
Component 00000000062552,00002-00009-62552,00008-21770,64483461-062552,163916657-062552,263349853-0062552,592026173-062552,94860193-00062552,542309575-062552,1724043663-0000062552
Component 00000000119748,00003-00006-00005-119748,00001-00004-00010-17196,161849526-119748,1719038388-119748,1128743603-0119748,523581688-119748,1327571966-00119748,1892470904-119748,1747974573-0000119748
Component 00000000016404,00004-00003-00011-16404,00002-00006-00008-88577,1291053299-016404,412756092-016404,1681942532-0016404,569569876-016404,666088617-00016404,2082460303-016404,422316268-0000016404
Component 00000000119710,00003-00006-119710,00006-16120,862128064-119710,831420552-119710,800713040-0119710,1520297379-119710,1673834939-00119710,1535651135-119710,17919865-0000119710
Component 00000000104878,00003-00004-00007-104878,00004-00006-00007-95024,1555652821-104878,392865737-104878,1377562300-0104878,995054069-104878,366538548-00104878,1576447611-104878,1965774033-0000104878
Component 00000000012459,00004-00006-00005-12459,00001-00004-101686,1053216578-012459,1792016144-012459,383332063-0012459,377773530-012459,978742994-00012459,8373747-012459,894691484-0000012459
Component 00000000122605,00002-122605,00004-00012-97174,1702614624-122605,2018826855-122605,187555439-0122605,932780475-122605,1499202967-00122605,1848416183-122605,1192972074-0000122605
Component 00000000041002,00002-00003-41002,00002-00006-00002-36077,877750396-041002,992189940-041002,1106629484-0041002,2133100986-041002,1560903266-00041002,2075881214-041002,596165005-0000041002
Component 00000000068499,00004-00004-00002-68499,00002-00008-64722,2119597986-068499,529840197-068499,1087566055-0068499,1252014688-068499,610869045-00068499,973151759-068499,2038225717-0000068499
Component 00000000074716,00001-00005-00005-74716,00001-00001-00011-115256,1564506673-074716,677548577-074716,1938074128-0074716,1496711957-074716,1636535143-00074716,1940191005-074716,70388168-0000074716
Component 00000000092501,00001-00003-00006-92501,00004-00002-119095,1657157843-092501,569615781-092501,1629557366-0092501,450975364-092501,1593718380-00092501,994746395-092501,1766251346-0000092501
Component 00000000025667,00002-00005-00005-25667,00003-00004-00008-100888,1185774629-025667,1706362229-025667,79466182-0025667,664469465-025667,209015112-00025667,404175665-025667,303952024-0000025667
Component 00000000081634,00004-00007-81634,00003-00006-00009-61928,84993557-081634,1312551224-081634,392625244-0081634,565740114-081634,870402720-00081634,1025703104-081634,530676341-0000081634
Component 00000000012646,00001-00004-00010-12646,00002-00005-00012-106937,1507956987-012646,799442740-012646,90928493-0012646,431012536-012646,1826100124-00012646,1859011483-012646,56552072-0000012646
Component 00000000009598,00003-00001-00004-9598,00002-00001-00011-21617,2090510161-009598,1650593641-009598,1210677121-0009598,81911764-009598,134010717-00009598,301870024-009598,581581946-0000009598
Component 00000000075197,00002-00003-00005-75197,00004-00011-5159,1808122705-075197,1836596523-075197,1865070341-0075197,1041619231-075197,899250141-00075197,1027382322-075197,1304967791-0000075197
Component 00000000011080,00006-00004-11080,00004-00003-00005-63094,520268216-011080,1606624083-011080,545496303-0011080,595178414-011080,1605850020-00011080,1125742304-011080,1592781950-0000011080
Component 00000000006863,00003-00003-00012-6863,00004-00006-00006-68529,501410049-006863,1918204682-006863,1187515668-0006863,1570214869-006863,928692645-00006863,1935559376-006863,141823351-0000006863
Component 00000000035290,00003-00008-35290,00004-00004-00012-123239,1175745227-035290,6265256-035290,984268932-0035290,1364283279-035290,769232193-00035290,875281441-035290,71146947-0000035290
Component 00000000040554,00004-00003-00007-40554,00001-00003-00008-23551,1506318046-040554,1526119612-040554,1545921178-0040554,319210350-040554,220202520-00040554,309309567-040554,168118244-0000040554
Component 00000000088376,00001-00001-00002-88376,00004-00003-00006-3594,497884586-088376,2085441684-088376,1525515135-0088376,184992547-088376,837141645-00088376,1538697645-088376,740812054-0000088376
Component 00000000053629,00004-00002-00004-53629,00001-00001-19006,1686521260-053629,1726172330-053629,1765823400-0053629,1462114508-053629,1263859158-00053629,1442288973-053629,1117027312-0000053629
Component 00000000015457,00002-00001-15457,00002-00001-00011-62112,1980552932-015457,1313258804-015457,645964676-0015457,1829042429-015457,870545775-00015457,15205846-015457,63712300-0000015457
Component 00000000059674,00004-00006-00004-59674,00002-00008-64722,2060865417-059674,1362836806-059674,664808195-0059674,1492474312-059674,687650073-00059674,767746794-059674,113181201-0000059674
Component 00000000088253,00003-00004-00009-88253,00002-00002-18475,1347623209-088253,401069301-088253,1601999040-0088253,536915258-088253,974717504-00088253,1010192212-088253,745083464-0000088253
Component 00000000106109,00004-00003-00003-106109,00001-00004-00011-5926,1336110152-106109,854863635-106109,373617118-0106109,544232371-106109,802981309-00106109,1858597453-106109,87635537-0000106109
Component 00000000053949,00004-00012-53949,00002-00009-27972,664528690-053949,1114975644-053949,1565422598-0053949,1036369489-053949,931618366-00053949,811146012-053949,1420289271-0000053949
Component 00000000081673,00003-00004-00007-81673,00001-00004-00008-62941,1846457088-081673,323390198-081673,947806955-0081673,992156921-081673,17556783-00081673,1753690366-081673,440814283-0000081673
Component 00000000013573,00003-00001-13573,00004-00001-9335,961223093-013573,1309208175-013573,1657193257-0013573,658630394-013573,1066188631-00013573,484637853-013573,827156405-0000013573
Component 00000000036669,00004-00003-00009-36669,1436259974,1069726611-036669,628373303-036669,187019995-0036669,1138927643-036669,1198210536-00036669,1359604297-036669,521112634-0000036669
Component 00000000002122,00002-00001-00003-2122,00004-00001-59319,479042681-002122,2146863330-002122,1667200332-0002122,837707395-002122,1088538738-00002122,1077538894-002122,522940332-0000002122
Component 00000000088418,00003-00001-00005-88418,00001-00001-00003-4761,1382443191-088418,282837564-088418,1330715584-0088418,664919633-088418,1867980474-00088418,140980623-088418,1449843723-0000088418
Component 00000000038117,00002-00002-00001-38117,00004-00001-00008-78814,1524200806-038117,1990274701-038117,308864949-0038117,1580206420-038117,1397320592-00038117,273427649-038117,744163443-0000038117
Component 00000000007322,00002-00003-7322,00003-00006-00004-81423,598278646-007322,1569540030-007322,393317767-0007322,459815536-007322,2045959557-00007322,2121668491-007322,477677889-0000007322
Component 00000000034055,00008-34055,00003-00004-00004-88638,616894929-034055,2033524252-034055,1302669928-0034055,1677682214-034055,1036986540-00034055,2043109376-034055,2000436698-0000034055
Component 00000000060105,00003-00006-60105,00002-00004-00009-76787,935407362-060105,1746725451-060105,410559893-0060105,555887209-060105,794264058-00060105,1223969988-060105,1406641348-0000060105
Component 00000000000159,00004-00005-00003-159,00001-00006-4361,164028872-000159,1681606531-000159,1051700543-0000159,1825843159-000159,680405805-00000159,2140796153-000159,2028094378-0000000159
Component 00000000076943,00003-00006-00009-76943,00003-00002-00005-54098,327649660-076943,1598187053-076943,721240799-0076943,745429281-076943,835193257-00076943,1183902408-076943,1086567667-0000076943
Component 00000000071928,00003-00003-00012-71928,00003-00001-00007-37213,1527060242-071928,690227910-071928,2000879225-0071928,1742881433-071928,1632075799-00071928,13813952-071928,615287853-0000071928
Component 00000000018764,00004-00004-00005-18764,00004-00005-00012-31134,1754426352-018764,1817727087-018764,1881027822-0018764,1603286529-018764,1286782854-00018764,497894338-018764,1621363772-0000018764
Component 00000000067480,00010-67480,00005-00012-36230,38555366-067480,1203922352-067480,221805691-0067480,724279365-067480,1339895376-00067480,141595872-067480,117224555-0000067480
Component 00000000075808,00003-00005-00005-75808,00001-00003-00009-22291,678311527-075808,1321154920-075808,1963998313-0075808,717703206-075808,1798453535-00075808,1470023333-075808,579116519-0000075808
Component 00000000011773,00003-00006-00008-11773,00003-00003-82498,10396254-011773,512245876-011773,1014095498-0011773,727782804-011773,366018341-00011773,476857993-011773,1468296386-0000011773
Component 00000000082800,00004-00003-82800,00004-00001-00002-94564,123220512-082800,791154837-082800,1459089162-0082800,1379522393-082800,187334415-00082800,2119297054-082800,866022806-0000082800
Component 00000000075789,00004-00012-75789,00002-00012-21800,569537647-075789,1756697359-075789,796373424-0075789,164725210-075789,671377591-00075789,1718629001-075789,1159493079-0000075789
Component 00000000110137,00002-00006-00001-110137,00003-00005-118695,1117411391-110137,1070135933-110137,1022860475-0110137,972035325-110137,1208412615-00110137,995673054-110137,1716712542-0000110137
Component 00000000030670,00003-00003-30670,00001-00004-00007-117436,1495159403-030670,1140351140-030670,785542877-0030670,393086000-030670,19643668-00030670,1644231955-030670,1960952946-0000030670
Component 00000000119546,00001-00011-119546,00001-00003-00002-11546,112041481-119546,1127458974-119546,2142876467-0119546,1041407834-119546,259287663-00119546,1607440911-119546,1738117829-0000119546
Component 00000000010159,00004-00002-00006-10159,00004-00001-00007-37304,143512588-010159,1188989697-010159,86983159-0010159,383286670-010159,1598352066-00010159,934289939-010159,1776108434-0000010159
Component 00000000043267,00002-00003-43267,00001-00001-00004-99506,1504511166-043267,1445312432-043267,1386113698-0043267,780856214-043267,1076849884-00043267,810455581-043267,596454600-0000043267
Component 00000000060338,00003-00005-00005-60338,00002-00004-83295,974255350-060338,528191254-060338,82127158-0060338,814983164-060338,897819997-00060338,1038015212-060338,1904804328-0000060338
Component 00000000066650,00003-00012-66650,00004-00006-00006-13019,338818285-066650,1493941138-066650,501580344-0066650,1601443657-066650,120796686-00066650,2097624054-066650,1452660546-0000066650
Component 00000000030654,00004-00001-30654,00001-00006-00002-116976,2030043160-030654,746240492-030654,1609921471-0030654,2042639525-030654,2019201924-00030654,537057212-030654,309525004-0000030654
Component 00000000069049,00004-00001-00006-69049,00004-00006-80164,1265324000-069049,885283203-069049,505242406-0069049,1086956345-069049,839676683-00069049,203234920-069049,539508160-0000069049
Component 00000000048817,00002-00006-00002-48817,00004-00004-7830,356558175-048817,1497065442-048817,490089062-0048817,910327626-048817,1650242232-00048817,1413815816-048817,449127671-0000048817
Component 00000000101292,00002-00002-00009-101292,00003-00004-00012-118143,1407693621-101292,1094899223-101292,782104825-0101292,1269550847-101292,686039190-00101292,1425948046-101292,707679766-0000101292
Component 00000000112958,00003-00006-00001-112958,00002-00001-00004-74117,1382146443-112958,157895002-112958,1081127208-0112958,1061751847-112958,740558111-00112958,600135744-112958,1915409321-0000112958
Component 00000000028508,00003-00004-00012-28508,00002-00001-56862,400663749-028508,1378639336-028508,209131276-0028508,1661581308-028508,1066670667-00028508,98851691-028508,817543544-0000028508
Component 00000000047177,00002-00004-47177,00001-00005-00008-75941,987197113-047177,157613095-047177,1475512724-0047177,1554561533-047177,1407514329-00047177,1969353542-047177,266563283-0000047177
