Component 00000000071551,00001-00004-00012-71551,00001-00002-00001-26651,1295239515-071551,70182386-071551,992608904-0071551,935769051-071551,618603755-00071551,474555792-071551,2029012347-0000071551
Component 00000000120102,00002-00003-00008-120102,00002-00001-00007-27112,219551450-120102,2049746782-120102,1732458467-0120102,937195525-120102,376153453-00120102,22097859-120102,1353542564-0000120102
Component 00000000023131,00001-00003-00004-23131,00003-00002-00008-29843,1290104675-023131,254279127-023131,1365937226-0023131,444689478-023131,1328849924-00023131,962602252-023131,88500369-0000023131
Component 00000000022110,00004-00010-22110,1436259974,1183571826-022110,1123189814-022110,1062807802-0022110,402527891-022110,704437951-00022110,432718897-022110,1684059327-0000022110
Component 00000000113345,00001-00011-113345,00001-00001-00009-85016,554229797-113345,510839345-113345,467448893-0113345,597276522-113345,814228782-00113345,618971748-113345,1776142733-0000113345
Component 00000000090529,00004-00005-00010-90529,00004-00001-00012-19629,1009995494-090529,277034927-090529,1691558007-0090529,894888170-090529,264723711-00090529,187626630-090529,712289538-0000090529
Component 00000000036584,00004-00002-00002-36584,00003-00006-00004-35923,73563671-036584,1105462686-036584,2137361701-0036584,1802283841-036584,937756060-00036584,212592510-036584,1158032287-0000036584
Component 00000000014828,00003-00002-00008-14828,00004-00004-00003-44489,318710004-014828,1553144507-014828,640095363-0014828,1132983107-014828,1403261533-00014828,1589507679-014828,620417618-0000014828
Component 00000000001958,00003-00005-00008-1958,00004-00004-00001-54744,1382882018-001958,617277805-001958,1999157239-0001958,1832041510-001958,1365095281-00001958,1141101793-001958,2048101590-0000001958
Component 00000000093391,00001-00004-00012-93391,00005-00005-20480,814999282-093391,993688886-093391,1172378490-0093391,891510488-093391,2145546115-00093391,802165686-093391,67281918-0000093391
Component 00000000012693,00003-00002-00005-12693,00002-00002-00006-108257,129544787-012693,484069634-012693,838594481-0012693,1217872514-012693,1592731926-00012693,2114351914-012693,1584351673-0000012693
Component 00000000004253,00003-00004-00002-4253,00003-00003-00001-119003,758200022-004253,608624845-004253,459049668-0004253,1019996702-004253,1767872587-00004253,21042467-004253,1503966326-0000004253
Component 00000000010592,00002-00001-00010-10592,00001-00002-00001-49401,838860158-010592,1837446257-010592,688548709-0010592,951903902-010592,253940701-00010592,1526352676-010592,1372213281-0000010592
Component 00000000070381,00001-00003-00012-70381,00001-00004-00007-117436,1025443480-070381,1653631182-070381,134335237-0070381,1427775969-070381,434321106-00070381,1113682118-070381,1334577137-0000070381
Component 00000000034142,00002-00003-00004-34142,00001-00002-00005-47091,1155752393-034142,1966056701-034142,628877362-0034142,1800805685-034142,2044251439-00034142,1395653531-034142,553602923-0000034142
Component 00000000116000,00003-00001-116000,00004-00006-00006-35769,752664715-116000,643245733-116000,533826751-0116000,1888295029-116000,287906292-00116000,1943004520-116000,374902609-0000116000
Component 00000000018724,00004-00006-00004-18724,00004-00006-00012-30029,1589322868-018724,1601885678-018724,1614448488-0018724,51135506-018724,2135805103-00018724,44854101-018724,644559671-0000018724
Component 00000000096489,00004-00001-00003-96489,00003-00001-00002-107213,1452987715-096489,1882864893-096489,165258424-0096489,827194378-096489,825292135-00096489,612255789-096489,1768941504-0000096489
Component 00000000093863,00003-00003-93863,00001-00002-00007-33651,503532337-093863,544043730-093863,584555123-0093863,1394593074-093863,1192036109-00093863,300595554-093863,1425006169-0000093863
Component 00000000089523,00003-00005-89523,00004-00002-00011-35709,1493087006-089523,348482649-089523,1351361939-0089523,740608690-089523,21179534-00089523,239169045-089523,1832046769-0000089523
Component 00000000114984,00004-00002-00012-114984,00004-00001-00003-7309,1766039791-114984,76478452-114984,534400760-0114984,352951612-114984,210823719-00114984,123990458-114984,1966885385-0000114984
Component 00000000081605,00006-00004-81605,00003-00003-00012-7773,304543390-081605,1135859133-081605,1967174876-0081605,894909456-081605,1033298035-00081605,1552993408-081605,1081308795-0000081605
Component 00000000087936,00001-00002-00004-87936,00002-00005-114795,1879922359-087936,1688904614-087936,1497886869-0087936,131754491-087936,1086843216-00087936,1301005187-087936,1509441939-0000087936
Component 00000000095506,00001-00005-00008-95506,00002-00006-00007-27502,1653967503-095506,1866592950-095506,2079218397-0095506,155141624-095506,1239498036-00095506,1122570724-095506,1241104060-0000095506
Component 00000000056725,00004-00006-56725,00004-00002-00006-105709,789042778-056725,1797346811-056725,658167197-0056725,1373406321-056725,626853450-00056725,1942996128-056725,1238796028-0000056725
Component 00000000087610,00005-00003-87610,00003-00006-00001-105678,2138833935-087610,2131908317-087610,2124982699-0087610,1802941462-087610,1837569552-00087610,1806404271-087610,476131316-0000087610
Component 00000000025587,00002-00002-00003-25587,00001-00011-98616,1607366704-025587,1470181322-025587,1332995940-0025587,1396326618-025587,2082253528-00025587,1464919309-025587,302249632-0000025587
Component 00000000031008,00003-00005-00003-31008,00004-00009-3350,1680543781-031008,908790008-031008,137036235-0031008,1831449613-031008,1395251184-00031008,1143584676-031008,575185667-0000031008
Component 00000000024061,00001-00002-00011-24061,00001-00002-00011-55911,284652162-024061,1199150665-024061,2113649168-0024061,614414794-024061,336889573-00024061,1230907366-024061,349586134-0000024061
Component 00000000046835,00005-00009-46835,00001-00011-75866,2132010404-046835,1651977935-046835,1171945466-0046835,1399013951-046835,1651692649-00046835,565288362-046835,1745155934-0000046835
Component 00000000069020,00003-69020,00004-00009-79335,485624227-069020,2009024342-069020,1384940810-0069020,282343983-069020,1255277996-00069020,594385749-069020,177979951-0000069020
Component 00000000058607,00002-00003-00003-58607,00004-00005-34879,1730763533-058607,1133635242-058607,536506951-0058607,1761070654-058607,451744815-00058607,985892976-058607,153818389-0000058607
Component 00000000084797,00002-00006-00011-84797,00002-00005-00004-26927,1635456065-084797,1389034854-084797,1142613643-0084797,1495187390-084797,579809798-00084797,544656172-084797,999315654-0000084797
Component 00000000007278,00003-00005-00011-7278,00004-00001-00003-10039,1374333438-007278,1216184825-007278,1058036212-0007278,1220318472-007278,2011061537-00007278,225650955-007278,1420109725-0000007278
Component 00000000099260,00005-99260,00002-00002-00009-61252,1875094685-099260,1508682152-099260,1142269619-0099260,210214187-099260,2042276852-00099260,1467162277-099260,1829737073-0000099260
Component 00000000072380,00009-72380,00002-00001-00007-49862,2027643793-072380,1904580077-072380,1781516361-0072380,354020861-072380,969339441-00072380,415552719-072380,1927598181-0000072380
Component 00000000090636,00001-90636,00004-00007-66840,876214372-090636,1977083424-090636,930468829-0090636,581272219-090636,1519377900-00090636,30837693-090636,1705733745-0000090636
Component 00000000039871,00001-00006-39871,00003-00009-4455,1733316840-039871,492767384-039871,1399701575-0039871,1696210340-039871,1456506679-00039871,169001421-039871,1729093502-0000039871
Component 00000000049011,00001-00004-00001-49011,00005-13265,1077045942-049011,116974818-049011,1304387341-0049011,1758236662-049011,116141341-00049011,90788577-049011,106986279-0000049011
Component 00000000055569,00004-00003-00007-55569,00003-00011-73318,1225583461-055569,1461475918-055569,1697368375-0055569,855207567-055569,1823228929-00055569,1811003162-055569,897740296-0000055569
Component 00000000105969,00004-00003-00006-105969,00003-00003-00009-1998,1069096841-105969,946586233-105969,824075625-0105969,1569783294-105969,34852687-00105969,1631038598-105969,1287141711-0000105969
Component 00000000040616,00001-00002-00004-40616,00001-00003-00003-25301,1223477752-040616,598324756-040616,2120655407-0040616,968328504-040616,1946609837-00040616,1280905002-040616,40236573-0000040616
Component 00000000083043,00003-00002-00012-83043,00006-00006-101380,396076030-083043,1809908587-083043,1076257497-0083043,1321220164-083043,694508320-00083043,1688045709-083043,839352102-0000083043
Component 00000000008584,00004-00002-00004-8584,00001-00001-00008-116761,211033523-008584,968171409-008584,1725309295-0008584,424998995-008584,934276859-00008584,46430052-008584,155382704-0000008584
Component 00000000018130,00008-18130,00004-00005-00012-13389,1028801734-018130,910254182-018130,791706630-0018130,1721696403-018130,166950516-00018130,1780970179-018130,297671236-0000018130
Component 00000000037850,00001-00007-37850,00004-00005-00001-71384,1927096215-037850,417221052-037850,1054829536-0037850,638852984-037850,1745777858-00037850,320048742-037850,115027613-0000037850
Component 00000000013246,00001-00002-00012-13246,00001-00004-00004-186,341453762-013246,656087931-013246,970722100-0013246,1642567253-013246,69396408-00013246,411508345-013246,1129871298-0000013246
Component 00000000027264,00004-00006-00003-27264,00001-00002-00010-37606,1691880378-027264,1001345656-027264,310810934-0027264,413201066-027264,1718391029-00027264,758468427-027264,1936542968-0000027264
Component 00000000014585,00004-00012-14585,00002-00006-00006-20117,556890449-014585,895245480-014585,1233600511-0014585,860982100-014585,1316690592-00014585,1765546408-014585,324654810-0000014585
Component 00000000038595,00004-00011-38595,00005-00008-92230,1850411793-038595,1629297233-038595,1408182673-0038595,1863773868-038595,821863021-00038595,1974331148-038595,520752032-0000038595
Component 00000000001072,00002-00001-00006-1072,00001-00006-00001-29966,1200555495-001072,1755060410-001072,162081678-0001072,1250498285-001072,625457357-00001072,2046987651-001072,2104659030-0000001072
Component 00000000059206,00001-00004-59206,00002-00001-00002-51612,465513410-059206,636830067-059206,808146724-0059206,1258178510-059206,401595225-00059206,98778358-059206,227016119-0000059206
Component 00000000109035,00003-00004-109035,00004-00005-00002-87869,280836766-109035,255032148-109035,229227530-0109035,1176796440-109035,1305819530-00109035,1189698749-109035,2111771874-0000109035
Component 00000000002927,00002-00001-00002-2927,00002-00001-00004-81852,1443046674-002927,1947130567-002927,303730813-0002927,1195053544-002927,822117726-00002927,2016753421-002927,2111850716-0000002927
Component 00000000013950,00006-00001-13950,00001-00002-00006-19896,912747606-013950,1330896936-013950,1749046266-0013950,1865637288-013950,1922374285-00013950,1656562623-013950,1579494950-0000013950
Component 00000000012469,00004-00002-00002-12469,00002-00003-101962,1799854510-012469,713488450-012469,1774606037-0012469,650708128-012469,1787571134-00012469,1193891158-012469,625633555-0000012469
Component 00000000071792,00002-00006-71792,00006-00004-33375,1193207630-071792,1126422820-071792,1059638010-0071792,101627992-071792,435552042-00071792,135020397-071792,935311801-0000071792
Component 00000000024775,00002-00010-24775,00001-00009-39880,1240166913-024775,1590089525-024775,1940012137-0024775,1031544419-024775,1429415006-00024775,856583113-024775,888798830-0000024775
Component 00000000041176,00001-00002-00005-41176,00003-00006-00004-40928,1249631445-041176,245568488-041176,1388989178-0041176,870960088-041176,1596307579-00041176,299249743-041176,633247580-0000041176
Component 00000000041658,00003-00001-00006-41658,00001-00004-00005-54436,392026647-041658,1701502287-041658,863494280-0041658,1624569424-041658,1519642165-00041658,969831604-041658,237597887-0000041658
Component 00000000059361,00001-00001-00003-59361,00001-00006-00006-55971,1706256002-059361,1011409458-059361,316562914-0059361,218453323-059361,1545202396-00059361,565876595-059361,1030089976-0000059361
Component 00000000021824,00004-00005-00010-21824,00002-00006-00004-116822,246991875-021824,1983892648-021824,1573309774-0021824,1808558956-021824,1713989679-00021824,2013850393-021824,423562476-0000021824
Component 00000000067388,00003-00006-00009-67388,00001-00002-00007-33651,89874777-067388,2046838098-067388,1856317772-0067388,1587057201-067388,392175184-00067388,1682317364-067388,1545233432-0000067388
Component 00000000096946,00001-00003-00005-96946,00005-00008-119985,830724699-096946,1557923828-096946,137639310-0096946,666402280-096946,1325373929-00096946,1376544539-096946,1548082109-0000096946
Component 00000000113950,00004-00005-113950,00003-00006-101933,1001238449-113950,1665192055-113950,181662014-0113950,990733635-113950,1965932899-00113950,658756832-113950,1406676970-0000113950
Component 00000000042760,00004-00003-42760,00002-00006-00003-85322,2082511749-042760,209584670-042760,484141238-0042760,366119768-042760,1140820575-00042760,228841484-042760,1048551618-0000042760
Component 00000000054041,00001-00001-54041,00004-00006-00008-30519,1502856428-054041,2046928473-054041,443516871-0054041,1046805023-054041,473928445-00054041,1848510824-054041,331032234-0000054041
Component 00000000035772,00002-00002-00009-35772,00003-00001-00008-13203,595242167-035772,1324154345-035772,2053066523-0035772,1587744448-035772,90667205-00035772,1223288359-035772,1488289888-0000035772
Component 00000000078905,00001-00008-78905,00004-00006-00006-109024,1228189559-078905,457713243-078905,1834720574-0078905,367310232-078905,2072208165-00078905,752548390-078905,1198530190-0000078905
Component 00000000004847,00002-00003-00011-4847,00004-00003-00009-12099,1055262522-004847,1443447593-004847,1831632664-0004847,1628627466-004847,1835185758-00004847,360793107-004847,1129417555-0000004847
Component 00000000033882,00002-00002-00004-33882,00002-00004-00002-83787,2064141551-033882,291107434-033882,665556964-0033882,897590933-033882,1172826930-00033882,710366168-033882,319994707-0000033882
Component 00000000031735,00004-00002-31735,00003-00001-00004-23703,1808580664-031735,1926287-031735,342755557-0031735,1158931083-031735,1602268380-00031735,988516448-031735,734821125-0000031735
Component 00000000034975,00003-00005-34975,00002-00003-00010-114397,290840325-034975,1973608561-034975,1508893150-0034975,300721185-034975,476814593-00034975,1606820714-034975,587007592-0000034975
Component 00000000082184,00004-00004-00011-82184,00003-00005-00006-77278,461109599-082184,1058013421-082184,1654917243-0082184,1493657555-082184,656622092-00082184,1195205644-082184,1958606016-0000082184
Component 00000000104420,00001-00004-104420,00001-82160,126782375-104420,1047340399-104420,1967898423-0104420,1824173599-104420,1516350773-00104420,1363894587-104420,1842342655-0000104420
Component 00000000008210,00006-00007-8210,00001-00001-00012-106261,1867876680-008210,1758568669-008210,1649260658-0008210,1935147264-008210,334203672-00008210,916059446-008210,718535339-0000008210
Component 00000000018901,00001-00001-00012-18901,00001-00006-00001-34971,817043172-018901,487593954-018901,158144736-0018901,2018625275-018901,1518387718-00018901,35866237-018901,1925345523-0000018901
Component 00000000038999,00004-00002-00012-38999,00003-00005-00009-103528,1312588827-038999,157578176-038999,1150051172-0038999,55405252-038999,1535491213-00038999,1706652401-038999,533733764-0000038999
Component 00000000036536,00001-00003-00006-36536,00002-00007-50395,393745396-036536,2110218431-036536,1679207819-0036536,964567184-036536,972136597-00036536,1180072490-036536,1210482612-0000036536
Component 00000000109862,00002-00004-00012-109862,00004-00004-00008-110989,236122631-109862,137236493-109862,38350355-0109862,1882595879-109862,229542922-00109862,1932038948-109862,502256104-0000109862
Component 00000000008531,00001-00005-00003-8531,00001-00006-00007-115226,1844509451-008531,420678674-008531,1144331544-0008531,434451647-008531,1111154591-00008531,72625212-008531,78391031-0000008531
Component 00000000096898,00003-00004-00009-96898,00004-00005-00009-118634,430816549-096898,1655232926-096898,732165656-0096898,759210541-096898,1079579597-00096898,1220744176-096898,1783486523-0000096898
Component 00000000122446,00001-00002-00012-122446,00003-92690,1696148011-122446,637859526-122446,1727054688-0122446,835022193-122446,1831497324-00122446,290424612-122446,1335639014-0000122446
Component 00000000103399,00004-00002-00010-103399,00003-00002-00009-53608,1629331032-103399,1870456140-103399,2111581248-0103399,438996888-103399,1380854995-00103399,318434334-103399,1359675822-0000103399
Component 00000000023030,00007-23030,00004-00001-00009-27049,1492252774-023030,1197679919-023030,903107064-0023030,1164113012-023030,489493640-00023030,237657616-023030,826285641-0000023030
Component 00000000062232,00002-00002-00001-62232,00004-00001-00012-12804,270317446-062232,2133187546-062232,1848573999-0062232,425204122-062232,1848271857-00062232,1641252719-062232,306540660-0000062232
Component 00000000113331,00001-00001-00010-113331,00001-00005-00008-84586,1629246408-113331,553036816-113331,1624310871-0113331,972688724-113331,2058769390-00113331,1510793520-113331,2114285515-0000113331
Component 00000000018094,00004-00006-00011-18094,00006-00012-12375,480780620-018094,568205457-018094,655630294-0018094,1499659744-018094,1062535559-00018094,382205502-018094,816144775-0000018094
Component 00000000043554,00004-00004-43554,00002-00006-00007-107582,1156614801-043554,786499011-043554,416383221-0043554,385868162-043554,88963465-00043554,570926057-043554,976340010-0000043554
Component 00000000057431,00001-00003-00010-57431,00004-00006-1904,739152552-057431,685875738-057431,632598924-0057431,302710720-057431,569094790-00057431,329349127-057431,199945104-0000057431
Component 00000000089189,00004-00002-00009-89189,00004-00007-26345,251152254-089189,2010395819-089189,1622155737-0089189,748861100-089189,542577863-00089189,942981141-089189,1835406937-0000089189
Component 00000000003766,00001-00009-3766,00001-00002-00010-105401,720152584-003766,1064791561-003766,1409430538-0003766,1329015616-003766,1753304378-00003766,82954304-003766,371134156-0000003766
Component 00000000083559,00004-00008-83559,00003-00004-115808,1759421915-083559,1094817114-083559,430212313-0083559,664601948-083559,1840142306-00083559,2070646172-083559,654240059-0000083559
Component 00000000095943,00003-00001-00003-95943,00003-00006-91923,1751391585-095943,107636608-095943,611365278-0095943,412428316-095943,41268613-00095943,160563981-095943,106745493-0000095943
Component 00000000016992,00002-00003-00001-16992,00004-00001-00011-105064,1099231113-016992,1674824419-016992,102934078-0016992,1098219043-016992,367736160-00016992,810422390-016992,1573694964-0000016992
Component 00000000089654,00004-00005-00006-89654,00004-00005-39330,2110783754-089654,595064794-089654,1226829481-0089654,1612858192-089654,601518404-00089654,223234025-089654,1031732335-0000089654
Component 00000000060776,00001-00002-00001-60776,00002-00006-00001-95577,1797018323-060776,789038939-060776,1928543202-0060776,154658433-060776,899588059-00060776,658648125-060776,832302746-0000060776
Component 00000000113914,00004-00003-00008-113914,00004-100919,1547150157-113914,688024817-113914,1976383124-0113914,681760460-113914,682419866-00113914,1111323130-113914,1314042789-0000113914
Component 00000000059522,00002-00001-00008-59522,00005-00009-60485,390681150-059522,582847071-059522,775012992-0059522,47051907-059522,1233705949-00059522,1024710770-059522,129725138-0000059522
Component 00000000026961,00001-00004-00012-26961,00002-00006-13572,1139211867-026961,1990112141-026961,693528768-0026961,1605685863-026961,1646151787-00026961,1180235726-026961,952998315-0000026961
Component 00000000026942,00002-00006-00006-26942,00004-00006-00006-13019,482297697-026942,1986400357-026942,1343019370-0026942,416832709-026942,1486253997-00026942,1812265026-026942,1151587880-0000026942
Component 00000000033712,00002-00003-33712,00004-00001-00006-79059,1335803982-033712,1834022768-033712,184757907-0033712,1877094986-033712,1533484703-00033712,1627985593-033712,257418460-0000033712
Component 00000000105406,00001-00002-105406,00001-00001-00002-109761,1779874869-105406,1822579418-105406,1865283967-0105406,629820025-105406,416297280-00105406,1682209574-105406,1945487251-0000105406
Component 00000000072828,00003-00002-72828,00004-00005-00002-62389,759842479-072828,1316713249-072828,1873584019-0072828,1998271060-072828,1361400857-00072828,1719835675-072828,854406381-0000072828
Component 00000000021221,00001-00004-00005-21221,00001-00002-00001-99906,1213767634-021221,153302883-021221,1240321779-0021221,247092915-021221,1254449376-00021221,1851067114-021221,1295399386-0000021221
Component 00000000036035,00006-00012-36035,00001-00005-00005-20571,683568795-036035,1462689235-036035,94326028-0036035,1963688136-036035,215569583-00036035,1574127916-036035,847086152-0000036035
Component 00000000000662,00002-00004-00012-662,00004-00002-00007-18454,391577505-000662,294450255-000662,197323005-0000662,2123356821-000662,461509424-00000662,24436799-000662,931365598-0000000662
Component 00000000101622,00002-00003-00001-101622,00004-00005-3840,993041683-101622,655337512-101622,317633341-0101622,720516742-101622,261553950-00101622,1963110651-101622,1334296010-0000101622
Component 00000000032953,00003-00004-00011-32953,00002-00004-00010-57782,1392872704-032953,283252248-032953,1321115439-0032953,1263371763-032953,369023102-00032953,1818181991-032953,2094116361-0000032953
Component 00000000069447,00002-00001-69447,00004-00003-00001-91339,1503416547-069447,1337168597-069447,1170920647-0069447,2030325560-069447,714081663-00069447,2113449535-069447,945454557-0000069447
Component 00000000081843,00003-00006-00008-81843,00002-00002-00006-67762,851761994-081843,626127166-081843,400492338-0081843,645891071-081843,1774065211-00081843,758708485-081843,666541680-0000081843
Component 00000000040209,00004-00001-40209,00001-13910,575637929-040209,407636472-040209,239635015-0040209,2091243676-040209,783767314-00040209,1101502581-040209,315781237-0000040209
Component 00000000008725,00003-00002-8725,00001-00004-00012-120691,1506877185-008725,1061497792-008725,616118399-0008725,307071271-008725,386484589-00008725,1603502791-008725,1049303911-0000008725
Component 00000000003947,00002-00006-00008-3947,00001-00004-00001-110436,890004814-003947,1681473436-003947,325458411-0003947,621527335-003947,959151519-00003947,225793024-003947,388540405-0000003947
Component 00000000016814,00004-00005-16814,00001-00005-00004-100091,423332409-016814,1194109182-016814,1964885955-0016814,225042077-016814,666125506-00016814,913395514-016814,1042686758-0000016814
Component 00000000088312,00002-00003-88312,00004-00006-00003-1784,1865301862-088312,324193074-088312,930567933-0088312,135969642-088312,1399062641-00088312,906524036-088312,1427656392-0000088312
Component 00000000017180,00002-00007-17180,00004-00005-00009-27179,87500388-017180,874163510-017180,1660826632-0017180,1733439806-017180,2095091490-00017180,1340108245-017180,416789502-0000017180
Component 00000000007381,00001-00003-00010-7381,00004-00006-00001-83019,278617943-007381,153143964-007381,27669985-0007381,1709322726-007381,189208974-00007381,698317892-007381,1996813577-0000007381
Component 00000000090098,00003-00001-00008-90098,00001-00003-00004-51796,1978854603-090098,1660751069-090098,1342647535-0090098,1583218733-090098,1026252756-00090098,1742270500-090098,1128918621-0000090098
Component 00000000052708,00003-00005-00006-52708,00001-00001-00008-116761,206079961-052708,226876934-052708,247673907-0052708,140991328-052708,37006463-00052708,1204334665-052708,1413887277-0000052708
Component 00000000081675,00006-00009-81675,00003-00003-00005-63003,133963506-081675,1093552364-081675,2053141222-0081675,1576866532-081675,1073889536-00081675,1097072103-081675,241352101-0000081675
Component 00000000092939,00004-00002-92939,00001-00003-00001-7801,158330914-092939,686281623-092939,1214232332-0092939,1067878360-092939,575608462-00092939,1877644829-092939,2048044352-0000092939
Component 00000000081437,00002-00006-00005-81437,00004-00011-56340,1003730023-081437,2074862913-081437,998512156-0081437,1414067660-081437,353370504-00081437,878501215-081437,935363486-0000081437
Component 00000000063534,00004-00002-00003-63534,00002-00002-00003-49247,1526461915-063534,595533542-063534,1812088816-0063534,399850588-063534,759525159-00063534,1939056598-063534,697389843-0000063534
Component 00000000089617,00002-00003-00008-89617,00003-00002-00011-38348,98175553-089617,647729092-089617,1197282631-0089617,2055460254-089617,1455176206-00089617,706941661-089617,1889316343-0000089617
Component 00000000067047,00002-00001-00006-67047,00003-00002-00001-24103,1597618214-067047,2015039678-067047,284977495-0067047,367722748-067047,428099075-00067047,159012016-067047,1279521998-0000067047
Component 00000000079720,00004-00004-79720,00001-00003-00010-8291,528732174-079720,1037238317-079720,1545744460-0079720,495218169-079720,100171101-00079720,1314706921-079720,1786749632-0000079720
Component 00000000047581,00001-00002-00001-47581,00003-96775,1425745956-047581,1312163870-047581,1198581784-0047581,211982079-047581,779892509-00047581,268773122-047581,1639948303-0000047581
Component 00000000063025,00004-00001-63025,00002-00002-00006-35002,625982367-063025,377194027-063025,128405687-0063025,1444649759-063025,541107812-00063025,1569043929-063025,1206769737-0000063025
Component 00000000016587,00002-00004-00012-16587,00001-00006-00006-93736,391175848-016587,1360384528-016587,182109561-0016587,153156594-016587,1749564135-00016587,1816035901-016587,1912347472-0000016587
Component 00000000089602,00002-00002-00006-89602,00004-00011-37919,2005114094-089602,1335331515-089602,665548936-0089602,659171894-089602,1860601142-00089602,2067805007-089602,1395174076-0000089602
Component 00000000112696,00001-00003-00012-112696,00002-00003-66810,1256364581-112696,894109742-112696,531854903-0112696,1940615889-112696,1604406437-00112696,1048001485-112696,1367970615-0000112696
Component 00000000091162,00002-00001-00006-91162,00002-00006-00002-81577,1296027182-091162,1984776159-091162,526041489-0091162,1414356038-091162,118094800-00091162,2143723373-091162,324115944-0000091162
Component 00000000017549,00004-00012-17549,00001-00002-00008-120661,50642457-017549,1319507138-017549,440888172-0017549,387295546-017549,485423082-00017549,826605029-017549,1523666469-0000017549
Component 00000000024140,00004-00012-24140,00002-38857,2025019476-024140,1722728856-024140,1420438236-0024140,248826288-024140,1760279388-00024140,399971598-024140,1331672206-0000024140
Component 00000000037280,00005-00009-37280,00003-00006-00012-55418,454078478-037280,266143408-037280,78208338-0037280,2076645818-037280,868837521-00037280,23129706-037280,274882044-0000037280
Component 00000000064425,00004-00010-64425,00003-00006-74178,1730330834-064425,876433194-064425,22535554-0064425,1118484587-064425,1093005493-00064425,1545433407-064425,876491222-0000064425
Component 00000000067413,00003-00003-00008-67413,00002-00001-00011-34357,1863763997-067413,738977254-067413,1761674158-0067413,2072439960-067413,1253922734-00067413,1561091508-067413,1130204993-0000067413
Component 00000000082074,00004-00006-00005-82074,1436259974,1103746933-082074,1025625650-082074,947504367-0082074,536090178-082074,926696593-00082074,1648892643-082074,1122896740-0000082074
Component 00000000118274,00004-00002-118274,00004-00006-00006-63524,335001617-118274,1878860320-118274,1275235376-0118274,1123962891-118274,1994603964-00118274,1425775363-118274,2086891463-0000118274
Component 00000000067037,00002-00005-00009-67037,00002-00012-107912,1624325596-067037,1301085801-067037,977846006-0067037,2053322891-067037,1522038219-00067037,1141200965-067037,1515769659-0000067037
Component 00000000074219,00004-00005-00002-74219,00004-00003-00001-101349,1404855035-074219,632760159-074219,2008148930-0074219,465475548-074219,30982634-00074219,851522986-074219,1858541275-0000074219
Component 00000000104183,00003-00002-00001-104183,1436259974,1358659942-104183,1770743987-104183,35344385-0104183,943641478-104183,1030704900-00104183,1811341279-104183,1102058145-0000104183
Component 00000000004171,00001-00006-00011-4171,00001-00006-00004-116731,301246308-004171,1741761185-004171,1034792415-0004171,372999315-004171,1760359518-00004171,726483700-004171,703110441-0000004171
Component 00000000000147,00002-00004-147,00004-00006-00007-4024,2076167362-000147,1212948064-000147,349728766-0000147,1012220702-000147,1033349898-00000147,1443830351-000147,1374204119-0000000147
Component 00000000058007,00002-00005-00001-58007,00001-00005-00003-18086,466910941-058007,1264492563-058007,2062074185-0058007,494913962-058007,801973146-00058007,96123151-058007,858844170-0000058007
Component 00000000082756,00001-00002-00011-82756,00002-00004-93305,232887106-082756,1090473628-082756,1948060150-0082756,1023644130-082756,1030678814-00082756,594850869-082756,1482928581-0000082756
Component 00000000042473,00003-00004-00002-42473,00003-00005-00006-77278,173688940-042473,2073945641-042473,1826718695-0042473,1068083941-042473,156735024-00042473,1191697414-042473,693665326-0000042473
Component 00000000022717,00002-00002-00006-22717,00001-00003-00010-18301,1856023880-022717,1428617615-022717,1001211350-0022717,1527914674-022717,1517462352-00022717,667875983-022717,288869796-0000022717
Component 00000000091964,00004-00005-00002-91964,00007-104020,1317407270-091964,1520040785-091964,1722674300-0091964,1481456336-091964,468288761-00091964,306397755-091964,1131017639-0000091964
Component 00000000118213,00003-00004-00004-118213,00001-00006-00005-97726,1672589942-118213,1177078095-118213,681566248-0118213,188843656-118213,518919244-00118213,1510341403-118213,951465192-0000118213
Component 00000000029559,00004-00005-00010-29559,00004-00002-86335,1999118239-029559,566339566-029559,1281044540-0029559,155087479-029559,876529903-00029559,1945218639-029559,1708968559-0000029559
Component 00000000105819,00004-00012-105819,00001-00005-00007-121336,288754261-105819,2128953405-105819,1821668902-0105819,1491583218-105819,880522086-00105819,571483646-105819,1631677939-0000105819
Component 00000000029864,00004-00002-00003-29864,00004-00005-94840,1066798262-029864,1858507413-029864,502732917-0029864,1883728263-029864,72666155-00029864,414131864-029864,438023182-0000029864
Component 00000000056454,00004-00006-00008-56454,00004-00003-00009-98094,1774892163-056454,1162357961-056454,549823759-0056454,2131754424-056454,899458140-00056454,290537878-056454,1736321049-0000056454
Component 00000000031896,00001-00004-00007-31896,00002-00007-28217,1170599957-031896,860514133-031896,550428309-0031896,1163823022-031896,566768495-00031896,1318865934-031896,336188979-0000031896
Component 00000000082944,00004-00001-00004-82944,00002-00002-98555,453087309-082944,1045640307-082944,1638193305-0082944,1274620301-082944,459338958-00082944,978343802-082944,731180886-0000082944
Component 00000000049019,00004-00005-00009-49019,00005-00012-13480,1424618011-049019,1979997620-049019,387893582-0049019,1516983460-049019,887569062-00049019,165551832-049019,852573257-0000049019
Component 00000000019417,00002-00006-00008-19417,00003-00006-00007-49433,1663066664-019417,1837870560-019417,2012674456-0019417,1551121032-019417,677101552-00019417,1463719084-019417,1086957258-0000019417
Component 00000000023137,00002-00002-00010-23137,00004-00006-00012-30029,1002124961-023137,1653165490-023137,156722372-0023137,1439077736-023137,331358738-00023137,39815648-023137,341989593-0000023137
